project_name,mae,mdae
,,
MESOS,1.303278689,1
,,
SERVER,0.919811321,1
,,
NEXUS,1.287587413,1
,,
APSTUD,3.989690722,3
,,
CLOV,4.304347826,2
,,
DURACLOUD,0.682539683,1
,,
CONFSERVER,0.956989247,1
,,
ALOY,2.14,2
,,
COMPASS,1.377358491,2
,,
TIDOC,2.787128713,2
,,
EVG,0.605820106,0.5
,,
DM,1.612244898,1
,,
TISTUD,1.515151515,2
,,
DAEMON,2.69047619,3
,,
CLI,1.721311475,2
,,
MDL,6.309608541,7
,,
STL,0.953488372,1
,,
XD,1.548780488,1
,,
CONFCLOUD,1.62755102,1
,,
FAB,1.047619048,1
,,
MULE,2.25170068,2
,,
DNN,0.706024096,1
,,
TIMOB,2.575255102,2
,,
,1.952772332,1.760869565
