project_name,replicated_mae,replicated_mdae,original_mae,original_mdae
MESOS,1.337704918,1,1.34,1
SERVER,0.962264151,1,0.85,1
NEXUS,1.229895105,1,1.14,1
APSTUD,3.989690722,3,4.14,3
CLOV,3.927536232,2,3.88,2
DURACLOUD,0.682539683,1,1.25,1
CONFSERVER,0.956989247,1,0.96,1
ALOY,1.97,2,1.84,2
COMPASS,1.377358491,2,1.38,2
TIDOC,2.762376238,1,2.79,1
EVG,0.691358025,0.5,0.6,1
DM,1.590909091,1,1.56,1
TISTUD,1.511586453,2,1.51,2
DAEMON,2.976190476,3,2.81,3
CLI,1.770491803,2,1.87,2
MDL,7.09252669,7,6.31,7
STL,0.953488372,1,1.28,1
XD,1.567073171,1,1.54,1
CONFCLOUD,1.285714286,1,1.34,1
FAB,0.761904762,1,0.67,1
MULE,2.238095238,2,2.27,2
DNN,0.706024096,1,0.71,1
TIMOB,2.530612245,2,2.53,2
,,,,
Averages:,1.950970848,1.717391304,1.937826087,1.739130435
