project_name,replicated_mae,replicated_mdae,original_mae,original_mdae
MESOS,1.303278689,1,1.33,1
SERVER,0.919811321,1,0.85,1
NEXUS,1.287587413,1,1.22,1
APSTUD,3.989690722,3,3.99,3
CLOV,4.304347826,2,4.23,1.5
DURACLOUD,0.682539683,1,0.68,1
CONFSERVER,0.956989247,1,0.96,1
ALOY,2.14,2,2.28,2
COMPASS,1.377358491,2,1.3,1
TIDOC,2.787128713,2,3.65,2
EVG,0.605820106,0.5,0.62,1
DM,1.612244898,1,1.52,1
TISTUD,1.515151515,2,1.51,2
DAEMON,2.69047619,3,2.74,3
CLI,1.721311475,2,1.76,2
MDL,6.309608541,7,6.31,7
STL,0.953488372,1,0.95,1
XD,1.548780488,1,1.5,1
CONFCLOUD,1.62755102,1,1.37,1
FAB,1.047619048,1,0.65,1
MULE,2.25170068,2,2.6,3
DNN,0.706024096,1,0.71,1
TIMOB,2.575255102,2,2.48,2
,,,,
Averages:,1.952772332,1.760869565,1.965652174,1.760869565
