closest,sp,closest_sp,mean_cluster_sp,median_cluster_sp
108,3,3,4.095238095238095,3.0
127,3,3,4.095238095238095,3.0
97,8,3,4.095238095238095,3.0
45,3,3,4.095238095238095,3.0
85,1,5,4.095238095238095,3.0
141,3,5,4.095238095238095,3.0
78,0,8,4.34375,3.0
86,2,5,4.095238095238095,3.0
105,5,3,4.34375,3.0
131,3,3,4.095238095238095,3.0
131,3,3,4.095238095238095,3.0
78,5,8,4.34375,3.0
137,8,5,4.095238095238095,3.0
65,3,3,4.34375,3.0
114,0,5,4.095238095238095,3.0
32,1,3,4.095238095238095,3.0
107,1,8,4.34375,3.0
52,1,5,4.095238095238095,3.0
24,5,8,4.095238095238095,3.0
140,3,5,4.095238095238095,3.0
17,3,2,4.095238095238095,3.0
6,3,3,4.095238095238095,3.0
113,1,2,4.095238095238095,3.0
89,1,2,4.095238095238095,3.0
116,3,5,4.095238095238095,3.0
92,2,5,4.34375,3.0
28,2,5,4.095238095238095,3.0
131,2,3,4.095238095238095,3.0
3,5,3,4.095238095238095,3.0
105,0,3,4.34375,3.0
37,3,3,4.5,3.0
105,2,3,4.34375,3.0
95,3,3,4.34375,3.0
61,0,3,4.095238095238095,3.0
29,3,3,4.095238095238095,3.0
24,5,8,4.095238095238095,3.0
51,1,13,4.095238095238095,3.0
24,1,8,4.095238095238095,3.0
95,1,3,4.34375,3.0
11,1,13,4.095238095238095,3.0
87,1,2,4.095238095238095,3.0
139,1,3,4.095238095238095,3.0
54,1,5,4.095238095238095,3.0
45,3,3,4.095238095238095,3.0
28,1,5,4.095238095238095,3.0
115,3,5,4.095238095238095,3.0
86,3,5,4.095238095238095,3.0
131,3,3,4.095238095238095,3.0
96,8,3,4.095238095238095,3.0
114,1,5,4.095238095238095,3.0
