closest,sp,closest_sp,mean_cluster_sp,median_cluster_sp
142,13,8,8.0,8.0
60,8,8,5.714285714285714,8.0
86,8,3,5.714285714285714,8.0
184,20,13,15.333333333333334,13.0
225,8,13,13.0,13.0
104,8,5,7.25,8.0
90,8,5,9.0,9.0
74,5,8,8.0,8.0
48,3,1,1.0,1.0
14,3,20,20.0,20.0
206,3,5,5.0,5.0
261,8,8,5.0,5.0
232,8,5,5.0,5.0
113,8,2,2.0,2.0
165,2,13,13.0,13.0
272,8,5,3.0,3.0
168,13,20,20.0,20.0
278,5,8,5.714285714285714,8.0
106,8,8,8.0,8.0
22,8,0,2.5,2.5
142,8,8,8.0,8.0
111,8,1,3.0,3.0
90,8,5,9.0,9.0
31,5,8,8.0,8.0
78,5,8,6.5,6.5
131,5,13,8.2,5.0
53,3,0,1.5,1.5
123,13,20,15.333333333333334,13.0
113,8,2,2.0,2.0
278,8,8,5.714285714285714,8.0
99,5,13,13.0,13.0
0,3,0,0.0,0.0
52,0,8,8.0,8.0
146,5,5,5.0,5.0
51,5,5,3.0,3.0
8,13,13,13.0,13.0
8,5,13,13.0,13.0
253,13,13,13.0,13.0
83,8,8,6.5,6.5
45,8,1,1.0,1.0
45,5,1,1.0,1.0
18,8,1,1.0,1.0
45,5,1,1.0,1.0
145,5,13,13.0,13.0
145,5,13,13.0,13.0
190,13,5,5.0,5.0
86,13,3,5.714285714285714,8.0
167,20,13,13.0,13.0
71,13,3,3.0,3.0
113,13,2,2.0,2.0
102,8,1,1.0,1.0
78,8,8,6.5,6.5
208,8,2,5.0,5.0
78,8,8,6.5,6.5
2,8,8,10.5,10.5
146,8,5,5.0,5.0
74,3,8,8.0,8.0
135,5,5,5.0,5.0
141,13,8,4.0,4.0
74,5,8,8.0,8.0
167,3,13,13.0,13.0
0,3,0,0.0,0.0
0,5,0,0.0,0.0
90,0,5,9.0,9.0
187,5,5,5.0,5.0
86,0,3,5.714285714285714,8.0
141,5,8,4.0,4.0
257,1,8,7.25,8.0
217,13,8,8.0,8.0
89,5,5,5.0,5.0
99,5,13,13.0,13.0
214,5,5,6.5,6.5
177,5,13,7.0,8.0
277,8,3,3.0,3.0
156,20,13,13.0,13.0
37,8,1,1.0,1.0
37,13,1,1.0,1.0
53,8,0,1.5,1.5
97,1,5,6.5,6.5
37,8,1,1.0,1.0
278,2,8,5.714285714285714,8.0
53,8,0,1.5,1.5
110,5,8,8.0,8.0
11,5,13,13.0,13.0
66,3,8,5.714285714285714,8.0
14,5,20,20.0,20.0
66,8,8,5.714285714285714,8.0
0,8,0,0.0,0.0
155,3,0,0.0,0.0
90,8,5,9.0,9.0
115,5,8,8.0,8.0
142,3,8,8.0,8.0
281,5,5,5.0,5.0
247,5,5,7.75,6.5
171,1,5,5.0,5.0
191,100,0,0.0,0.0
171,5,5,5.0,5.0
