closest,sp,closest_sp,mean_cluster_sp,median_cluster_sp
13,3,0,3.701863354037267,3.0
0,1,13,3.701863354037267,3.0
91,1,2,2.3333333333333335,2.0
121,1,3,3.701863354037267,3.0
94,0,3,3.701863354037267,3.0
149,3,5,3.701863354037267,3.0
160,3,13,3.701863354037267,3.0
92,5,1,3.701863354037267,3.0
94,1,3,3.701863354037267,3.0
94,2,3,3.701863354037267,3.0
3,0,5,3.701863354037267,3.0
69,1,1,3.701863354037267,3.0
94,1,3,3.701863354037267,3.0
134,2,5,3.701863354037267,3.0
99,1,2,3.701863354037267,3.0
167,5,5,3.701863354037267,3.0
24,5,1,3.701863354037267,3.0
43,0,3,3.701863354037267,3.0
144,3,5,3.701863354037267,3.0
55,1,5,3.701863354037267,3.0
44,0,8,3.701863354037267,3.0
54,1,1,2.3333333333333335,2.0
113,2,5,3.701863354037267,3.0
5,2,0,3.701863354037267,3.0
53,1,3,3.701863354037267,3.0
2,1,5,3.701863354037267,3.0
88,3,3,3.701863354037267,3.0
5,0,0,3.701863354037267,3.0
89,0,1,3.701863354037267,3.0
156,8,1,3.701863354037267,3.0
8,1,8,3.701863354037267,3.0
70,2,5,3.701863354037267,3.0
117,1,1,3.701863354037267,3.0
159,5,3,3.701863354037267,3.0
24,5,1,3.701863354037267,3.0
60,1,3,3.701863354037267,3.0
88,8,3,3.701863354037267,3.0
60,13,3,3.701863354037267,3.0
139,3,3,3.701863354037267,3.0
148,1,5,3.701863354037267,3.0
139,3,3,3.701863354037267,3.0
72,5,5,3.701863354037267,3.0
160,2,13,3.701863354037267,3.0
92,5,1,3.701863354037267,3.0
89,1,1,3.701863354037267,3.0
51,1,5,3.701863354037267,3.0
129,1,5,3.701863354037267,3.0
172,3,3,3.701863354037267,3.0
125,1,1,3.701863354037267,3.0
69,3,1,3.701863354037267,3.0
139,3,3,3.701863354037267,3.0
28,3,1,3.701863354037267,3.0
94,1,3,3.701863354037267,3.0
92,1,1,3.701863354037267,3.0
60,1,3,3.701863354037267,3.0
50,3,3,3.701863354037267,3.0
169,1,1,3.701863354037267,3.0
129,3,5,3.701863354037267,3.0
103,3,5,3.701863354037267,3.0
94,5,3,3.701863354037267,3.0
51,5,5,3.701863354037267,3.0
