closest,sp,closest_sp,mean_cluster_sp,median_cluster_sp
101,1.0,3,10.46376811594203,3.0
101,5.0,3,10.46376811594203,3.0
166,1.0,13,10.46376811594203,3.0
191,13.0,8,3.9591836734693877,2.0
5,3.0,1,3.9591836734693877,2.0
19,1.0,2,3.9591836734693877,2.0
181,3.0,13,3.9591836734693877,2.0
114,1.0,5,10.46376811594203,3.0
151,1.0,13,10.46376811594203,3.0
171,2.0,2,5.4,4.0
66,1.0,1,3.9591836734693877,2.0
143,1.0,2,3.3,2.5
112,3.0,2,3.9591836734693877,2.0
19,5.0,2,3.9591836734693877,2.0
76,3.0,3,10.46376811594203,3.0
174,5.0,8,10.46376811594203,3.0
20,1.0,13,3.9591836734693877,2.0
56,1.0,1,3.9591836734693877,2.0
23,20.0,1,10.46376811594203,3.0
174,40.0,8,10.46376811594203,3.0
23,40.0,1,10.46376811594203,3.0
23,40.0,1,10.46376811594203,3.0
102,5.0,5,10.46376811594203,3.0
23,20.0,1,10.46376811594203,3.0
174,5.0,8,10.46376811594203,3.0
102,13.0,5,10.46376811594203,3.0
174,5.0,8,10.46376811594203,3.0
114,3.0,5,10.46376811594203,3.0
6,5.0,2,2.9411764705882355,1.0
14,1.0,1,3.9591836734693877,2.0
56,3.0,1,3.9591836734693877,2.0
109,5.0,3,10.46376811594203,3.0
192,2.0,2,2.0,2.0
147,20.0,3,5.4,4.0
81,1.0,1,2.9411764705882355,1.0
58,2.0,1,3.9591836734693877,2.0
76,3.0,3,10.46376811594203,3.0
182,2.0,1,3.9591836734693877,2.0
42,3.0,5,3.9591836734693877,2.0
75,2.0,1,10.46376811594203,3.0
178,2.0,8,2.9411764705882355,1.0
133,1.0,1,2.9411764705882355,1.0
151,2.0,13,10.46376811594203,3.0
151,3.0,13,10.46376811594203,3.0
177,1.0,3,10.46376811594203,3.0
73,3.0,1,10.46376811594203,3.0
49,1.0,1,2.9411764705882355,1.0
91,2.0,8,3.4,2.0
197,0.5,2,3.25,3.5
92,0.5,5,5.4,4.0
144,0.5,2,2.9411764705882355,1.0
179,1.0,2,2.0,2.0
152,0.5,3,10.46376811594203,3.0
33,0.5,1,3.9591836734693877,2.0
100,0.5,3,2.9411764705882355,1.0
101,1.0,3,10.46376811594203,3.0
182,1.0,1,3.9591836734693877,2.0
181,2.0,13,3.9591836734693877,2.0
50,2.0,1,2.9411764705882355,1.0
131,1.0,100,10.46376811594203,3.0
92,0.5,5,5.4,4.0
118,2.0,13,5.4,4.0
67,0.5,5,3.3,2.5
118,1.0,13,5.4,4.0
53,1.0,1,3.3,2.5
152,3.0,3,10.46376811594203,3.0
181,2.0,13,3.9591836734693877,2.0
74,5.0,8,3.3,2.5
124,8.0,8,10.46376811594203,3.0
