closest,sp,closest_sp,mean_cluster_sp,median_cluster_sp
32,8,5,2.9523809523809526,3.0
32,8,5,2.9523809523809526,3.0
151,3,5,3.481818181818182,3.0
40,5,1,3.481818181818182,3.0
110,8,3,3.481818181818182,3.0
115,3,3,3.481818181818182,3.0
151,3,5,3.481818181818182,3.0
151,8,5,3.481818181818182,3.0
147,1,8,3.481818181818182,3.0
11,3,5,3.481818181818182,3.0
112,5,5,3.481818181818182,3.0
36,5,5,3.481818181818182,3.0
65,3,2,3.481818181818182,3.0
143,5,3,3.481818181818182,3.0
112,2,5,3.481818181818182,3.0
45,3,3,3.481818181818182,3.0
45,3,3,3.481818181818182,3.0
65,3,2,3.481818181818182,3.0
36,2,5,3.481818181818182,3.0
56,3,5,3.481818181818182,3.0
45,2,3,3.481818181818182,3.0
71,1,3,3.481818181818182,3.0
69,1,3,3.481818181818182,3.0
27,5,5,3.481818181818182,3.0
69,1,3,3.481818181818182,3.0
0,5,3,3.481818181818182,3.0
15,3,5,3.481818181818182,3.0
65,1,2,3.481818181818182,3.0
132,3,2,3.481818181818182,3.0
25,5,3,3.481818181818182,3.0
147,5,8,3.481818181818182,3.0
56,5,5,3.481818181818182,3.0
128,5,3,3.481818181818182,3.0
69,5,3,3.481818181818182,3.0
14,3,2,3.481818181818182,3.0
15,2,5,3.481818181818182,3.0
154,3,3,3.481818181818182,3.0
105,3,2,3.481818181818182,3.0
32,5,5,2.9523809523809526,3.0
40,5,1,3.481818181818182,3.0
27,3,5,3.481818181818182,3.0
69,3,3,3.481818181818182,3.0
69,2,3,3.481818181818182,3.0
69,3,3,3.481818181818182,3.0
0,5,3,3.481818181818182,3.0
69,3,3,3.481818181818182,3.0
62,1,1,3.25,3.0
119,2,3,3.481818181818182,3.0
60,1,8,3.481818181818182,3.0
69,1,3,3.481818181818182,3.0
1,3,3,3.481818181818182,3.0
104,2,3,3.481818181818182,3.0
89,5,5,3.481818181818182,3.0
