closest,sp,closest_sp,mean_cluster_sp,median_cluster_sp
5,2,2.0,2.608490566037736,2.0
92,1,1.0,2.608490566037736,2.0
107,2,3.0,2.608490566037736,2.0
120,3,3.0,2.608490566037736,2.0
99,5,5.0,2.608490566037736,2.0
105,2,3.0,2.608490566037736,2.0
99,0,5.0,2.608490566037736,2.0
107,3,3.0,2.608490566037736,2.0
105,1,3.0,2.608490566037736,2.0
105,1,3.0,2.608490566037736,2.0
137,3,3.0,2.608490566037736,2.0
105,3,3.0,2.608490566037736,2.0
132,2,1.0,2.608490566037736,2.0
107,1,3.0,2.608490566037736,2.0
114,1,2.0,2.608490566037736,2.0
109,2,1.0,2.608490566037736,2.0
105,3,3.0,2.608490566037736,2.0
16,3,0.0,2.608490566037736,2.0
90,1,3.0,2.608490566037736,2.0
15,3,0.0,2.608490566037736,2.0
105,8,3.0,2.608490566037736,2.0
109,3,1.0,2.608490566037736,2.0
109,3,1.0,2.608490566037736,2.0
4,5,3.0,2.608490566037736,2.0
105,3,3.0,2.608490566037736,2.0
109,5,1.0,2.608490566037736,2.0
107,3,3.0,2.608490566037736,2.0
109,2,1.0,2.608490566037736,2.0
47,2,3.0,2.608490566037736,2.0
132,3,1.0,2.608490566037736,2.0
132,3,1.0,2.608490566037736,2.0
90,3,3.0,2.608490566037736,2.0
74,3,3.0,5.724137931034483,5.0
111,3,1.0,5.724137931034483,5.0
114,13,2.0,2.608490566037736,2.0
107,2,3.0,2.608490566037736,2.0
15,5,0.0,2.608490566037736,2.0
96,1,3.0,2.608490566037736,2.0
90,2,3.0,2.608490566037736,2.0
116,5,2.0,2.608490566037736,2.0
132,3,1.0,2.608490566037736,2.0
59,3,1.0,2.608490566037736,2.0
90,3,3.0,2.608490566037736,2.0
59,0,1.0,2.608490566037736,2.0
90,2,3.0,2.608490566037736,2.0
105,2,3.0,2.608490566037736,2.0
47,0,3.0,2.608490566037736,2.0
47,0,3.0,2.608490566037736,2.0
92,0,1.0,2.608490566037736,2.0
