closest,sp,closest_sp,mean_cluster_sp,median_cluster_sp
234,3,2.0,3.5076045627376424,3.0
251,3,3.0,3.5076045627376424,3.0
30,5,0.0,3.5076045627376424,3.0
58,1,8.0,3.5076045627376424,3.0
251,1,3.0,3.5076045627376424,3.0
54,5,3.0,3.5076045627376424,3.0
135,3,3.0,3.5076045627376424,3.0
149,1,5.0,3.5076045627376424,3.0
31,5,0.0,3.5076045627376424,3.0
204,3,5.0,3.5076045627376424,3.0
216,3,3.0,3.5076045627376424,3.0
205,3,3.0,3.5076045627376424,3.0
100,3,5.0,3.5076045627376424,3.0
110,2,5.0,3.5076045627376424,3.0
117,5,3.0,3.5076045627376424,3.0
251,3,3.0,3.5076045627376424,3.0
74,3,1.0,3.5076045627376424,3.0
239,1,3.0,3.5076045627376424,3.0
135,3,3.0,3.5076045627376424,3.0
13,3,5.0,3.5076045627376424,3.0
131,2,3.0,3.5076045627376424,3.0
131,1,3.0,3.5076045627376424,3.0
119,3,5.0,3.5076045627376424,3.0
37,0,1.0,3.5076045627376424,3.0
226,3,8.0,3.5076045627376424,3.0
119,2,5.0,3.5076045627376424,3.0
225,3,8.0,3.5076045627376424,3.0
226,3,8.0,3.5076045627376424,3.0
165,3,5.0,3.5076045627376424,3.0
124,0,3.0,3.5076045627376424,3.0
174,3,2.0,3.5076045627376424,3.0
100,2,5.0,3.5076045627376424,3.0
235,0,5.0,3.5076045627376424,3.0
177,3,8.0,3.5076045627376424,3.0
246,5,5.0,3.5076045627376424,3.0
19,3,5.0,3.5076045627376424,3.0
215,2,3.0,3.5076045627376424,3.0
18,2,2.0,3.5076045627376424,3.0
178,3,3.0,3.5076045627376424,3.0
191,2,2.0,3.5076045627376424,3.0
269,3,2.0,3.5076045627376424,3.0
20,2,3.0,3.5076045627376424,3.0
158,2,5.0,3.5076045627376424,3.0
178,3,3.0,3.5076045627376424,3.0
205,3,3.0,3.5076045627376424,3.0
56,1,3.0,3.5076045627376424,3.0
247,1,2.0,3.5076045627376424,3.0
247,1,2.0,3.5076045627376424,3.0
247,1,2.0,3.5076045627376424,3.0
247,1,2.0,3.5076045627376424,3.0
247,1,2.0,3.5076045627376424,3.0
160,2,3.0,3.5076045627376424,3.0
8,1,2.0,3.5076045627376424,3.0
77,8,5.0,3.5076045627376424,3.0
247,1,2.0,3.5076045627376424,3.0
165,2,5.0,3.5076045627376424,3.0
247,1,2.0,3.5076045627376424,3.0
134,1,8.0,3.5076045627376424,3.0
239,3,3.0,3.5076045627376424,3.0
234,2,2.0,3.5076045627376424,3.0
151,1,3.0,3.5076045627376424,3.0
99,3,2.0,3.5076045627376424,3.0
100,3,5.0,3.5076045627376424,3.0
30,2,0.0,3.5076045627376424,3.0
199,2,3.0,3.5076045627376424,3.0
10,2,5.0,3.5076045627376424,3.0
102,3,1.0,3.5076045627376424,3.0
266,2,5.0,3.5076045627376424,3.0
8,3,2.0,3.5076045627376424,3.0
225,3,8.0,3.5076045627376424,3.0
63,2,3.0,3.5076045627376424,3.0
199,3,3.0,3.5076045627376424,3.0
204,3,5.0,3.5076045627376424,3.0
15,3,5.0,3.5076045627376424,3.0
5,2,2.0,3.5076045627376424,3.0
99,3,2.0,3.5076045627376424,3.0
99,3,2.0,3.5076045627376424,3.0
99,3,2.0,3.5076045627376424,3.0
99,3,2.0,3.5076045627376424,3.0
167,0,3.0,3.5076045627376424,3.0
173,2,3.0,3.5076045627376424,3.0
243,1,3.0,3.5076045627376424,3.0
228,3,3.0,3.5076045627376424,3.0
93,1,1.0,3.5076045627376424,3.0
13,2,5.0,3.5076045627376424,3.0
179,2,5.0,3.5076045627376424,3.0
108,2,5.0,3.5076045627376424,3.0
165,3,5.0,3.5076045627376424,3.0
234,2,2.0,3.5076045627376424,3.0
134,1,8.0,3.5076045627376424,3.0
243,3,3.0,3.5076045627376424,3.0
243,3,3.0,3.5076045627376424,3.0
155,2,3.0,3.5076045627376424,3.0
