closest,sp,closest_sp,mean_cluster_sp,median_cluster_sp
3195,1.0,3.0,3.4371819338422394,2.0
1903,1.0,2.0,3.4371819338422394,2.0
2430,2.0,2.0,3.4371819338422394,2.0
3113,1.0,1.0,3.4371819338422394,2.0
289,0.5,1.0,3.4371819338422394,2.0
767,0.5,0.5,3.4371819338422394,2.0
3195,1.0,3.0,3.4371819338422394,2.0
1239,5.0,2.0,3.4371819338422394,2.0
2906,1.0,1.0,3.4371819338422394,2.0
2032,2.0,3.0,3.4371819338422394,2.0
3195,1.0,3.0,3.4371819338422394,2.0
3226,3.0,1.0,3.4371819338422394,2.0
2151,0.5,8.0,3.4371819338422394,2.0
1669,0.0,1.0,3.4371819338422394,2.0
1771,0.0,0.5,3.4371819338422394,2.0
1848,0.0,0.5,3.4371819338422394,2.0
135,1.0,5.0,3.4371819338422394,2.0
2256,2.0,8.0,3.4371819338422394,2.0
802,20.0,2.0,3.4371819338422394,2.0
2476,1.0,2.0,3.4371819338422394,2.0
1190,0.0,2.0,3.4371819338422394,2.0
2128,0.0,1.0,3.4371819338422394,2.0
1351,1.0,1.0,3.4371819338422394,2.0
3196,1.0,3.0,3.4371819338422394,2.0
2758,0.0,0.5,3.4371819338422394,2.0
3128,0.5,1.0,3.4371819338422394,2.0
1351,0.5,1.0,3.4371819338422394,2.0
3034,2.0,5.0,3.4371819338422394,2.0
450,1.0,1.0,3.4371819338422394,2.0
258,0.0,3.0,3.4371819338422394,2.0
3198,3.0,0.5,3.4371819338422394,2.0
1014,1.0,8.0,3.4371819338422394,2.0
3020,3.0,2.0,3.4371819338422394,2.0
2872,2.0,3.0,3.4371819338422394,2.0
1778,1.0,1.0,3.4371819338422394,2.0
2117,1.0,1.0,3.4371819338422394,2.0
3034,3.0,5.0,3.4371819338422394,2.0
3034,5.0,5.0,3.4371819338422394,2.0
1903,1.0,2.0,3.4371819338422394,2.0
1995,0.5,1.0,3.4371819338422394,2.0
2308,2.0,2.0,3.4371819338422394,2.0
2420,1.0,1.0,3.4371819338422394,2.0
3033,2.0,1.0,3.4371819338422394,2.0
2841,0.0,1.0,3.4371819338422394,2.0
3032,2.0,1.0,3.4371819338422394,2.0
1889,3.0,8.0,3.4371819338422394,2.0
931,2.0,3.0,3.4371819338422394,2.0
2568,0.0,2.0,3.4371819338422394,2.0
3078,0.0,1.0,3.3271604938271606,2.0
3209,40.0,0.5,3.4371819338422394,2.0
927,8.0,2.0,3.4371819338422394,2.0
340,20.0,20.0,3.4371819338422394,2.0
333,20.0,1.0,3.4371819338422394,2.0
134,1.0,3.0,3.4371819338422394,2.0
3034,8.0,5.0,3.4371819338422394,2.0
2144,1.0,1.0,3.4371819338422394,2.0
1173,1.0,1.0,3.4371819338422394,2.0
2841,1.0,1.0,3.4371819338422394,2.0
2906,0.5,1.0,3.4371819338422394,2.0
3196,0.0,3.0,3.4371819338422394,2.0
3129,1.0,1.0,3.4371819338422394,2.0
2999,0.0,0.5,3.4371819338422394,2.0
919,1.0,0.5,3.4371819338422394,2.0
1617,1.0,0.5,3.4371819338422394,2.0
2229,8.0,3.0,3.4371819338422394,2.0
2494,1.0,2.0,3.4371819338422394,2.0
2735,1.0,3.0,3.4371819338422394,2.0
2818,3.0,40.0,3.4371819338422394,2.0
2625,1.0,3.0,3.4371819338422394,2.0
982,0.0,1.0,3.4371819338422394,2.0
3196,2.0,3.0,3.4371819338422394,2.0
3196,1.0,3.0,3.4371819338422394,2.0
3196,1.0,3.0,3.4371819338422394,2.0
3196,1.0,3.0,3.4371819338422394,2.0
952,2.0,2.0,3.4371819338422394,2.0
3093,2.0,2.0,3.4371819338422394,2.0
3159,0.0,1.0,3.4371819338422394,2.0
2029,20.0,3.0,3.4371819338422394,2.0
3196,3.0,3.0,3.4371819338422394,2.0
1275,3.0,0.5,3.4371819338422394,2.0
3198,1.0,0.5,3.4371819338422394,2.0
231,2.0,3.0,3.4371819338422394,2.0
3196,3.0,3.0,3.4371819338422394,2.0
3020,2.0,2.0,3.4371819338422394,2.0
1903,1.0,2.0,3.4371819338422394,2.0
2493,2.0,1.0,3.4371819338422394,2.0
3034,2.0,5.0,3.4371819338422394,2.0
1657,0.5,0.5,3.4371819338422394,2.0
2077,1.0,1.0,3.4371819338422394,2.0
2200,1.0,1.0,3.4371819338422394,2.0
347,3.0,1.0,3.4371819338422394,2.0
639,0.5,1.0,3.4371819338422394,2.0
2937,1.0,2.0,3.4371819338422394,2.0
1657,3.0,0.5,3.4371819338422394,2.0
2989,2.0,8.0,3.4371819338422394,2.0
1964,0.0,2.0,3.4371819338422394,2.0
3034,0.0,5.0,3.4371819338422394,2.0
828,8.0,2.0,3.4371819338422394,2.0
1841,2.0,1.0,3.4371819338422394,2.0
457,2.0,1.0,3.4371819338422394,2.0
2286,1.0,0.0,3.4371819338422394,2.0
836,1.0,1.0,3.4371819338422394,2.0
1969,2.0,1.0,3.4371819338422394,2.0
695,8.0,1.0,3.4371819338422394,2.0
2933,1.0,0.5,3.4371819338422394,2.0
2932,1.0,5.0,3.4371819338422394,2.0
3226,2.0,1.0,3.4371819338422394,2.0
2937,1.0,2.0,3.4371819338422394,2.0
3157,2.0,3.0,3.4371819338422394,2.0
359,2.0,1.0,3.4371819338422394,2.0
2676,8.0,1.0,3.4371819338422394,2.0
2332,0.0,1.0,3.4371819338422394,2.0
1862,0.0,2.0,3.4371819338422394,2.0
3034,0.0,5.0,3.4371819338422394,2.0
3034,1.0,5.0,3.4371819338422394,2.0
2521,2.0,2.0,3.4371819338422394,2.0
1558,0.0,0.5,3.4371819338422394,2.0
2825,0.0,0.5,3.4371819338422394,2.0
3134,1.0,1.0,3.3271604938271606,2.0
717,5.0,0.0,3.4371819338422394,2.0
1812,5.0,0.5,3.4371819338422394,2.0
1985,5.0,0.5,3.4371819338422394,2.0
54,0.0,5.0,3.4371819338422394,2.0
1903,2.0,2.0,3.4371819338422394,2.0
3201,2.0,2.0,3.4371819338422394,2.0
1371,20.0,20.0,3.4371819338422394,2.0
1247,20.0,8.0,3.4371819338422394,2.0
3083,1.0,8.0,3.4371819338422394,2.0
3196,2.0,3.0,3.4371819338422394,2.0
2972,2.0,1.0,3.4371819338422394,2.0
368,2.0,1.0,3.4371819338422394,2.0
3034,1.0,5.0,3.4371819338422394,2.0
3034,0.0,5.0,3.4371819338422394,2.0
3034,3.0,5.0,3.4371819338422394,2.0
3196,1.0,3.0,3.4371819338422394,2.0
1561,1.0,1.0,3.4371819338422394,2.0
3157,2.0,3.0,3.4371819338422394,2.0
837,1.0,1.0,3.4371819338422394,2.0
3196,1.0,3.0,3.4371819338422394,2.0
3196,2.0,3.0,3.4371819338422394,2.0
2416,2.0,0.5,3.4371819338422394,2.0
97,1.0,2.0,3.4371819338422394,2.0
1436,3.0,1.0,3.4371819338422394,2.0
2167,1.0,0.5,3.4371819338422394,2.0
1684,1.0,8.0,3.4371819338422394,2.0
1684,1.0,8.0,3.4371819338422394,2.0
1042,3.0,1.0,3.4371819338422394,2.0
3193,1.0,1.0,3.4371819338422394,2.0
2438,1.0,2.0,3.4371819338422394,2.0
3196,1.0,3.0,3.4371819338422394,2.0
22,2.0,8.0,3.4371819338422394,2.0
2819,1.0,0.5,3.4371819338422394,2.0
1322,0.0,1.0,3.4371819338422394,2.0
2634,2.0,0.5,3.4371819338422394,2.0
3034,1.0,5.0,3.4371819338422394,2.0
2015,2.0,2.0,3.4371819338422394,2.0
1958,1.0,5.0,3.4371819338422394,2.0
3034,2.0,5.0,3.4371819338422394,2.0
3034,1.0,5.0,3.4371819338422394,2.0
429,2.0,2.0,3.4371819338422394,2.0
2770,2.0,1.0,3.4371819338422394,2.0
2299,1.0,2.0,3.4371819338422394,2.0
1861,1.0,0.5,3.4371819338422394,2.0
3078,0.0,1.0,3.3271604938271606,2.0
2634,1.0,0.5,3.4371819338422394,2.0
1145,1.0,1.0,3.4371819338422394,2.0
3019,0.0,0.5,3.4371819338422394,2.0
3196,2.0,3.0,3.4371819338422394,2.0
1921,2.0,0.5,3.4371819338422394,2.0
2625,0.0,3.0,3.4371819338422394,2.0
3034,2.0,5.0,3.4371819338422394,2.0
3196,2.0,3.0,3.4371819338422394,2.0
2557,2.0,2.0,3.4371819338422394,2.0
2582,3.0,1.0,3.4371819338422394,2.0
1058,1.0,3.0,3.4371819338422394,2.0
972,2.0,5.0,3.4371819338422394,2.0
2117,2.0,1.0,3.4371819338422394,2.0
1263,5.0,1.0,3.4371819338422394,2.0
3034,1.0,5.0,3.4371819338422394,2.0
3201,0.0,2.0,3.4371819338422394,2.0
1383,1.0,0.5,3.4371819338422394,2.0
2818,0.0,40.0,3.4371819338422394,2.0
1007,2.0,0.5,3.4371819338422394,2.0
3034,2.0,5.0,3.4371819338422394,2.0
3078,3.0,1.0,3.3271604938271606,2.0
3034,3.0,5.0,3.4371819338422394,2.0
2842,1.0,2.0,3.4371819338422394,2.0
1704,2.0,1.0,3.4371819338422394,2.0
3072,1.0,0.5,3.4371819338422394,2.0
3034,0.0,5.0,3.4371819338422394,2.0
3196,2.0,3.0,3.4371819338422394,2.0
3196,2.0,3.0,3.4371819338422394,2.0
3196,2.0,3.0,3.4371819338422394,2.0
2388,8.0,0.5,3.4371819338422394,2.0
2438,1.0,2.0,3.4371819338422394,2.0
3200,1.0,2.0,3.4371819338422394,2.0
1961,2.0,1.0,3.4371819338422394,2.0
3219,5.0,1.0,3.4371819338422394,2.0
752,2.0,0.5,3.4371819338422394,2.0
3152,1.0,0.5,3.4371819338422394,2.0
2206,1.0,5.0,3.4371819338422394,2.0
3046,2.0,3.0,3.4371819338422394,2.0
687,1.0,1.0,3.4371819338422394,2.0
1844,1.0,2.0,3.4371819338422394,2.0
1428,1.0,0.5,3.4371819338422394,2.0
1909,3.0,1.0,3.4371819338422394,2.0
148,0.5,2.0,3.4371819338422394,2.0
2473,1.0,2.0,3.4371819338422394,2.0
2350,2.0,1.0,3.4371819338422394,2.0
2986,2.0,3.0,3.4371819338422394,2.0
1669,1.0,1.0,3.4371819338422394,2.0
2281,0.0,2.0,3.4371819338422394,2.0
2099,0.0,1.0,3.4371819338422394,2.0
1862,1.0,2.0,3.4371819338422394,2.0
2407,1.0,2.0,3.4371819338422394,2.0
2819,2.0,0.5,3.4371819338422394,2.0
1455,0.0,0.5,3.4371819338422394,2.0
1722,2.0,1.0,3.4371819338422394,2.0
1722,0.0,1.0,3.4371819338422394,2.0
1282,0.0,0.5,3.4371819338422394,2.0
374,1.0,2.0,3.4371819338422394,2.0
3197,1.0,1.0,3.4371819338422394,2.0
3093,1.0,2.0,3.4371819338422394,2.0
3019,0.0,0.5,3.4371819338422394,2.0
3034,3.0,5.0,3.4371819338422394,2.0
3034,0.0,5.0,3.4371819338422394,2.0
39,1.0,5.0,3.4371819338422394,2.0
2281,1.0,2.0,3.4371819338422394,2.0
1434,0.5,0.0,3.4371819338422394,2.0
3078,2.0,1.0,3.3271604938271606,2.0
2828,2.0,0.5,3.4371819338422394,2.0
2051,2.0,1.0,3.4371819338422394,2.0
2414,1.0,2.0,3.4371819338422394,2.0
1561,2.0,1.0,3.4371819338422394,2.0
3196,2.0,3.0,3.4371819338422394,2.0
3209,8.0,0.5,3.4371819338422394,2.0
1533,1.0,2.0,3.4371819338422394,2.0
1634,0.5,2.0,3.4371819338422394,2.0
3195,1.0,3.0,3.4371819338422394,2.0
2165,1.0,1.0,3.4371819338422394,2.0
3034,1.0,5.0,3.4371819338422394,2.0
3034,1.0,5.0,3.4371819338422394,2.0
2180,1.0,3.0,3.4371819338422394,2.0
2045,2.0,3.0,3.4371819338422394,2.0
2467,1.0,0.5,3.4371819338422394,2.0
2113,2.0,1.0,3.4371819338422394,2.0
3104,0.0,0.0,3.4371819338422394,2.0
3140,2.0,1.0,3.4371819338422394,2.0
45,3.0,5.0,3.4371819338422394,2.0
876,1.0,5.0,3.4371819338422394,2.0
2350,1.0,1.0,3.4371819338422394,2.0
2441,1.0,2.0,3.4371819338422394,2.0
3014,8.0,2.0,3.4371819338422394,2.0
2855,0.5,1.0,3.4371819338422394,2.0
3128,2.0,1.0,3.4371819338422394,2.0
2906,1.0,1.0,3.4371819338422394,2.0
3201,1.0,2.0,3.4371819338422394,2.0
836,0.5,1.0,3.4371819338422394,2.0
3078,5.0,1.0,3.3271604938271606,2.0
1680,2.0,2.0,3.4371819338422394,2.0
2841,0.0,1.0,3.4371819338422394,2.0
1903,0.0,2.0,3.4371819338422394,2.0
2387,0.0,0.0,3.4371819338422394,2.0
1771,1.0,0.5,3.4371819338422394,2.0
1145,2.0,1.0,3.4371819338422394,2.0
192,2.0,3.0,3.4371819338422394,2.0
3109,2.0,20.0,3.4371819338422394,2.0
2780,1.0,1.0,3.4371819338422394,2.0
3196,0.0,3.0,3.4371819338422394,2.0
1087,1.0,3.0,3.4371819338422394,2.0
