closest,sp,closest_sp,mean_cluster_sp,median_cluster_sp
1215,1,2.0,2.1233164983164983,2.0
1144,2,2.0,2.1233164983164983,2.0
971,2,2.0,2.1233164983164983,2.0
818,1,2.0,2.1233164983164983,2.0
114,3,1.0,2.1233164983164983,2.0
913,2,0.0,2.1233164983164983,2.0
1151,2,2.0,2.1233164983164983,2.0
935,3,1.0,2.1233164983164983,2.0
905,1,1.0,2.1233164983164983,2.0
946,2,2.0,2.1233164983164983,2.0
538,1,1.0,2.1233164983164983,2.0
164,2,1.0,2.1233164983164983,2.0
531,1,1.0,2.1233164983164983,2.0
920,2,5.0,2.1233164983164983,2.0
920,2,5.0,2.1233164983164983,2.0
753,2,2.0,2.1233164983164983,2.0
920,2,5.0,2.1233164983164983,2.0
870,2,2.0,2.1233164983164983,2.0
332,2,1.0,2.1233164983164983,2.0
41,3,1.0,2.1233164983164983,2.0
209,1,1.0,2.1233164983164983,2.0
209,2,1.0,2.1233164983164983,2.0
132,2,1.0,2.1233164983164983,2.0
196,1,2.0,2.1233164983164983,2.0
44,1,1.0,2.1233164983164983,2.0
684,1,2.0,2.1233164983164983,2.0
507,1,2.0,2.1233164983164983,2.0
183,2,1.0,2.1233164983164983,2.0
969,2,5.0,2.1233164983164983,2.0
11,1,1.0,2.1233164983164983,2.0
1178,1,3.0,2.1233164983164983,2.0
1076,2,5.0,2.1233164983164983,2.0
1157,1,2.0,2.1233164983164983,2.0
114,1,1.0,2.1233164983164983,2.0
1157,1,2.0,2.1233164983164983,2.0
159,2,1.0,2.1233164983164983,2.0
91,2,8.0,2.1233164983164983,2.0
132,2,1.0,2.1233164983164983,2.0
1097,2,2.0,2.1233164983164983,2.0
1064,1,2.0,2.1233164983164983,2.0
468,1,1.0,2.1233164983164983,2.0
948,1,2.0,2.1233164983164983,2.0
161,1,1.0,2.1233164983164983,2.0
1065,1,1.0,2.1233164983164983,2.0
44,2,1.0,2.1233164983164983,2.0
1085,1,2.0,2.1233164983164983,2.0
1124,2,2.0,2.1233164983164983,2.0
702,1,2.0,2.1233164983164983,2.0
499,2,2.0,2.1233164983164983,2.0
878,1,3.0,2.1233164983164983,2.0
869,1,2.0,2.1233164983164983,2.0
603,2,1.0,2.1233164983164983,2.0
451,2,5.0,2.1233164983164983,2.0
753,2,2.0,2.1233164983164983,2.0
1193,2,2.0,2.1233164983164983,2.0
136,1,2.0,2.1233164983164983,2.0
909,2,1.0,2.1233164983164983,2.0
531,1,1.0,2.1233164983164983,2.0
41,3,1.0,2.1233164983164983,2.0
367,1,1.0,2.1233164983164983,2.0
684,1,2.0,2.1233164983164983,2.0
929,3,1.0,2.1233164983164983,2.0
1025,1,2.0,2.1233164983164983,2.0
1038,2,2.0,2.1233164983164983,2.0
1168,1,2.0,2.1233164983164983,2.0
1193,1,2.0,2.1233164983164983,2.0
179,2,1.0,2.1233164983164983,2.0
16,2,2.0,2.1233164983164983,2.0
860,1,1.0,2.1233164983164983,2.0
541,2,1.0,2.1233164983164983,2.0
1155,3,2.0,2.1233164983164983,2.0
93,1,1.0,2.1233164983164983,2.0
1023,1,1.0,2.1233164983164983,2.0
30,1,1.0,2.1233164983164983,2.0
1023,2,1.0,2.1233164983164983,2.0
30,1,1.0,2.1233164983164983,2.0
176,2,2.0,2.1233164983164983,2.0
41,1,1.0,2.1233164983164983,2.0
650,2,1.0,2.1233164983164983,2.0
594,1,1.0,2.1233164983164983,2.0
1065,1,1.0,2.1233164983164983,2.0
861,1,5.0,2.1233164983164983,2.0
293,1,1.0,2.1233164983164983,2.0
432,2,1.0,2.1233164983164983,2.0
242,1,3.0,2.1233164983164983,2.0
30,1,1.0,2.1233164983164983,2.0
94,2,2.0,2.1233164983164983,2.0
856,1,2.0,2.1233164983164983,2.0
971,3,2.0,2.1233164983164983,2.0
1212,1,1.0,2.1233164983164983,2.0
891,1,2.0,2.1233164983164983,2.0
661,1,3.0,2.1233164983164983,2.0
4,2,1.0,2.1233164983164983,2.0
218,1,1.0,2.1233164983164983,2.0
136,1,2.0,2.1233164983164983,2.0
436,2,1.0,2.1233164983164983,2.0
887,2,2.0,2.1233164983164983,2.0
623,1,1.0,2.1233164983164983,2.0
47,1,1.0,2.1233164983164983,2.0
244,2,5.0,2.1233164983164983,2.0
615,1,3.0,2.1233164983164983,2.0
457,2,1.0,2.1233164983164983,2.0
615,1,3.0,2.1233164983164983,2.0
41,2,1.0,2.1233164983164983,2.0
1223,1,2.0,2.1233164983164983,2.0
674,2,2.0,2.1233164983164983,2.0
1185,8,2.0,2.1233164983164983,2.0
842,1,2.0,2.1233164983164983,2.0
1096,1,3.0,2.1233164983164983,2.0
84,2,5.0,2.1233164983164983,2.0
1048,2,8.0,2.1233164983164983,2.0
863,1,5.0,2.1233164983164983,2.0
684,1,2.0,2.1233164983164983,2.0
30,1,1.0,2.1233164983164983,2.0
217,2,1.0,2.1233164983164983,2.0
850,1,1.0,2.1233164983164983,2.0
882,2,2.0,2.1233164983164983,2.0
187,3,2.0,2.1233164983164983,2.0
1222,1,2.0,2.1233164983164983,2.0
