closest,sp,closest_sp,mean_cluster_sp,median_cluster_sp
70,2,2,1.9507042253521127,1.0
144,1,2,1.9507042253521127,1.0
168,3,2,1.9507042253521127,1.0
112,2,1,1.9507042253521127,1.0
12,1,1,1.9507042253521127,1.0
43,2,1,1.9507042253521127,1.0
87,1,1,1.9507042253521127,1.0
112,2,1,1.9507042253521127,1.0
87,2,1,1.9507042253521127,1.0
141,1,1,1.9507042253521127,1.0
184,2,3,1.9507042253521127,1.0
127,1,5,1.9507042253521127,1.0
168,1,2,1.9507042253521127,1.0
112,2,1,1.9507042253521127,1.0
78,1,3,1.9507042253521127,1.0
126,1,1,1.4864864864864864,1.0
93,2,1,1.9507042253521127,1.0
183,2,3,1.9507042253521127,1.0
184,1,3,1.9507042253521127,1.0
168,1,2,1.9507042253521127,1.0
116,2,0,1.9507042253521127,1.0
168,1,2,1.9507042253521127,1.0
144,1,2,1.9507042253521127,1.0
21,1,1,1.4864864864864864,1.0
158,5,2,1.9507042253521127,1.0
39,1,1,1.9507042253521127,1.0
71,3,1,1.9507042253521127,1.0
91,3,2,1.4864864864864864,1.0
127,2,5,1.9507042253521127,1.0
183,1,3,1.9507042253521127,1.0
70,1,2,1.9507042253521127,1.0
12,1,1,1.9507042253521127,1.0
91,1,2,1.4864864864864864,1.0
112,2,1,1.9507042253521127,1.0
158,1,2,1.9507042253521127,1.0
10,1,1,1.9507042253521127,1.0
183,1,3,1.9507042253521127,1.0
112,2,1,1.9507042253521127,1.0
10,2,1,1.9507042253521127,1.0
170,3,1,1.9507042253521127,1.0
109,3,1,1.9507042253521127,1.0
134,1,1,1.4864864864864864,1.0
168,2,2,1.9507042253521127,1.0
126,1,1,1.4864864864864864,1.0
127,1,5,1.9507042253521127,1.0
74,1,1,1.9507042253521127,1.0
127,2,5,1.9507042253521127,1.0
40,1,1,1.9507042253521127,1.0
69,1,1,1.9507042253521127,1.0
4,1,2,1.9507042253521127,1.0
31,2,3,1.9507042253521127,1.0
168,1,2,1.9507042253521127,1.0
117,3,1,1.9507042253521127,1.0
162,1,1,1.9507042253521127,1.0
109,2,1,1.9507042253521127,1.0
181,3,1,1.9507042253521127,1.0
115,1,20,1.9507042253521127,1.0
23,2,2,1.9507042253521127,1.0
12,2,1,1.9507042253521127,1.0
10,3,1,1.9507042253521127,1.0
71,2,1,1.9507042253521127,1.0
10,2,1,1.9507042253521127,1.0
164,2,1,1.4864864864864864,1.0
