closest,sp,closest_sp,mean_cluster_sp,median_cluster_sp
873,2,2.0,1.4666666666666666,1.0
1017,2,2.0,1.5535714285714286,2.0
551,1,2.0,1.394736842105263,1.0
150,1,2.0,1.5,1.5
1350,0,2.0,1.3333333333333333,1.5
1550,2,2.0,2.0,2.0
639,2,1.0,1.4375,2.0
554,1,1.0,1.2105263157894737,1.0
1391,2,2.0,1.5217391304347827,2.0
690,0,2.0,1.125,1.0
304,1,1.0,1.15,1.0
755,2,2.0,1.55,2.0
15,0,1.0,1.8888888888888888,1.5
722,1,2.0,1.5,2.0
15,1,1.0,1.8888888888888888,1.5
24,1,1.0,1.6153846153846154,1.5
879,1,5.0,1.9583333333333333,1.0
605,2,2.0,1.25,1.0
411,2,2.0,1.4324324324324325,1.0
1652,1,1.0,1.394736842105263,1.0
690,1,2.0,1.125,1.0
1517,1,2.0,1.55,2.0
1155,1,2.0,1.5084745762711864,2.0
1387,2,2.0,1.5084745762711864,2.0
641,2,2.0,1.15,1.0
1379,0,2.0,1.4324324324324325,1.0
1680,2,0.0,1.25,1.5
1540,0,1.0,1.9583333333333333,1.0
1499,0,1.0,1.3333333333333333,1.0
368,0,2.0,1.5217391304347827,2.0
939,2,1.0,1.375,1.0
288,1,1.0,1.0,1.0
1245,2,3.0,1.54,2.0
1582,2,1.0,1.2105263157894737,1.0
353,2,2.0,1.6451612903225807,2.0
1687,1,1.0,0.6666666666666666,1.0
67,1,1.0,1.5116279069767442,1.0
353,1,2.0,1.6451612903225807,2.0
353,1,2.0,1.6451612903225807,2.0
210,0,1.0,1.5,1.5
1099,1,1.0,1.5,1.5
4,2,2.0,1.6153846153846154,1.5
1646,2,0.0,0.8,1.0
118,2,1.0,2.0,2.0
1481,2,1.0,1.0454545454545454,1.0
3,1,1.0,1.3529411764705883,1.0
408,1,1.0,1.5217391304347827,2.0
394,1,2.0,2.0,2.0
517,1,2.0,1.4,1.0
552,2,1.0,1.6451612903225807,2.0
1323,1,8.0,1.9583333333333333,1.0
753,0,1.0,1.0,1.0
1374,1,2.0,1.4375,2.0
353,2,2.0,1.6451612903225807,2.0
1174,0,1.0,1.4,1.0
949,1,1.0,1.0454545454545454,1.0
1405,1,1.0,1.0344827586206897,1.0
1620,2,0.0,1.9583333333333333,1.0
1016,0,2.0,1.54,2.0
174,2,2.0,1.54,2.0
394,1,2.0,2.0,2.0
1159,2,2.0,1.54,2.0
1035,0,1.0,1.4,1.0
1629,2,2.0,1.9583333333333333,1.0
1429,1,2.0,1.4375,2.0
1154,2,2.0,1.4375,2.0
1606,1,2.0,1.4,1.0
723,1,2.0,1.4,1.0
193,2,2.0,1.55,2.0
1056,1,2.0,1.3529411764705883,1.0
202,1,1.0,1.5217391304347827,2.0
1220,1,2.0,1.6666666666666667,2.0
805,2,0.0,1.44,1.0
353,1,2.0,1.6451612903225807,2.0
653,0,1.0,1.4,1.0
1641,2,1.0,1.55,2.0
1657,1,2.0,1.9583333333333333,1.0
1270,1,1.0,1.3529411764705883,1.0
663,2,1.0,1.5714285714285714,2.0
111,1,1.0,1.0,1.0
353,0,2.0,1.6451612903225807,2.0
387,1,1.0,1.3529411764705883,1.0
332,2,2.0,1.6666666666666667,2.0
1502,3,3.0,1.9705882352941178,2.0
1263,2,3.0,1.9705882352941178,2.0
1503,2,1.0,1.1818181818181819,1.0
1630,0,0.0,1.0344827586206897,1.0
1529,3,2.0,1.1818181818181819,1.0
961,3,2.0,1.8,2.0
1674,2,2.0,1.8,2.0
967,3,2.0,1.8,2.0
836,2,2.0,1.8,2.0
963,2,2.0,1.8,2.0
867,2,1.0,1.4666666666666666,1.0
1317,0,1.0,1.6,2.0
535,2,2.0,1.4285714285714286,1.0
1612,2,2.0,1.6451612903225807,2.0
1612,3,2.0,1.6451612903225807,2.0
928,2,2.0,1.6451612903225807,2.0
1612,2,2.0,1.6451612903225807,2.0
1610,3,2.0,1.6451612903225807,2.0
1612,3,2.0,1.6451612903225807,2.0
1470,2,1.0,1.1818181818181819,1.0
867,8,1.0,1.4666666666666666,1.0
491,1,2.0,1.25,1.0
708,1,2.0,1.6666666666666667,2.0
152,1,1.0,1.5084745762711864,2.0
1253,1,1.0,1.0,1.0
321,0,2.0,1.15,1.0
893,2,2.0,1.3529411764705883,1.0
555,1,1.0,1.3333333333333333,1.0
353,2,2.0,1.6451612903225807,2.0
682,0,2.0,1.55,2.0
440,2,2.0,1.4166666666666667,1.5
611,1,1.0,1.4,1.0
1051,2,1.0,1.2105263157894737,1.0
83,1,1.0,1.4,1.0
1212,1,1.0,1.3,1.0
1342,1,2.0,1.5084745762711864,2.0
1061,1,2.0,1.434782608695652,1.0
796,2,1.0,1.44,1.0
491,1,2.0,1.25,1.0
686,2,2.0,1.4,1.0
379,1,2.0,1.4,1.0
1573,1,1.0,1.44,1.0
1122,2,2.0,1.5084745762711864,2.0
562,2,1.0,1.9705882352941178,2.0
368,1,2.0,1.5217391304347827,2.0
664,1,1.0,1.25,1.0
353,1,2.0,1.6451612903225807,2.0
353,1,2.0,1.6451612903225807,2.0
947,2,1.0,1.5535714285714286,2.0
1381,1,2.0,1.1818181818181819,1.0
383,1,1.0,1.5535714285714286,2.0
1359,1,2.0,1.44,1.0
555,1,1.0,1.3333333333333333,1.0
1368,2,1.0,1.3,1.0
753,0,1.0,1.0,1.0
906,1,1.0,1.5116279069767442,1.0
1339,1,1.0,1.3333333333333333,1.0
897,1,1.0,1.4,1.0
1114,1,2.0,1.0,1.0
1162,1,2.0,1.4375,2.0
170,1,1.0,1.4375,2.0
220,1,1.0,1.434782608695652,1.0
796,1,1.0,1.44,1.0
745,0,1.0,1.4166666666666667,1.5
579,2,2.0,1.9705882352941178,2.0
852,1,1.0,1.25,1.0
1218,1,0.0,1.434782608695652,1.0
450,1,2.0,1.0454545454545454,1.0
631,1,1.0,1.5084745762711864,2.0
1593,2,2.0,1.55,2.0
672,2,1.0,2.3333333333333335,2.0
353,1,2.0,1.6451612903225807,2.0
353,2,2.0,1.6451612903225807,2.0
1299,1,1.0,1.1818181818181819,1.0
1618,2,1.0,1.375,1.0
597,2,1.0,1.4,1.0
1523,2,2.0,1.9583333333333333,1.0
584,2,1.0,1.3529411764705883,1.0
1139,2,2.0,1.15,1.0
1252,2,2.0,1.5084745762711864,2.0
44,1,1.0,1.3333333333333333,1.0
