closest,sp,closest_sp,mean_cluster_sp,median_cluster_sp
16,2,3,3.196319018404908,2.0
11,5,8,3.196319018404908,2.0
87,2,1,3.196319018404908,2.0
16,2,3,3.196319018404908,2.0
16,3,3,3.196319018404908,2.0
16,3,3,3.196319018404908,2.0
20,5,8,3.196319018404908,2.0
47,1,2,3.196319018404908,2.0
18,2,8,3.196319018404908,2.0
18,2,8,3.196319018404908,2.0
16,3,3,3.196319018404908,2.0
16,3,3,3.196319018404908,2.0
37,1,2,3.196319018404908,2.0
13,2,2,3.196319018404908,2.0
118,2,8,3.196319018404908,2.0
16,2,3,3.196319018404908,2.0
97,2,3,3.196319018404908,2.0
16,3,3,3.196319018404908,2.0
16,3,3,3.196319018404908,2.0
16,3,3,3.196319018404908,2.0
19,2,8,3.196319018404908,2.0
16,2,3,3.196319018404908,2.0
16,2,3,3.196319018404908,2.0
118,3,8,3.196319018404908,2.0
16,2,3,3.196319018404908,2.0
16,2,3,3.196319018404908,2.0
16,2,3,3.196319018404908,2.0
16,3,3,3.196319018404908,2.0
16,2,3,3.196319018404908,2.0
16,3,3,3.196319018404908,2.0
16,3,3,3.196319018404908,2.0
77,2,2,3.196319018404908,2.0
43,2,8,3.196319018404908,2.0
77,2,2,3.196319018404908,2.0
110,5,8,3.196319018404908,2.0
77,3,2,3.196319018404908,2.0
77,2,2,3.196319018404908,2.0
77,2,2,3.196319018404908,2.0
19,3,8,3.196319018404908,2.0
77,1,2,3.196319018404908,2.0
77,2,2,3.196319018404908,2.0
77,2,2,3.196319018404908,2.0
97,1,3,3.196319018404908,2.0
77,1,2,3.196319018404908,2.0
118,1,8,3.196319018404908,2.0
118,1,8,3.196319018404908,2.0
118,1,8,3.196319018404908,2.0
77,1,2,3.196319018404908,2.0
77,1,2,3.196319018404908,2.0
19,1,8,3.196319018404908,2.0
18,2,8,3.196319018404908,2.0
118,2,8,3.196319018404908,2.0
77,1,2,3.196319018404908,2.0
77,1,2,3.196319018404908,2.0
43,1,8,3.196319018404908,2.0
29,2,2,3.196319018404908,2.0
18,1,8,3.196319018404908,2.0
0,1,2,3.196319018404908,2.0
118,1,8,3.196319018404908,2.0
75,1,3,3.196319018404908,2.0
125,2,8,3.196319018404908,2.0
118,3,8,3.196319018404908,2.0
77,3,2,3.196319018404908,2.0
