closest,sp,closest_sp,mean_cluster_sp,median_cluster_sp
298,2,3.0,2.5555555555555554,2.0
674,1,5.0,3.0,2.5
374,1,3.0,2.4,2.0
395,3,2.0,3.41044776119403,3.0
522,2,3.0,2.230769230769231,2.0
434,2,3.0,4.0,4.0
434,2,3.0,4.0,4.0
522,2,3.0,2.230769230769231,2.0
807,2,2.0,2.0,2.0
128,3,2.0,2.5555555555555554,2.0
581,2,2.0,2.673469387755102,2.0
284,1,5.0,2.357142857142857,2.0
86,1,3.0,2.8987341772151898,3.0
240,3,1.0,2.673469387755102,2.0
861,2,5.0,2.8987341772151898,3.0
550,1,2.0,1.8571428571428572,2.0
65,2,2.0,1.3333333333333333,1.0
122,1,1.0,1.25,1.0
636,1,2.0,2.4,2.0
324,3,1.0,1.8,1.0
3,2,1.0,2.8987341772151898,3.0
81,3,1.0,2.8987341772151898,3.0
138,5,2.0,3.037037037037037,3.0
243,5,8.0,3.375,3.0
49,3,2.0,3.037037037037037,3.0
728,2,5.0,5.0,5.0
776,2,3.0,2.8987341772151898,3.0
538,5,1.0,4.142857142857143,3.0
109,3,5.0,3.037037037037037,3.0
253,2,8.0,4.142857142857143,3.0
280,5,2.0,3.6363636363636362,3.0
817,1,1.0,4.586206896551724,3.0
333,5,1.0,2.75,3.0
785,2,1.0,2.673469387755102,2.0
249,5,8.0,2.8987341772151898,3.0
401,5,1.0,4.142857142857143,3.0
393,3,2.0,2.8987341772151898,3.0
691,3,5.0,3.4047619047619047,3.0
36,2,5.0,3.4047619047619047,3.0
817,5,1.0,4.586206896551724,3.0
297,1,1.0,2.673469387755102,2.0
126,1,1.0,1.5,1.5
3,2,1.0,2.8987341772151898,3.0
650,5,1.0,3.41044776119403,3.0
812,3,2.0,3.1470588235294117,3.0
291,2,3.0,2.6666666666666665,3.0
368,5,3.0,3.0,3.0
793,5,8.0,3.6363636363636362,3.0
789,3,8.0,4.857142857142857,5.0
519,5,1.0,3.0,3.0
111,2,3.0,2.8987341772151898,3.0
