closest,sp,closest_sp,mean_cluster_sp,median_cluster_sp
1225,1,5,4.040775401069519,3.0
1693,1,3,5.024,5.0
331,0,3,4.040775401069519,3.0
1732,8,8,4.040775401069519,3.0
776,0,0,5.024,5.0
1586,1,2,4.040775401069519,3.0
1184,8,1,4.040775401069519,3.0
850,3,3,4.040775401069519,3.0
1579,8,2,4.040775401069519,3.0
1452,8,2,4.040775401069519,3.0
1452,2,2,4.040775401069519,3.0
269,0,1,5.024,5.0
1208,3,5,4.040775401069519,3.0
557,8,5,4.040775401069519,3.0
136,0,1,4.040775401069519,3.0
1590,0,2,4.040775401069519,3.0
1060,1,1,4.040775401069519,3.0
933,2,8,4.040775401069519,3.0
1060,1,1,4.040775401069519,3.0
1460,8,13,4.040775401069519,3.0
1556,8,13,5.024,5.0
272,1,0,4.040775401069519,3.0
339,5,5,4.040775401069519,3.0
1062,1,1,4.040775401069519,3.0
1555,1,2,5.024,5.0
1517,8,13,4.040775401069519,3.0
973,1,1,4.040775401069519,3.0
137,0,8,4.040775401069519,3.0
400,1,1,4.040775401069519,3.0
545,8,8,4.040775401069519,3.0
1221,2,8,4.040775401069519,3.0
339,8,5,4.040775401069519,3.0
1703,3,13,4.040775401069519,3.0
1737,3,13,4.040775401069519,3.0
1693,1,3,5.024,5.0
671,1,8,4.040775401069519,3.0
567,2,13,4.040775401069519,3.0
1086,2,0,4.040775401069519,3.0
1648,8,2,4.040775401069519,3.0
1151,8,5,4.040775401069519,3.0
1398,2,2,4.040775401069519,3.0
1592,2,8,5.024,5.0
1741,0,1,4.040775401069519,3.0
985,8,2,4.040775401069519,3.0
1287,8,1,4.040775401069519,3.0
1364,1,8,4.040775401069519,3.0
958,0,5,4.040775401069519,3.0
112,2,5,4.040775401069519,3.0
1497,1,0,4.040775401069519,3.0
632,2,1,5.024,5.0
954,0,8,4.040775401069519,3.0
1740,1,1,4.040775401069519,3.0
1703,8,13,4.040775401069519,3.0
1054,3,1,4.040775401069519,3.0
1156,8,8,4.040775401069519,3.0
303,0,0,4.040775401069519,3.0
1248,1,0,4.040775401069519,3.0
1293,8,13,4.040775401069519,3.0
898,8,8,4.040775401069519,3.0
1218,8,8,4.040775401069519,3.0
1258,0,1,5.024,5.0
1293,8,13,4.040775401069519,3.0
898,8,8,4.040775401069519,3.0
1472,2,8,4.040775401069519,3.0
269,2,1,5.024,5.0
832,13,8,4.040775401069519,3.0
985,13,2,4.040775401069519,3.0
605,0,1,4.040775401069519,3.0
1240,2,3,4.040775401069519,3.0
379,1,0,4.040775401069519,3.0
985,1,2,4.040775401069519,3.0
1511,1,1,4.040775401069519,3.0
1208,5,5,4.040775401069519,3.0
958,5,5,4.040775401069519,3.0
136,2,1,4.040775401069519,3.0
1320,2,0,4.040775401069519,3.0
1735,2,2,4.040775401069519,3.0
1281,2,8,4.040775401069519,3.0
1297,2,5,4.040775401069519,3.0
116,2,3,4.040775401069519,3.0
1708,1,0,5.024,5.0
645,8,8,4.040775401069519,3.0
636,8,1,5.024,5.0
1330,8,0,4.040775401069519,3.0
1678,0,2,4.040775401069519,3.0
837,8,8,4.040775401069519,3.0
1137,2,3,4.040775401069519,3.0
1593,0,1,5.024,5.0
418,8,0,4.040775401069519,3.0
1088,2,1,4.040775401069519,3.0
53,2,5,4.040775401069519,3.0
755,2,3,4.040775401069519,3.0
1703,8,13,4.040775401069519,3.0
1100,1,3,4.040775401069519,3.0
1208,3,5,4.040775401069519,3.0
826,8,5,4.040775401069519,3.0
1324,1,5,4.040775401069519,3.0
270,2,8,4.040775401069519,3.0
1070,1,0,4.040775401069519,3.0
1195,5,13,5.024,5.0
240,0,3,4.040775401069519,3.0
930,13,5,4.040775401069519,3.0
1450,3,1,4.040775401069519,3.0
1399,2,5,4.040775401069519,3.0
898,2,8,4.040775401069519,3.0
1463,2,8,4.040775401069519,3.0
529,3,1,4.040775401069519,3.0
1045,5,3,4.040775401069519,3.0
791,0,0,4.040775401069519,3.0
147,1,2,5.024,5.0
532,2,5,4.040775401069519,3.0
1240,2,3,4.040775401069519,3.0
1647,1,1,4.040775401069519,3.0
874,2,5,4.040775401069519,3.0
866,2,2,4.040775401069519,3.0
898,8,8,4.040775401069519,3.0
898,8,8,4.040775401069519,3.0
898,8,8,4.040775401069519,3.0
165,2,3,4.040775401069519,3.0
1016,1,3,4.040775401069519,3.0
1710,5,8,4.040775401069519,3.0
1464,2,0,4.040775401069519,3.0
954,2,8,4.040775401069519,3.0
1015,5,5,4.040775401069519,3.0
1346,2,8,4.040775401069519,3.0
672,8,5,4.040775401069519,3.0
1380,8,5,4.040775401069519,3.0
1470,2,3,5.024,5.0
706,2,1,4.040775401069519,3.0
1029,2,3,4.040775401069519,3.0
1703,1,13,4.040775401069519,3.0
970,8,1,4.040775401069519,3.0
1194,5,2,4.040775401069519,3.0
1476,2,1,4.040775401069519,3.0
1403,1,2,4.040775401069519,3.0
911,0,5,4.040775401069519,3.0
173,2,1,4.040775401069519,3.0
1554,2,8,5.024,5.0
13,2,1,4.040775401069519,3.0
69,8,1,4.040775401069519,3.0
325,0,3,4.040775401069519,3.0
1301,3,13,4.040775401069519,3.0
1425,2,8,4.040775401069519,3.0
712,0,3,4.040775401069519,3.0
648,2,0,4.040775401069519,3.0
1486,3,0,4.040775401069519,3.0
824,8,0,4.040775401069519,3.0
414,5,8,4.040775401069519,3.0
1268,0,0,5.024,5.0
251,1,1,4.040775401069519,3.0
190,5,5,4.040775401069519,3.0
1032,5,1,4.040775401069519,3.0
635,0,0,4.040775401069519,3.0
270,1,8,4.040775401069519,3.0
1554,2,8,5.024,5.0
662,8,0,4.040775401069519,3.0
1567,1,8,4.040775401069519,3.0
146,1,0,4.040775401069519,3.0
1759,1,1,4.040775401069519,3.0
976,2,1,4.040775401069519,3.0
136,1,1,4.040775401069519,3.0
448,1,3,4.040775401069519,3.0
4,8,8,4.040775401069519,3.0
1364,1,8,4.040775401069519,3.0
1348,2,3,4.040775401069519,3.0
1703,0,13,4.040775401069519,3.0
1675,0,8,4.040775401069519,3.0
1491,0,2,4.040775401069519,3.0
1600,0,8,4.040775401069519,3.0
47,1,8,4.040775401069519,3.0
1464,1,0,4.040775401069519,3.0
1666,2,0,4.040775401069519,3.0
1396,0,2,4.040775401069519,3.0
1144,2,13,4.040775401069519,3.0
435,0,1,4.040775401069519,3.0
1539,8,2,4.040775401069519,3.0
133,2,8,4.040775401069519,3.0
1350,1,8,5.024,5.0
344,0,2,4.040775401069519,3.0
246,2,3,4.040775401069519,3.0
832,8,8,4.040775401069519,3.0
605,0,1,4.040775401069519,3.0
1650,8,2,4.040775401069519,3.0
136,8,1,4.040775401069519,3.0
639,1,8,5.024,5.0
1713,0,13,4.040775401069519,3.0
1120,2,5,4.040775401069519,3.0
1240,8,3,4.040775401069519,3.0
442,5,0,4.040775401069519,3.0
806,1,2,4.040775401069519,3.0
1627,2,3,4.040775401069519,3.0
1737,3,13,4.040775401069519,3.0
344,0,2,4.040775401069519,3.0
571,13,1,4.040775401069519,3.0
137,2,8,4.040775401069519,3.0
1492,2,1,4.040775401069519,3.0
