closest,sp,closest_sp,mean_cluster_sp,median_cluster_sp
754,1.0,2.0,1.5,1.0
623,1.0,0.5,1.3235294117647058,1.0
736,2.0,0.5,1.25,1.25
729,2.0,1.0,1.575,1.0
312,0.5,1.0,1.6,1.0
390,2.0,1.0,3.0,3.0
460,3.0,2.0,1.2272727272727273,1.0
674,1.0,1.0,1.05,1.0
807,0.5,1.0,1.6666666666666667,2.0
661,1.0,1.0,1.5,1.0
810,0.5,0.5,0.5,0.5
319,1.0,0.5,0.5,0.5
390,8.0,1.0,3.0,3.0
510,0.5,1.0,1.3695652173913044,1.0
728,3.0,0.5,1.7142857142857142,1.0
624,3.0,0.5,1.25,1.25
335,3.0,2.0,2.0,2.0
801,1.0,5.0,1.575,1.0
831,0.5,3.0,3.0,3.0
258,1.0,1.0,1.0,1.0
681,1.0,1.0,1.4166666666666667,1.0
635,2.0,5.0,1.3695652173913044,1.0
848,1.0,3.0,1.25,1.0
85,3.0,3.0,1.1111111111111112,1.0
256,1.0,2.0,1.8,1.0
154,1.0,1.0,1.4444444444444444,1.0
468,1.0,0.5,0.9642857142857143,0.5
284,2.0,0.5,1.25,1.0
390,5.0,1.0,3.0,3.0
813,3.0,2.0,1.25,1.0
58,1.0,5.0,3.5,3.5
814,1.0,1.0,1.3235294117647058,1.0
452,1.0,2.0,1.1,1.0
135,0.0,1.0,1.0833333333333333,1.0
18,1.0,2.0,1.0833333333333333,1.0
633,2.0,0.5,1.5,1.0
746,3.0,1.0,1.3695652173913044,1.0
390,2.0,1.0,3.0,3.0
249,2.0,2.0,1.5,1.0
729,3.0,1.0,1.575,1.0
736,3.0,0.5,1.25,1.25
278,1.0,2.0,1.3695652173913044,1.0
383,2.0,0.5,1.0,0.75
390,3.0,1.0,3.0,3.0
725,3.0,1.0,1.5,1.0
88,1.0,1.0,1.25,1.0
629,0.5,0.5,3.1666666666666665,1.0
40,0.5,8.0,3.1666666666666665,1.0
846,1.0,0.5,0.5,0.5
272,3.0,0.5,1.3695652173913044,1.0
285,3.0,0.5,1.368421052631579,1.0
390,3.0,1.0,3.0,3.0
788,2.0,0.5,0.5,0.5
148,2.0,1.0,1.5,1.0
647,2.0,0.5,1.1,1.0
793,1.0,0.5,0.75,0.5
234,2.0,2.0,1.368421052631579,1.0
149,2.0,1.0,1.0,1.0
335,1.0,2.0,2.0,2.0
675,2.0,0.5,1.1111111111111112,1.0
822,2.0,1.0,1.25,1.0
827,2.0,1.0,1.5,1.0
4,2.0,1.0,1.0,1.0
73,2.0,1.0,1.25,0.75
768,1.0,0.5,1.3695652173913044,1.0
771,2.0,1.0,1.05,1.0
442,1.0,1.0,0.75,0.75
729,8.0,1.0,1.575,1.0
387,2.0,5.0,3.5,3.5
762,2.0,1.0,1.25,1.0
844,1.0,3.0,1.3695652173913044,1.0
839,5.0,2.0,1.5,1.0
844,3.0,3.0,1.3695652173913044,1.0
727,1.0,1.0,1.25,1.0
756,5.0,1.0,1.575,1.0
756,2.0,1.0,1.575,1.0
800,2.0,0.5,0.6,0.5
536,2.0,0.5,1.0,1.0
331,1.0,3.0,2.0,2.0
285,1.0,0.5,1.368421052631579,1.0
452,5.0,2.0,1.1,1.0
742,2.0,1.0,3.6666666666666665,2.0
356,1.0,1.0,1.3235294117647058,1.0
608,3.0,0.5,1.1666666666666667,1.0
