closest,sp,closest_sp,mean_cluster_sp,median_cluster_sp
13,1.0,5,3.1875,1.5
286,2.0,2,1.5,1.5
244,2.0,3,3.0,3.0
163,3.0,1,1.875,2.0
68,1.0,2,2.0,2.0
274,1.0,1,1.8,2.0
145,1.0,2,2.111111111111111,2.0
122,2.0,3,3.4285714285714284,3.0
35,1.0,3,2.111111111111111,2.0
16,1.0,3,2.5833333333333335,2.0
122,2.0,3,3.4285714285714284,3.0
9,3.0,1,2.111111111111111,2.0
11,2.0,2,2.090909090909091,2.0
28,1.0,13,5.333333333333333,3.0
286,2.0,2,1.5,1.5
286,2.0,2,1.5,1.5
279,1.0,3,1.8,2.0
150,1.0,2,1.875,2.0
112,2.0,5,2.9375,2.5
2,2.0,1,2.3333333333333335,2.0
60,2.0,2,2.090909090909091,2.0
161,0.0,1,1.9090909090909092,1.0
135,1.0,1,1.3333333333333333,1.0
145,3.0,2,2.111111111111111,2.0
141,5.0,1,2.9375,2.5
277,5.0,1,7.153846153846154,5.0
149,2.0,2,1.8,2.0
128,3.0,3,1.8,2.0
135,1.0,1,1.3333333333333333,1.0
121,2.0,2,2.3846153846153846,2.0
117,2.0,2,2.111111111111111,2.0
60,2.0,2,2.090909090909091,2.0
9,3.0,1,2.111111111111111,2.0
60,1.0,2,2.090909090909091,2.0
56,2.0,2,2.090909090909091,2.0
9,3.0,1,2.111111111111111,2.0
46,1.0,1,2.090909090909091,2.0
117,3.0,2,2.111111111111111,2.0
135,1.0,1,1.3333333333333333,1.0
64,3.0,1,2.5833333333333335,2.0
93,2.0,3,2.5833333333333335,2.0
303,2.0,2,1.875,2.0
118,1.0,2,1.75,2.0
88,1.0,1,2.9375,2.5
134,2.0,2,1.8,2.0
60,0.0,2,2.090909090909091,2.0
279,1.0,3,1.8,2.0
293,2.0,3,1.875,2.0
254,1.0,1,1.0,1.0
139,0.0,8,8.0,8.0
60,1.0,2,2.090909090909091,2.0
150,2.0,2,1.875,2.0
9,3.0,1,2.111111111111111,2.0
129,3.0,1,1.9,1.5
135,1.0,1,1.3333333333333333,1.0
126,1.0,2,1.9090909090909092,1.0
134,3.0,2,1.8,2.0
175,2.0,2,2.0,2.0
244,3.0,3,3.0,3.0
243,3.0,2,2.0,2.0
218,2.0,2,2.0,2.0
128,2.0,3,1.8,2.0
75,2.0,2,1.2,1.0
145,3.0,2,2.111111111111111,2.0
205,2.0,1,1.8,2.0
167,1.0,1,1.0,1.0
54,1.0,1,1.6666666666666667,2.0
223,2.0,3,3.0,3.0
118,1.0,2,1.75,2.0
53,1.0,5,3.5,3.5
175,1.0,2,2.0,2.0
55,1.0,1,1.3333333333333333,1.0
93,2.0,3,2.5833333333333335,2.0
16,2.0,3,2.5833333333333335,2.0
208,2.0,1,1.9090909090909092,1.0
208,3.0,1,1.9090909090909092,1.0
129,2.0,1,1.9,1.5
88,0.0,1,2.9375,2.5
218,1.0,2,2.0,2.0
218,1.0,2,2.0,2.0
276,5.0,8,4.666666666666667,5.0
14,1.0,5,2.3333333333333335,2.0
279,2.0,3,1.8,2.0
60,1.0,2,2.090909090909091,2.0
149,5.0,2,1.8,2.0
117,2.0,2,2.111111111111111,2.0
145,3.0,2,2.111111111111111,2.0
167,0.5,1,1.0,1.0
121,5.0,2,2.3846153846153846,2.0
145,0.0,2,2.111111111111111,2.0
129,0.0,1,1.9,1.5
117,1.0,2,2.111111111111111,2.0
148,1.0,2,2.9375,2.5
135,0.0,1,1.3333333333333333,1.0
233,1.0,1,2.5833333333333335,2.0
165,1.0,2,3.1875,1.5
129,1.0,1,1.9,1.5
286,1.0,2,1.5,1.5
281,2.0,3,3.0,3.0
134,2.0,2,1.8,2.0
108,5.0,2,2.9375,2.5
9,2.0,1,2.111111111111111,2.0
130,1.0,5,1.9,1.5
288,1.0,1,1.9090909090909092,1.0
175,1.0,2,2.0,2.0
143,1.0,1,2.090909090909091,2.0
