closest,sp,closest_sp,mean_cluster_sp,median_cluster_sp
510,1,2,3.410394265232975,2.0
303,2,3,3.410394265232975,2.0
131,1,3,3.410394265232975,2.0
568,2,8,3.410394265232975,2.0
547,2,2,3.410394265232975,2.0
412,8,8,6.105263157894737,5.0
14,2,1,3.410394265232975,2.0
398,13,5,3.410394265232975,2.0
45,1,5,3.410394265232975,2.0
45,1,5,3.410394265232975,2.0
536,2,1,3.410394265232975,2.0
386,1,13,3.410394265232975,2.0
386,1,13,3.410394265232975,2.0
386,1,13,3.410394265232975,2.0
348,1,8,3.410394265232975,2.0
348,2,8,3.410394265232975,2.0
348,1,8,3.410394265232975,2.0
386,1,13,3.410394265232975,2.0
348,1,8,3.410394265232975,2.0
386,1,13,3.410394265232975,2.0
348,1,8,3.410394265232975,2.0
386,1,13,3.410394265232975,2.0
276,2,8,3.410394265232975,2.0
276,1,8,3.410394265232975,2.0
276,1,8,3.410394265232975,2.0
276,1,8,3.410394265232975,2.0
348,1,8,3.410394265232975,2.0
348,1,8,3.410394265232975,2.0
348,1,8,3.410394265232975,2.0
276,1,8,3.410394265232975,2.0
412,2,8,6.105263157894737,5.0
386,1,13,3.410394265232975,2.0
492,1,2,3.410394265232975,2.0
550,8,1,3.410394265232975,2.0
519,1,5,3.410394265232975,2.0
538,1,3,3.410394265232975,2.0
454,2,5,3.410394265232975,2.0
543,2,1,3.410394265232975,2.0
301,3,8,6.105263157894737,5.0
412,8,8,6.105263157894737,5.0
173,8,5,3.410394265232975,2.0
568,2,8,3.410394265232975,2.0
171,3,3,3.410394265232975,2.0
398,1,5,3.410394265232975,2.0
486,8,1,3.410394265232975,2.0
276,3,8,3.410394265232975,2.0
140,8,1,3.410394265232975,2.0
412,3,8,6.105263157894737,5.0
458,1,1,3.410394265232975,2.0
202,1,3,3.410394265232975,2.0
202,1,3,3.410394265232975,2.0
568,3,8,3.410394265232975,2.0
454,1,5,3.410394265232975,2.0
479,1,2,3.410394265232975,2.0
271,2,5,3.410394265232975,2.0
562,3,1,3.410394265232975,2.0
544,2,5,3.410394265232975,2.0
519,3,5,3.410394265232975,2.0
292,1,8,3.410394265232975,2.0
46,1,5,3.410394265232975,2.0
486,2,1,3.410394265232975,2.0
232,0,1,3.410394265232975,2.0
546,3,1,3.410394265232975,2.0
44,1,8,3.410394265232975,2.0
391,3,13,3.410394265232975,2.0
414,1,3,3.410394265232975,2.0
486,1,1,3.410394265232975,2.0
301,8,8,6.105263157894737,5.0
301,8,8,6.105263157894737,5.0
436,3,1,3.410394265232975,2.0
397,1,5,3.410394265232975,2.0
201,1,5,3.410394265232975,2.0
562,8,1,3.410394265232975,2.0
301,2,8,6.105263157894737,5.0
46,2,5,3.410394265232975,2.0
215,1,3,3.410394265232975,2.0
29,0,3,3.410394265232975,2.0
510,1,2,3.410394265232975,2.0
478,1,1,3.410394265232975,2.0
562,2,1,3.410394265232975,2.0
301,8,8,6.105263157894737,5.0
492,1,2,3.410394265232975,2.0
445,2,5,3.410394265232975,2.0
522,3,1,3.410394265232975,2.0
301,8,8,6.105263157894737,5.0
301,8,8,6.105263157894737,5.0
446,1,1,3.410394265232975,2.0
301,8,8,6.105263157894737,5.0
58,1,13,3.410394265232975,2.0
231,1,5,3.410394265232975,2.0
231,8,5,3.410394265232975,2.0
352,1,5,3.410394265232975,2.0
352,1,5,3.410394265232975,2.0
352,1,5,3.410394265232975,2.0
378,1,2,3.410394265232975,2.0
314,1,2,3.410394265232975,2.0
231,8,5,3.410394265232975,2.0
60,1,5,3.410394265232975,2.0
490,3,3,3.410394265232975,2.0
556,1,1,3.410394265232975,2.0
322,2,5,3.410394265232975,2.0
442,1,1,3.410394265232975,2.0
416,8,1,3.410394265232975,2.0
412,8,8,6.105263157894737,5.0
414,0,3,3.410394265232975,2.0
301,8,8,6.105263157894737,5.0
301,8,8,6.105263157894737,5.0
461,2,1,3.410394265232975,2.0
416,1,1,3.410394265232975,2.0
301,8,8,6.105263157894737,5.0
301,8,8,6.105263157894737,5.0
59,1,3,3.410394265232975,2.0
44,1,8,3.410394265232975,2.0
562,1,1,3.410394265232975,2.0
29,2,3,3.410394265232975,2.0
125,8,1,3.410394265232975,2.0
461,1,1,3.410394265232975,2.0
172,1,1,3.410394265232975,2.0
398,8,5,3.410394265232975,2.0
202,0,3,3.410394265232975,2.0
544,2,5,3.410394265232975,2.0
546,3,1,3.410394265232975,2.0
301,8,8,6.105263157894737,5.0
301,8,8,6.105263157894737,5.0
412,8,8,6.105263157894737,5.0
215,2,3,3.410394265232975,2.0
42,1,0,3.410394265232975,2.0
544,8,5,3.410394265232975,2.0
348,8,8,3.410394265232975,2.0
500,3,1,3.410394265232975,2.0
348,8,8,3.410394265232975,2.0
172,8,1,3.410394265232975,2.0
301,8,8,6.105263157894737,5.0
412,8,8,6.105263157894737,5.0
348,8,8,3.410394265232975,2.0
301,8,8,6.105263157894737,5.0
98,2,1,3.410394265232975,2.0
522,3,1,3.410394265232975,2.0
299,2,2,3.410394265232975,2.0
91,3,2,3.410394265232975,2.0
301,8,8,6.105263157894737,5.0
414,0,3,3.410394265232975,2.0
301,8,8,6.105263157894737,5.0
412,8,8,6.105263157894737,5.0
301,8,8,6.105263157894737,5.0
412,2,8,6.105263157894737,5.0
45,3,5,3.410394265232975,2.0
319,8,1,3.410394265232975,2.0
490,5,3,3.410394265232975,2.0
301,3,8,6.105263157894737,5.0
301,3,8,6.105263157894737,5.0
301,8,8,6.105263157894737,5.0
486,8,1,3.410394265232975,2.0
301,8,8,6.105263157894737,5.0
301,8,8,6.105263157894737,5.0
301,8,8,6.105263157894737,5.0
259,1,1,3.410394265232975,2.0
459,3,2,3.410394265232975,2.0
512,5,2,3.410394265232975,2.0
301,8,8,6.105263157894737,5.0
464,1,1,3.410394265232975,2.0
42,1,0,3.410394265232975,2.0
98,1,1,3.410394265232975,2.0
568,3,8,3.410394265232975,2.0
