closest,sp,closest_sp,mean_cluster_sp,median_cluster_sp
2120,1,5.0,4.698009950248756,5.0
419,1,3.0,4.698009950248756,5.0
2263,5,8.0,4.698009950248756,5.0
1604,5,3.0,4.698009950248756,5.0
269,3,3.0,4.698009950248756,5.0
2285,8,8.0,4.698009950248756,5.0
1598,1,5.0,4.698009950248756,5.0
1578,2,3.0,4.698009950248756,5.0
609,0,3.0,4.698009950248756,5.0
578,8,5.0,4.698009950248756,5.0
2094,2,1.0,4.698009950248756,5.0
1134,5,13.0,4.698009950248756,5.0
541,5,3.0,4.698009950248756,5.0
1362,2,3.0,4.698009950248756,5.0
750,13,13.0,5.463636363636364,5.0
762,1,1.0,4.698009950248756,5.0
188,3,1.0,4.698009950248756,5.0
1734,3,1.0,5.463636363636364,5.0
2107,8,5.0,4.698009950248756,5.0
1177,8,5.0,4.698009950248756,5.0
1537,3,5.0,4.698009950248756,5.0
890,5,8.0,4.698009950248756,5.0
646,5,3.0,5.463636363636364,5.0
2292,5,8.0,4.698009950248756,5.0
1354,5,13.0,4.698009950248756,5.0
957,8,8.0,4.698009950248756,5.0
396,5,3.0,4.698009950248756,5.0
1044,8,5.0,5.463636363636364,5.0
2062,3,5.0,5.463636363636364,5.0
2212,3,5.0,4.698009950248756,5.0
1735,5,8.0,4.698009950248756,5.0
1197,13,5.0,4.698009950248756,5.0
78,2,1.0,4.698009950248756,5.0
1368,5,5.0,4.698009950248756,5.0
934,8,5.0,4.698009950248756,5.0
2161,8,2.0,4.698009950248756,5.0
2090,5,5.0,4.698009950248756,5.0
689,5,13.0,4.698009950248756,5.0
15,3,1.0,4.698009950248756,5.0
247,8,2.0,4.698009950248756,5.0
263,13,5.0,4.698009950248756,5.0
1431,8,8.0,4.698009950248756,5.0
196,1,1.0,4.698009950248756,5.0
1821,2,5.0,4.698009950248756,5.0
2090,8,5.0,4.698009950248756,5.0
1746,3,5.0,4.698009950248756,5.0
2263,1,8.0,4.698009950248756,5.0
11,1,2.0,5.463636363636364,5.0
334,3,13.0,4.698009950248756,5.0
1745,0,5.0,4.698009950248756,5.0
1812,8,2.0,4.698009950248756,5.0
2025,5,1.0,4.698009950248756,5.0
1050,5,5.0,4.698009950248756,5.0
1868,3,5.0,4.698009950248756,5.0
188,8,1.0,4.698009950248756,5.0
1874,3,8.0,4.698009950248756,5.0
1512,3,5.0,4.698009950248756,5.0
1501,5,1.0,5.463636363636364,5.0
1874,3,8.0,4.698009950248756,5.0
8,5,1.0,4.698009950248756,5.0
1128,8,13.0,4.698009950248756,5.0
149,5,3.0,4.698009950248756,5.0
1416,0,5.0,4.698009950248756,5.0
2144,2,5.0,4.698009950248756,5.0
533,3,8.0,4.698009950248756,5.0
1840,8,3.0,5.463636363636364,5.0
786,3,1.0,4.698009950248756,5.0
1555,3,5.0,4.698009950248756,5.0
1604,1,3.0,4.698009950248756,5.0
415,3,8.0,4.698009950248756,5.0
1132,3,13.0,4.698009950248756,5.0
1604,3,3.0,4.698009950248756,5.0
737,8,8.0,4.698009950248756,5.0
1689,0,1.0,4.698009950248756,5.0
1625,3,5.0,5.463636363636364,5.0
1930,13,3.0,4.698009950248756,5.0
521,2,5.0,4.698009950248756,5.0
1974,2,5.0,4.698009950248756,5.0
1522,2,1.0,4.698009950248756,5.0
1936,5,0.0,4.698009950248756,5.0
2183,0,1.0,4.698009950248756,5.0
485,3,5.0,4.698009950248756,5.0
1773,5,3.0,4.698009950248756,5.0
2256,8,13.0,5.463636363636364,5.0
1681,5,13.0,5.463636363636364,5.0
829,5,8.0,4.698009950248756,5.0
1876,5,3.0,4.698009950248756,5.0
1516,13,8.0,5.463636363636364,5.0
1981,8,5.0,4.698009950248756,5.0
2127,5,1.0,4.698009950248756,5.0
1063,8,5.0,5.463636363636364,5.0
1822,2,1.0,4.698009950248756,5.0
1909,0,1.0,4.698009950248756,5.0
772,0,8.0,4.698009950248756,5.0
1432,5,13.0,4.698009950248756,5.0
1067,13,5.0,4.698009950248756,5.0
2187,1,5.0,4.698009950248756,5.0
165,5,5.0,4.698009950248756,5.0
644,2,3.0,4.698009950248756,5.0
772,2,8.0,4.698009950248756,5.0
2100,3,3.0,4.698009950248756,5.0
1131,13,13.0,4.698009950248756,5.0
168,3,1.0,4.698009950248756,5.0
2169,3,5.0,5.463636363636364,5.0
877,1,13.0,4.698009950248756,5.0
1604,3,3.0,4.698009950248756,5.0
829,3,8.0,4.698009950248756,5.0
615,1,3.0,4.698009950248756,5.0
1265,5,2.0,4.698009950248756,5.0
1044,8,5.0,5.463636363636364,5.0
362,1,13.0,4.698009950248756,5.0
1368,5,5.0,4.698009950248756,5.0
1835,13,1.0,4.698009950248756,5.0
1044,5,5.0,5.463636363636364,5.0
1969,1,3.0,4.698009950248756,5.0
2279,1,3.0,4.698009950248756,5.0
1167,8,5.0,4.698009950248756,5.0
1258,3,3.0,5.463636363636364,5.0
1482,2,5.0,5.463636363636364,5.0
869,5,8.0,4.698009950248756,5.0
706,0,13.0,4.698009950248756,5.0
1299,3,5.0,4.698009950248756,5.0
1722,0,2.0,4.698009950248756,5.0
430,0,3.0,4.698009950248756,5.0
249,2,2.0,4.698009950248756,5.0
1777,3,8.0,4.698009950248756,5.0
2344,8,3.0,4.698009950248756,5.0
1681,13,13.0,5.463636363636364,5.0
1066,13,13.0,4.698009950248756,5.0
1486,5,1.0,4.698009950248756,5.0
2102,5,8.0,5.463636363636364,5.0
1156,3,1.0,4.698009950248756,5.0
1840,5,3.0,5.463636363636364,5.0
1817,8,8.0,4.698009950248756,5.0
1681,8,13.0,5.463636363636364,5.0
1681,13,13.0,5.463636363636364,5.0
1106,13,8.0,5.463636363636364,5.0
967,13,13.0,5.463636363636364,5.0
1653,13,8.0,5.463636363636364,5.0
2144,1,5.0,4.698009950248756,5.0
646,2,3.0,5.463636363636364,5.0
2206,13,2.0,5.463636363636364,5.0
2208,13,8.0,4.698009950248756,5.0
2116,0,3.0,4.698009950248756,5.0
724,0,5.0,4.698009950248756,5.0
27,1,0.0,4.698009950248756,5.0
1790,3,1.0,4.698009950248756,5.0
593,0,5.0,5.463636363636364,5.0
1040,13,3.0,5.463636363636364,5.0
1040,13,3.0,5.463636363636364,5.0
1714,2,3.0,4.698009950248756,5.0
225,2,3.0,4.698009950248756,5.0
1236,13,3.0,4.698009950248756,5.0
925,0,5.0,4.698009950248756,5.0
960,8,5.0,4.698009950248756,5.0
1365,8,8.0,4.698009950248756,5.0
2036,13,5.0,4.698009950248756,5.0
1245,8,5.0,4.698009950248756,5.0
1973,3,8.0,4.698009950248756,5.0
241,3,2.0,4.698009950248756,5.0
801,0,3.0,4.698009950248756,5.0
1636,2,1.0,4.698009950248756,5.0
1443,13,5.0,5.463636363636364,5.0
1415,0,5.0,4.698009950248756,5.0
1555,3,5.0,4.698009950248756,5.0
1044,8,5.0,5.463636363636364,5.0
965,8,8.0,4.698009950248756,5.0
2275,1,0.0,4.698009950248756,5.0
1458,3,8.0,5.463636363636364,5.0
698,5,2.0,4.698009950248756,5.0
1091,13,1.0,4.698009950248756,5.0
581,5,3.0,4.698009950248756,5.0
494,5,3.0,4.698009950248756,5.0
134,0,1.0,4.698009950248756,5.0
957,13,8.0,4.698009950248756,5.0
1033,5,8.0,5.463636363636364,5.0
168,3,1.0,4.698009950248756,5.0
46,3,2.0,4.698009950248756,5.0
1390,1,3.0,5.463636363636364,5.0
1182,8,3.0,5.463636363636364,5.0
365,3,0.0,4.698009950248756,5.0
829,5,8.0,4.698009950248756,5.0
813,3,3.0,4.698009950248756,5.0
2101,1,1.0,4.698009950248756,5.0
1705,3,5.0,5.463636363636364,5.0
1792,5,3.0,4.698009950248756,5.0
1356,0,3.0,4.698009950248756,5.0
2028,5,5.0,4.698009950248756,5.0
1247,3,3.0,4.698009950248756,5.0
1318,0,3.0,4.698009950248756,5.0
644,5,3.0,4.698009950248756,5.0
1008,13,8.0,4.698009950248756,5.0
361,2,3.0,4.698009950248756,5.0
144,1,1.0,4.698009950248756,5.0
424,5,1.0,4.698009950248756,5.0
1604,3,3.0,4.698009950248756,5.0
547,3,3.0,4.698009950248756,5.0
73,3,2.0,4.698009950248756,5.0
353,1,5.0,4.698009950248756,5.0
2144,0,5.0,4.698009950248756,5.0
1820,13,8.0,4.698009950248756,5.0
1234,13,8.0,4.698009950248756,5.0
1840,13,3.0,5.463636363636364,5.0
2144,8,5.0,4.698009950248756,5.0
2144,0,5.0,4.698009950248756,5.0
2248,5,5.0,4.698009950248756,5.0
535,5,3.0,4.698009950248756,5.0
2337,13,5.0,4.698009950248756,5.0
1588,3,5.0,4.698009950248756,5.0
329,2,8.0,4.698009950248756,5.0
1216,8,3.0,4.698009950248756,5.0
352,5,5.0,4.698009950248756,5.0
1162,8,5.0,4.698009950248756,5.0
744,0,2.0,4.698009950248756,5.0
543,0,0.0,4.698009950248756,5.0
2063,8,5.0,4.698009950248756,5.0
370,3,0.0,4.698009950248756,5.0
1485,0,3.0,4.698009950248756,5.0
615,0,3.0,4.698009950248756,5.0
1522,3,1.0,4.698009950248756,5.0
845,3,3.0,4.698009950248756,5.0
238,3,2.0,4.698009950248756,5.0
1306,3,3.0,5.463636363636364,5.0
543,3,0.0,4.698009950248756,5.0
1264,8,5.0,4.698009950248756,5.0
2006,8,5.0,4.698009950248756,5.0
820,1,3.0,4.698009950248756,5.0
1797,13,8.0,4.698009950248756,5.0
1099,0,13.0,4.698009950248756,5.0
1981,8,5.0,4.698009950248756,5.0
1156,1,1.0,4.698009950248756,5.0
1960,13,13.0,4.698009950248756,5.0
700,5,5.0,4.698009950248756,5.0
1478,1,2.0,4.698009950248756,5.0
1478,1,2.0,4.698009950248756,5.0
585,5,8.0,4.698009950248756,5.0
1068,8,5.0,4.698009950248756,5.0
1961,1,8.0,4.698009950248756,5.0
726,0,5.0,4.698009950248756,5.0
587,1,3.0,4.698009950248756,5.0
526,3,5.0,4.698009950248756,5.0
1555,1,5.0,4.698009950248756,5.0
1066,1,13.0,4.698009950248756,5.0
1506,8,5.0,4.698009950248756,5.0
2151,8,5.0,4.698009950248756,5.0
419,3,3.0,4.698009950248756,5.0
305,0,13.0,4.698009950248756,5.0
1751,13,8.0,4.698009950248756,5.0
142,3,3.0,4.698009950248756,5.0
1778,5,5.0,4.698009950248756,5.0
1604,1,3.0,4.698009950248756,5.0
569,1,5.0,4.698009950248756,5.0
1604,1,3.0,4.698009950248756,5.0
2293,3,3.0,4.698009950248756,5.0
411,1,13.0,4.698009950248756,5.0
361,1,3.0,4.698009950248756,5.0
1274,0,5.0,4.698009950248756,5.0
494,0,3.0,4.698009950248756,5.0
2340,3,8.0,4.698009950248756,5.0
966,3,1.0,5.463636363636364,5.0
1568,0,1.0,5.463636363636364,5.0
506,2,2.0,4.698009950248756,5.0
2172,0,3.0,4.698009950248756,5.0
494,1,3.0,4.698009950248756,5.0
218,1,2.0,4.698009950248756,5.0
150,0,0.5,4.698009950248756,5.0
566,1,1.0,5.463636363636364,5.0
1281,13,1.0,4.698009950248756,5.0
829,3,8.0,4.698009950248756,5.0
1802,8,5.0,4.698009950248756,5.0
820,1,3.0,4.698009950248756,5.0
1616,0,1.0,5.463636363636364,5.0
468,1,0.0,4.698009950248756,5.0
574,2,8.0,4.698009950248756,5.0
1993,2,5.0,4.698009950248756,5.0
535,8,3.0,4.698009950248756,5.0
1156,5,1.0,4.698009950248756,5.0
1693,2,3.0,4.698009950248756,5.0
1950,0,5.0,4.698009950248756,5.0
2194,5,8.0,4.698009950248756,5.0
1114,13,13.0,4.698009950248756,5.0
245,3,3.0,4.698009950248756,5.0
1976,3,3.0,4.698009950248756,5.0
506,13,2.0,4.698009950248756,5.0
1374,5,3.0,4.698009950248756,5.0
89,0,0.0,4.698009950248756,5.0
646,0,3.0,5.463636363636364,5.0
155,5,0.0,4.698009950248756,5.0
2049,13,5.0,5.463636363636364,5.0
2279,13,3.0,4.698009950248756,5.0
1840,13,3.0,5.463636363636364,5.0
61,8,0.0,4.698009950248756,5.0
1335,3,5.0,4.698009950248756,5.0
1365,8,8.0,4.698009950248756,5.0
1809,3,3.0,4.698009950248756,5.0
10,2,1.0,4.698009950248756,5.0
2093,8,3.0,4.698009950248756,5.0
246,0,2.0,4.698009950248756,5.0
1925,13,8.0,4.698009950248756,5.0
280,8,1.0,4.698009950248756,5.0
160,3,8.0,4.698009950248756,5.0
2167,13,8.0,4.698009950248756,5.0
444,3,3.0,4.698009950248756,5.0
25,3,2.0,4.698009950248756,5.0
1374,5,3.0,4.698009950248756,5.0
1939,5,5.0,4.698009950248756,5.0
558,1,3.0,4.698009950248756,5.0
1416,3,5.0,4.698009950248756,5.0
1231,13,3.0,4.698009950248756,5.0
150,3,0.5,4.698009950248756,5.0
48,3,0.0,4.698009950248756,5.0
629,13,3.0,5.463636363636364,5.0
1746,2,5.0,4.698009950248756,5.0
958,1,5.0,4.698009950248756,5.0
268,3,1.0,4.698009950248756,5.0
52,8,1.0,4.698009950248756,5.0
1722,3,2.0,4.698009950248756,5.0
1734,3,1.0,5.463636363636364,5.0
1320,5,3.0,4.698009950248756,5.0
673,3,1.0,4.698009950248756,5.0
1874,13,8.0,4.698009950248756,5.0
508,5,13.0,4.698009950248756,5.0
555,13,1.0,4.698009950248756,5.0
1443,8,5.0,5.463636363636364,5.0
1066,5,13.0,4.698009950248756,5.0
784,1,8.0,4.698009950248756,5.0
207,3,5.0,4.698009950248756,5.0
520,5,1.0,4.698009950248756,5.0
1720,2,5.0,5.463636363636364,5.0
1132,13,13.0,4.698009950248756,5.0
1388,1,1.0,4.698009950248756,5.0
1293,8,8.0,4.698009950248756,5.0
912,8,13.0,4.698009950248756,5.0
1775,5,5.0,4.698009950248756,5.0
2017,8,3.0,4.698009950248756,5.0
813,3,3.0,4.698009950248756,5.0
1716,2,5.0,4.698009950248756,5.0
1569,8,3.0,4.698009950248756,5.0
459,3,13.0,4.698009950248756,5.0
983,1,5.0,4.698009950248756,5.0
809,3,5.0,4.698009950248756,5.0
1156,2,1.0,4.698009950248756,5.0
1032,5,13.0,5.463636363636364,5.0
2090,5,5.0,4.698009950248756,5.0
579,5,5.0,4.698009950248756,5.0
947,3,3.0,4.698009950248756,5.0
318,5,5.0,4.698009950248756,5.0
1772,5,5.0,4.698009950248756,5.0
747,1,8.0,4.698009950248756,5.0
498,8,3.0,4.698009950248756,5.0
1092,1,5.0,4.698009950248756,5.0
1056,5,5.0,5.463636363636364,5.0
1958,5,8.0,4.698009950248756,5.0
829,3,8.0,4.698009950248756,5.0
744,5,2.0,4.698009950248756,5.0
112,3,0.0,4.698009950248756,5.0
809,5,5.0,4.698009950248756,5.0
1287,5,5.0,4.698009950248756,5.0
1287,5,5.0,4.698009950248756,5.0
1935,3,13.0,4.698009950248756,5.0
71,3,5.0,4.698009950248756,5.0
1368,5,5.0,4.698009950248756,5.0
1200,5,8.0,4.698009950248756,5.0
2047,5,5.0,4.698009950248756,5.0
1063,8,5.0,5.463636363636364,5.0
2011,13,3.0,4.698009950248756,5.0
594,13,5.0,4.698009950248756,5.0
319,13,1.0,4.698009950248756,5.0
1881,5,5.0,4.698009950248756,5.0
230,5,5.0,4.698009950248756,5.0
702,1,5.0,4.698009950248756,5.0
1928,3,3.0,4.698009950248756,5.0
1968,3,8.0,4.698009950248756,5.0
149,5,3.0,4.698009950248756,5.0
758,3,2.0,4.698009950248756,5.0
1925,3,8.0,4.698009950248756,5.0
248,3,5.0,4.698009950248756,5.0
144,5,1.0,4.698009950248756,5.0
1917,5,13.0,4.698009950248756,5.0
206,5,3.0,4.698009950248756,5.0
514,1,3.0,4.698009950248756,5.0
2230,5,3.0,4.698009950248756,5.0
1281,1,1.0,4.698009950248756,5.0
535,5,3.0,4.698009950248756,5.0
299,1,2.0,4.698009950248756,5.0
1080,1,3.0,4.698009950248756,5.0
535,3,3.0,4.698009950248756,5.0
1098,5,8.0,4.698009950248756,5.0
936,3,8.0,4.698009950248756,5.0
2110,3,3.0,4.698009950248756,5.0
372,1,0.0,4.698009950248756,5.0
2153,5,3.0,4.698009950248756,5.0
190,5,0.5,4.698009950248756,5.0
1173,3,5.0,5.463636363636364,5.0
993,8,8.0,4.698009950248756,5.0
1253,3,8.0,4.698009950248756,5.0
685,3,3.0,4.698009950248756,5.0
1,5,1.0,4.698009950248756,5.0
506,3,2.0,4.698009950248756,5.0
1320,8,3.0,4.698009950248756,5.0
1245,8,5.0,4.698009950248756,5.0
923,2,1.0,4.698009950248756,5.0
460,5,13.0,4.698009950248756,5.0
1730,13,3.0,5.463636363636364,5.0
1070,13,5.0,5.463636363636364,5.0
1716,8,5.0,4.698009950248756,5.0
351,8,3.0,4.698009950248756,5.0
1890,3,3.0,4.698009950248756,5.0
984,1,5.0,5.463636363636364,5.0
415,1,8.0,4.698009950248756,5.0
1974,0,5.0,4.698009950248756,5.0
2100,13,3.0,4.698009950248756,5.0
1949,5,8.0,4.698009950248756,5.0
1830,2,3.0,5.463636363636364,5.0
424,13,1.0,4.698009950248756,5.0
1894,3,5.0,5.463636363636364,5.0
491,3,5.0,4.698009950248756,5.0
1890,5,3.0,4.698009950248756,5.0
637,3,0.0,4.698009950248756,5.0
1053,5,1.0,4.698009950248756,5.0
775,0,8.0,4.698009950248756,5.0
2298,5,5.0,4.698009950248756,5.0
661,3,3.0,4.698009950248756,5.0
1522,3,1.0,4.698009950248756,5.0
1780,8,13.0,4.698009950248756,5.0
1712,5,13.0,4.698009950248756,5.0
2,2,1.0,4.698009950248756,5.0
