closest,sp,closest_sp,mean_cluster_sp,median_cluster_sp
189,8,5,6.204829308909242,5.0
1253,5,5,6.204829308909242,5.0
534,5,3,6.204829308909242,5.0
241,8,5,6.204829308909242,5.0
47,3,0,6.204829308909242,5.0
892,2,8,6.204829308909242,5.0
275,3,8,6.204829308909242,5.0
1529,3,2,6.204829308909242,5.0
961,8,8,6.204829308909242,5.0
1611,5,3,6.204829308909242,5.0
1587,5,3,4.993150684931507,5.0
1636,5,5,6.204829308909242,5.0
1066,8,13,6.204829308909242,5.0
1018,8,5,6.204829308909242,5.0
1580,8,3,6.204829308909242,5.0
370,8,0,4.993150684931507,5.0
1636,8,5,6.204829308909242,5.0
1636,8,5,6.204829308909242,5.0
1066,8,13,6.204829308909242,5.0
1066,8,13,6.204829308909242,5.0
1190,8,5,6.204829308909242,5.0
1374,5,1,6.204829308909242,5.0
1372,5,5,6.204829308909242,5.0
1374,5,1,6.204829308909242,5.0
746,5,5,6.204829308909242,5.0
649,3,5,6.204829308909242,5.0
324,3,3,6.204829308909242,5.0
1536,3,8,6.204829308909242,5.0
189,8,5,6.204829308909242,5.0
376,5,8,6.204829308909242,5.0
355,5,20,6.204829308909242,5.0
1652,5,8,6.204829308909242,5.0
1392,3,5,6.204829308909242,5.0
1066,8,13,6.204829308909242,5.0
660,8,5,6.204829308909242,5.0
1394,5,8,6.204829308909242,5.0
189,5,5,6.204829308909242,5.0
802,5,8,6.204829308909242,5.0
189,5,5,6.204829308909242,5.0
1547,8,3,6.204829308909242,5.0
1112,5,5,4.993150684931507,5.0
539,5,8,6.204829308909242,5.0
780,3,8,6.204829308909242,5.0
541,3,13,6.204829308909242,5.0
784,5,8,6.204829308909242,5.0
1203,5,5,6.204829308909242,5.0
189,5,5,6.204829308909242,5.0
1318,2,8,6.204829308909242,5.0
671,5,8,6.204829308909242,5.0
721,3,2,4.993150684931507,5.0
1355,2,5,6.204829308909242,5.0
335,5,8,6.204829308909242,5.0
1203,5,5,6.204829308909242,5.0
602,5,3,6.204829308909242,5.0
602,3,3,6.204829308909242,5.0
128,3,8,6.204829308909242,5.0
1628,5,2,4.993150684931507,5.0
1149,5,8,6.204829308909242,5.0
271,5,3,6.204829308909242,5.0
1656,3,5,6.204829308909242,5.0
1149,3,8,6.204829308909242,5.0
1547,3,3,6.204829308909242,5.0
1450,3,3,6.204829308909242,5.0
1318,5,8,6.204829308909242,5.0
1136,8,5,6.204829308909242,5.0
1300,3,5,6.204829308909242,5.0
919,5,5,4.993150684931507,5.0
215,5,8,6.204829308909242,5.0
254,3,3,6.204829308909242,5.0
279,8,8,6.204829308909242,5.0
1318,5,8,6.204829308909242,5.0
377,13,13,6.204829308909242,5.0
1655,5,3,6.204829308909242,5.0
1628,5,2,4.993150684931507,5.0
1300,3,5,6.204829308909242,5.0
1300,5,5,6.204829308909242,5.0
750,5,2,6.204829308909242,5.0
549,3,2,6.204829308909242,5.0
207,2,5,6.204829308909242,5.0
164,8,8,6.204829308909242,5.0
1355,5,5,6.204829308909242,5.0
1078,5,5,6.204829308909242,5.0
1673,3,5,6.204829308909242,5.0
1110,3,3,6.204829308909242,5.0
757,3,5,6.204829308909242,5.0
113,3,8,4.993150684931507,5.0
554,5,5,6.204829308909242,5.0
134,3,8,6.204829308909242,5.0
802,5,8,6.204829308909242,5.0
266,3,5,6.204829308909242,5.0
39,5,3,6.204829308909242,5.0
270,8,5,6.204829308909242,5.0
721,5,2,4.993150684931507,5.0
1649,5,5,6.204829308909242,5.0
728,1,8,6.204829308909242,5.0
115,5,5,6.204829308909242,5.0
418,5,5,6.204829308909242,5.0
1355,13,5,6.204829308909242,5.0
538,5,2,6.204829308909242,5.0
471,5,5,6.204829308909242,5.0
875,5,5,6.204829308909242,5.0
471,5,5,6.204829308909242,5.0
1399,3,3,4.993150684931507,5.0
218,5,3,6.204829308909242,5.0
1547,5,3,6.204829308909242,5.0
632,5,3,4.993150684931507,5.0
1233,3,2,4.993150684931507,5.0
147,8,3,6.204829308909242,5.0
1030,3,5,4.993150684931507,5.0
218,5,3,6.204829308909242,5.0
132,8,20,6.204829308909242,5.0
1398,5,2,6.204829308909242,5.0
750,1,2,6.204829308909242,5.0
177,3,8,6.204829308909242,5.0
885,5,5,6.204829308909242,5.0
36,5,8,6.204829308909242,5.0
1198,2,3,6.204829308909242,5.0
1568,5,8,6.204829308909242,5.0
1374,8,1,6.204829308909242,5.0
1535,8,8,6.204829308909242,5.0
172,5,5,6.204829308909242,5.0
315,5,8,6.204829308909242,5.0
172,8,5,6.204829308909242,5.0
693,8,8,4.993150684931507,5.0
1067,8,0,6.204829308909242,5.0
693,5,8,4.993150684931507,5.0
609,0,5,6.204829308909242,5.0
238,5,2,4.993150684931507,5.0
1207,3,3,6.204829308909242,5.0
548,3,8,6.204829308909242,5.0
418,5,5,6.204829308909242,5.0
1291,5,5,6.204829308909242,5.0
669,3,3,6.204829308909242,5.0
1069,5,5,6.204829308909242,5.0
1477,5,5,6.204829308909242,5.0
975,5,2,6.204829308909242,5.0
1381,3,8,6.204829308909242,5.0
375,5,5,6.204829308909242,5.0
822,2,8,6.204829308909242,5.0
1653,8,3,6.204829308909242,5.0
919,5,5,4.993150684931507,5.0
349,5,5,6.204829308909242,5.0
86,5,8,6.204829308909242,5.0
548,5,8,6.204829308909242,5.0
932,13,5,6.204829308909242,5.0
936,8,5,6.204829308909242,5.0
266,5,5,6.204829308909242,5.0
266,5,5,6.204829308909242,5.0
1450,2,3,6.204829308909242,5.0
1547,3,3,6.204829308909242,5.0
546,3,8,6.204829308909242,5.0
919,5,5,4.993150684931507,5.0
1547,5,3,6.204829308909242,5.0
553,8,5,6.204829308909242,5.0
379,3,8,6.204829308909242,5.0
710,5,5,6.204829308909242,5.0
39,5,3,6.204829308909242,5.0
1637,5,8,6.204829308909242,5.0
203,3,5,6.204829308909242,5.0
892,5,8,6.204829308909242,5.0
693,8,8,4.993150684931507,5.0
397,3,8,6.204829308909242,5.0
266,3,5,6.204829308909242,5.0
203,5,5,6.204829308909242,5.0
892,3,8,6.204829308909242,5.0
1203,5,5,6.204829308909242,5.0
113,8,8,4.993150684931507,5.0
388,3,5,6.204829308909242,5.0
1517,8,5,4.993150684931507,5.0
650,3,3,6.204829308909242,5.0
174,8,20,6.204829308909242,5.0
1220,13,1,4.993150684931507,5.0
1497,5,3,6.204829308909242,5.0
811,5,3,6.204829308909242,5.0
954,5,8,6.204829308909242,5.0
1381,5,8,6.204829308909242,5.0
1607,3,5,6.204829308909242,5.0
1495,8,5,6.204829308909242,5.0
229,5,3,6.204829308909242,5.0
1012,5,5,4.993150684931507,5.0
469,5,0,6.204829308909242,5.0
794,3,2,4.993150684931507,5.0
1547,5,3,6.204829308909242,5.0
538,3,2,6.204829308909242,5.0
1474,3,5,6.204829308909242,5.0
1389,5,3,6.204829308909242,5.0
1162,5,5,6.204829308909242,5.0
334,8,5,4.993150684931507,5.0
794,3,2,4.993150684931507,5.0
1121,5,5,6.204829308909242,5.0
1372,8,5,6.204829308909242,5.0
1450,8,3,6.204829308909242,5.0
388,5,5,6.204829308909242,5.0
711,8,5,6.204829308909242,5.0
89,5,2,4.993150684931507,5.0
1213,3,3,6.204829308909242,5.0
1640,5,3,6.204829308909242,5.0
1628,3,2,4.993150684931507,5.0
388,8,5,6.204829308909242,5.0
425,5,5,6.204829308909242,5.0
712,5,5,6.204829308909242,5.0
1535,5,8,6.204829308909242,5.0
560,5,0,6.204829308909242,5.0
1673,5,5,6.204829308909242,5.0
1150,5,8,6.204829308909242,5.0
947,5,5,6.204829308909242,5.0
811,5,3,6.204829308909242,5.0
1374,2,1,6.204829308909242,5.0
1637,5,8,6.204829308909242,5.0
427,5,5,6.204829308909242,5.0
790,5,8,6.204829308909242,5.0
783,5,5,6.204829308909242,5.0
432,1,8,6.204829308909242,5.0
704,5,3,6.204829308909242,5.0
795,5,8,6.204829308909242,5.0
42,5,5,6.204829308909242,5.0
89,3,2,4.993150684931507,5.0
1536,5,8,6.204829308909242,5.0
1547,3,3,6.204829308909242,5.0
1547,5,3,6.204829308909242,5.0
1212,5,2,4.993150684931507,5.0
824,5,8,6.204829308909242,5.0
417,5,8,6.204829308909242,5.0
1536,2,8,6.204829308909242,5.0
1517,5,5,4.993150684931507,5.0
53,5,8,4.993150684931507,5.0
203,5,5,6.204829308909242,5.0
957,1,5,4.993150684931507,5.0
479,3,5,6.204829308909242,5.0
837,5,5,6.204829308909242,5.0
67,2,5,6.204829308909242,5.0
306,5,8,6.204829308909242,5.0
208,8,3,6.204829308909242,5.0
32,5,8,6.204829308909242,5.0
1544,2,8,6.204829308909242,5.0
1355,5,5,6.204829308909242,5.0
22,3,5,4.993150684931507,5.0
1374,3,1,6.204829308909242,5.0
963,5,5,6.204829308909242,5.0
1547,3,3,6.204829308909242,5.0
265,5,8,6.204829308909242,5.0
341,3,5,6.204829308909242,5.0
555,3,5,6.204829308909242,5.0
346,5,8,6.204829308909242,5.0
329,3,3,6.204829308909242,5.0
67,5,5,6.204829308909242,5.0
409,5,8,6.204829308909242,5.0
1392,1,5,6.204829308909242,5.0
81,3,8,6.204829308909242,5.0
1643,5,3,6.204829308909242,5.0
58,5,0,4.993150684931507,5.0
137,8,5,6.204829308909242,5.0
1450,8,3,6.204829308909242,5.0
697,5,5,6.204829308909242,5.0
1251,8,5,6.204829308909242,5.0
312,8,8,6.204829308909242,5.0
1653,5,3,6.204829308909242,5.0
669,5,3,6.204829308909242,5.0
123,8,5,6.204829308909242,5.0
1498,5,3,6.204829308909242,5.0
750,3,2,6.204829308909242,5.0
228,5,2,6.204829308909242,5.0
1498,5,3,6.204829308909242,5.0
768,1,5,6.204829308909242,5.0
391,5,8,6.204829308909242,5.0
343,8,0,6.204829308909242,5.0
1355,5,5,6.204829308909242,5.0
207,3,5,6.204829308909242,5.0
1069,3,5,6.204829308909242,5.0
376,5,8,6.204829308909242,5.0
46,5,8,6.204829308909242,5.0
1639,5,5,4.993150684931507,5.0
549,3,2,6.204829308909242,5.0
1191,3,8,4.993150684931507,5.0
346,5,8,6.204829308909242,5.0
304,5,5,6.204829308909242,5.0
1064,5,0,6.204829308909242,5.0
1388,3,2,6.204829308909242,5.0
549,5,2,6.204829308909242,5.0
421,5,8,6.204829308909242,5.0
242,3,13,6.204829308909242,5.0
1463,5,8,6.204829308909242,5.0
218,5,3,6.204829308909242,5.0
1642,3,3,6.204829308909242,5.0
1150,5,8,6.204829308909242,5.0
837,5,5,6.204829308909242,5.0
537,3,8,6.204829308909242,5.0
203,5,5,6.204829308909242,5.0
649,3,5,6.204829308909242,5.0
882,5,3,4.993150684931507,5.0
75,8,13,6.204829308909242,5.0
346,5,8,6.204829308909242,5.0
1568,1,8,6.204829308909242,5.0
180,5,5,6.204829308909242,5.0
968,3,3,6.204829308909242,5.0
1309,5,5,4.993150684931507,5.0
342,2,8,6.204829308909242,5.0
1337,8,2,4.993150684931507,5.0
609,3,5,6.204829308909242,5.0
1136,5,5,6.204829308909242,5.0
1150,3,8,6.204829308909242,5.0
1374,5,1,6.204829308909242,5.0
976,2,3,6.204829308909242,5.0
1378,3,2,6.204829308909242,5.0
979,3,0,6.204829308909242,5.0
348,5,3,6.204829308909242,5.0
430,5,5,6.204829308909242,5.0
