closest,sp,closest_sp,mean_cluster_sp,median_cluster_sp
277,5,2,3.387654320987654,3.0
374,3,3,3.387654320987654,3.0
454,3,3,3.387654320987654,3.0
454,5,3,3.387654320987654,3.0
244,8,8,3.387654320987654,3.0
240,3,3,3.387654320987654,3.0
413,2,3,3.387654320987654,3.0
273,3,1,3.387654320987654,3.0
277,1,2,3.387654320987654,3.0
378,3,5,3.387654320987654,3.0
116,2,1,3.387654320987654,3.0
190,3,3,3.387654320987654,3.0
314,1,2,3.387654320987654,3.0
381,1,3,3.387654320987654,3.0
35,1,2,3.387654320987654,3.0
63,8,2,3.387654320987654,3.0
422,1,1,3.387654320987654,3.0
258,3,1,3.387654320987654,3.0
258,1,1,3.387654320987654,3.0
258,5,1,3.387654320987654,3.0
264,2,5,3.387654320987654,3.0
411,1,1,3.387654320987654,3.0
308,1,0,3.387654320987654,3.0
440,5,1,3.387654320987654,3.0
409,2,1,3.387654320987654,3.0
440,5,1,3.387654320987654,3.0
465,3,2,3.387654320987654,3.0
277,3,2,3.387654320987654,3.0
465,1,2,3.387654320987654,3.0
441,5,1,3.387654320987654,3.0
99,8,1,3.387654320987654,3.0
448,2,3,3.387654320987654,3.0
185,5,8,3.387654320987654,3.0
475,8,2,3.387654320987654,3.0
441,1,1,3.387654320987654,3.0
344,3,5,3.387654320987654,3.0
277,1,2,3.387654320987654,3.0
381,5,3,3.387654320987654,3.0
440,3,1,3.387654320987654,3.0
170,3,2,3.387654320987654,3.0
162,1,8,3.387654320987654,3.0
313,5,8,3.387654320987654,3.0
406,3,5,3.387654320987654,3.0
116,1,1,3.387654320987654,3.0
436,3,5,3.387654320987654,3.0
448,5,3,3.387654320987654,3.0
381,5,3,3.387654320987654,3.0
176,2,5,3.387654320987654,3.0
252,2,5,3.387654320987654,3.0
423,1,2,3.387654320987654,3.0
275,3,8,3.387654320987654,3.0
425,1,8,3.387654320987654,3.0
152,1,2,3.387654320987654,3.0
329,3,2,3.387654320987654,3.0
129,3,2,3.387654320987654,3.0
432,1,2,3.387654320987654,3.0
395,2,3,3.387654320987654,3.0
441,2,1,3.387654320987654,3.0
251,2,3,3.387654320987654,3.0
326,3,3,3.387654320987654,3.0
252,5,5,3.387654320987654,3.0
405,8,2,3.387654320987654,3.0
459,1,1,2.7721518987341773,2.0
204,3,1,3.387654320987654,3.0
213,5,8,3.387654320987654,3.0
404,2,5,3.387654320987654,3.0
336,0,3,3.387654320987654,3.0
475,5,2,3.387654320987654,3.0
259,2,1,2.7721518987341773,2.0
434,3,5,3.387654320987654,3.0
472,0,1,3.387654320987654,3.0
451,1,1,3.387654320987654,3.0
437,2,8,3.387654320987654,3.0
482,3,5,3.387654320987654,3.0
121,5,8,2.7721518987341773,2.0
116,3,1,3.387654320987654,3.0
228,2,3,3.387654320987654,3.0
440,2,1,3.387654320987654,3.0
272,2,3,3.387654320987654,3.0
84,1,3,3.387654320987654,3.0
326,1,3,3.387654320987654,3.0
239,5,1,3.387654320987654,3.0
428,1,1,3.387654320987654,3.0
411,8,1,3.387654320987654,3.0
183,3,2,3.387654320987654,3.0
434,3,5,3.387654320987654,3.0
251,3,3,3.387654320987654,3.0
185,5,8,3.387654320987654,3.0
170,3,2,3.387654320987654,3.0
472,5,1,3.387654320987654,3.0
332,8,3,3.387654320987654,3.0
434,1,5,3.387654320987654,3.0
425,2,8,3.387654320987654,3.0
484,2,3,3.387654320987654,3.0
310,2,1,3.387654320987654,3.0
352,8,5,3.387654320987654,3.0
332,5,3,3.387654320987654,3.0
19,1,1,2.7721518987341773,2.0
376,5,1,3.387654320987654,3.0
252,8,5,3.387654320987654,3.0
440,3,1,3.387654320987654,3.0
438,3,1,3.387654320987654,3.0
439,3,5,2.7721518987341773,2.0
482,3,5,3.387654320987654,3.0
307,1,8,3.387654320987654,3.0
284,3,8,3.387654320987654,3.0
434,1,5,3.387654320987654,3.0
277,1,2,3.387654320987654,3.0
273,1,1,3.387654320987654,3.0
386,2,2,3.387654320987654,3.0
463,2,2,3.387654320987654,3.0
475,3,2,3.387654320987654,3.0
305,3,5,3.387654320987654,3.0
363,1,1,3.387654320987654,3.0
479,2,8,3.387654320987654,3.0
374,2,3,3.387654320987654,3.0
470,2,3,2.7721518987341773,2.0
438,1,1,3.387654320987654,3.0
374,2,3,3.387654320987654,3.0
475,5,2,3.387654320987654,3.0
475,5,2,3.387654320987654,3.0
336,8,3,3.387654320987654,3.0
65,8,3,3.387654320987654,3.0
403,2,8,2.7721518987341773,2.0
276,5,5,3.387654320987654,3.0
463,0,2,3.387654320987654,3.0
273,3,1,3.387654320987654,3.0
374,2,3,3.387654320987654,3.0
233,8,8,3.387654320987654,3.0
440,5,1,3.387654320987654,3.0
116,3,1,3.387654320987654,3.0
38,2,1,3.387654320987654,3.0
183,5,2,3.387654320987654,3.0
300,3,0,3.387654320987654,3.0
218,3,3,3.387654320987654,3.0
254,2,5,3.387654320987654,3.0
463,3,2,3.387654320987654,3.0
179,3,5,3.387654320987654,3.0
446,3,3,3.387654320987654,3.0
221,3,3,3.387654320987654,3.0
482,3,5,3.387654320987654,3.0
475,8,2,3.387654320987654,3.0
441,5,1,3.387654320987654,3.0
170,1,2,3.387654320987654,3.0
170,0,2,3.387654320987654,3.0
456,2,2,3.387654320987654,3.0
170,5,2,3.387654320987654,3.0
440,3,1,3.387654320987654,3.0
93,1,8,3.387654320987654,3.0
84,1,3,3.387654320987654,3.0
337,2,5,3.387654320987654,3.0
373,1,3,3.387654320987654,3.0
78,2,1,3.387654320987654,3.0
298,2,2,2.7721518987341773,2.0
441,1,1,3.387654320987654,3.0
329,1,2,3.387654320987654,3.0
170,3,2,3.387654320987654,3.0
422,1,1,3.387654320987654,3.0
459,2,1,2.7721518987341773,2.0
326,1,3,3.387654320987654,3.0
422,2,1,3.387654320987654,3.0
465,5,2,3.387654320987654,3.0
329,1,2,3.387654320987654,3.0
401,1,2,3.387654320987654,3.0
