closest,sp,closest_sp,mean_cluster_sp,median_cluster_sp
101,1.0,3,5.071428571428571,3.0
101,5.0,3,5.071428571428571,3.0
166,1.0,13,6.3076923076923075,5.0
191,13.0,8,2.1333333333333333,1.0
5,3.0,1,2.1333333333333333,1.0
19,1.0,2,5.258064516129032,3.0
154,3.0,5,5.258064516129032,3.0
75,1.0,1,5.071428571428571,3.0
151,1.0,13,5.071428571428571,3.0
171,2.0,2,6.25,5.0
66,1.0,1,2.1333333333333333,1.0
143,1.0,2,3.25,2.0
58,3.0,1,2.1333333333333333,1.0
1,5.0,2,5.258064516129032,3.0
76,3.0,3,5.071428571428571,3.0
174,5.0,8,5.071428571428571,3.0
20,1.0,13,5.258064516129032,3.0
34,1.0,2,5.258064516129032,3.0
124,20.0,8,5.071428571428571,3.0
101,40.0,3,5.071428571428571,3.0
23,40.0,1,5.071428571428571,3.0
151,40.0,13,5.071428571428571,3.0
124,5.0,8,5.071428571428571,3.0
124,20.0,8,5.071428571428571,3.0
180,5.0,20,5.071428571428571,3.0
102,13.0,5,5.258064516129032,3.0
177,5.0,3,5.071428571428571,3.0
114,3.0,5,5.071428571428571,3.0
91,5.0,8,8.0,8.0
16,1.0,5,2.1333333333333333,1.0
34,3.0,2,5.258064516129032,3.0
109,5.0,3,5.071428571428571,3.0
179,2.0,2,2.0,2.0
147,20.0,3,2.0,2.0
129,1.0,13,6.25,5.0
26,2.0,1,2.1333333333333333,1.0
76,3.0,3,5.071428571428571,3.0
182,2.0,1,2.1333333333333333,1.0
42,3.0,5,5.258064516129032,3.0
75,2.0,1,5.071428571428571,3.0
178,2.0,8,5.75,4.5
133,1.0,1,5.75,4.5
151,2.0,13,5.071428571428571,3.0
151,3.0,13,5.071428571428571,3.0
177,1.0,3,5.071428571428571,3.0
170,3.0,1,5.258064516129032,3.0
49,1.0,1,2.6666666666666665,2.0
91,2.0,8,8.0,8.0
197,0.5,2,1.5,1.5
118,0.5,13,6.25,5.0
49,0.5,1,2.6666666666666665,2.0
179,1.0,2,2.0,2.0
152,0.5,3,5.071428571428571,3.0
66,0.5,1,2.1333333333333333,1.0
95,0.5,3,3.0,3.0
101,1.0,3,5.071428571428571,3.0
182,1.0,1,2.1333333333333333,1.0
106,2.0,5,5.258064516129032,3.0
30,2.0,1,3.8333333333333335,2.5
131,1.0,100,31.333333333333332,8.0
92,0.5,5,6.25,5.0
118,2.0,13,6.25,5.0
67,0.5,5,3.0,3.0
118,1.0,13,6.25,5.0
53,1.0,1,3.25,2.0
43,3.0,1,5.071428571428571,3.0
32,2.0,2,5.258064516129032,3.0
74,5.0,8,3.25,2.0
124,8.0,8,5.071428571428571,3.0
