closest,sp,closest_sp,mean_cluster_sp,median_cluster_sp
32,8,5,3.1739130434782608,3.0
32,8,5,3.1739130434782608,3.0
151,3,5,3.481818181818182,3.0
40,5,1,3.481818181818182,3.0
59,8,3,3.481818181818182,3.0
115,3,3,3.481818181818182,3.0
151,3,5,3.481818181818182,3.0
151,8,5,3.481818181818182,3.0
147,1,8,3.481818181818182,3.0
96,3,3,3.481818181818182,3.0
35,5,5,3.481818181818182,3.0
36,5,5,3.481818181818182,3.0
65,3,2,3.481818181818182,3.0
43,5,3,3.481818181818182,3.0
35,2,5,3.481818181818182,3.0
43,3,3,3.481818181818182,3.0
41,3,5,3.481818181818182,3.0
43,3,3,3.481818181818182,3.0
43,2,3,3.481818181818182,3.0
147,3,8,3.481818181818182,3.0
43,2,3,3.481818181818182,3.0
139,1,3,3.481818181818182,3.0
69,1,3,3.481818181818182,3.0
27,5,5,3.481818181818182,3.0
69,1,3,3.481818181818182,3.0
27,5,5,3.481818181818182,3.0
15,3,5,3.481818181818182,3.0
65,1,2,3.481818181818182,3.0
14,3,2,3.481818181818182,3.0
25,5,3,3.481818181818182,3.0
140,5,2,3.481818181818182,3.0
136,5,1,3.1739130434782608,3.0
139,5,3,3.481818181818182,3.0
69,5,3,3.481818181818182,3.0
14,3,2,3.481818181818182,3.0
15,2,5,3.481818181818182,3.0
15,3,5,3.481818181818182,3.0
105,3,2,3.481818181818182,3.0
32,5,5,3.1739130434782608,3.0
40,5,1,3.481818181818182,3.0
0,3,3,3.481818181818182,3.0
69,3,3,3.481818181818182,3.0
69,2,3,3.481818181818182,3.0
69,3,3,3.481818181818182,3.0
0,5,3,3.481818181818182,3.0
69,3,3,3.481818181818182,3.0
61,1,5,3.0454545454545454,3.0
60,2,8,3.481818181818182,3.0
60,1,8,3.481818181818182,3.0
69,1,3,3.481818181818182,3.0
1,3,3,3.481818181818182,3.0
104,2,3,3.481818181818182,3.0
35,5,5,3.481818181818182,3.0
