closest,sp,closest_sp,mean_cluster_sp,median_cluster_sp
12,5,1,5.274336283185841,5.0
77,2,1,4.5,4.0
75,3,1,5.274336283185841,5.0
77,1,1,4.5,4.0
98,8,2,5.274336283185841,5.0
94,5,1,5.274336283185841,5.0
53,5,8,5.274336283185841,5.0
72,5,3,5.274336283185841,5.0
53,8,8,5.274336283185841,5.0
116,8,8,5.274336283185841,5.0
53,5,8,5.274336283185841,5.0
31,5,8,5.274336283185841,5.0
75,2,1,5.274336283185841,5.0
116,1,8,5.274336283185841,5.0
96,13,3,5.274336283185841,5.0
67,8,2,5.274336283185841,5.0
92,5,5,5.274336283185841,5.0
107,2,5,5.274336283185841,5.0
13,8,5,5.274336283185841,5.0
72,13,3,5.274336283185841,5.0
39,5,3,5.274336283185841,5.0
119,8,1,5.274336283185841,5.0
97,8,1,5.274336283185841,5.0
17,5,13,5.274336283185841,5.0
93,8,3,5.274336283185841,5.0
72,13,3,5.274336283185841,5.0
101,8,1,5.274336283185841,5.0
24,13,5,5.274336283185841,5.0
3,8,13,5.274336283185841,5.0
3,5,13,5.274336283185841,5.0
82,5,1,5.274336283185841,5.0
96,8,3,5.274336283185841,5.0
53,8,8,5.274336283185841,5.0
6,2,13,5.274336283185841,5.0
72,3,3,5.274336283185841,5.0
24,8,5,5.274336283185841,5.0
108,8,3,5.274336283185841,5.0
87,8,3,5.274336283185841,5.0
98,1,2,5.274336283185841,5.0
87,5,3,5.274336283185841,5.0
94,3,1,5.274336283185841,5.0
20,13,2,5.274336283185841,5.0
