closest,sp,closest_sp,mean_cluster_sp,median_cluster_sp
179,1,1.0,2.1153205661948378,2.0
1144,2,2.0,2.1153205661948378,2.0
360,2,1.0,2.1153205661948378,2.0
71,1,1.0,2.1153205661948378,2.0
115,3,1.0,2.1153205661948378,2.0
71,2,1.0,2.1153205661948378,2.0
1151,2,2.0,2.1153205661948378,2.0
89,3,1.0,2.1153205661948378,2.0
71,1,1.0,2.1153205661948378,2.0
593,2,1.0,2.1153205661948378,2.0
538,1,1.0,2.1153205661948378,2.0
164,2,1.0,2.1153205661948378,2.0
482,1,2.0,2.1153205661948378,2.0
1080,2,2.0,2.1153205661948378,2.0
1080,2,2.0,2.1153205661948378,2.0
1111,2,2.0,2.1153205661948378,2.0
1080,2,2.0,2.1153205661948378,2.0
870,2,2.0,2.1153205661948378,2.0
806,2,5.0,2.1153205661948378,2.0
185,3,2.0,2.1153205661948378,2.0
957,1,2.0,2.1153205661948378,2.0
493,2,1.0,2.1153205661948378,2.0
309,2,1.0,2.1153205661948378,2.0
242,1,3.0,2.1153205661948378,2.0
966,1,2.0,2.1153205661948378,2.0
1155,1,2.0,2.1153205661948378,2.0
901,1,0.5,2.1153205661948378,2.0
183,2,1.0,2.1153205661948378,2.0
380,2,1.0,2.1153205661948378,2.0
26,1,1.0,2.1153205661948378,2.0
1178,1,3.0,2.1153205661948378,2.0
1210,2,2.0,2.1153205661948378,2.0
468,1,1.0,2.1153205661948378,2.0
115,1,1.0,2.1153205661948378,2.0
115,1,1.0,2.1153205661948378,2.0
1147,2,2.0,2.1153205661948378,2.0
91,2,8.0,2.1153205661948378,2.0
132,2,1.0,2.1153205661948378,2.0
1097,2,2.0,2.1153205661948378,2.0
424,1,1.0,2.1153205661948378,2.0
468,1,1.0,2.1153205661948378,2.0
948,1,2.0,2.1153205661948378,2.0
600,1,2.0,2.1153205661948378,2.0
1065,1,1.0,2.1153205661948378,2.0
44,2,1.0,2.1153205661948378,2.0
1085,1,2.0,2.1153205661948378,2.0
1124,2,2.0,2.1153205661948378,2.0
687,1,3.0,2.1153205661948378,2.0
883,2,2.0,2.1153205661948378,2.0
213,1,1.0,2.1153205661948378,2.0
869,1,2.0,2.1153205661948378,2.0
603,2,1.0,2.1153205661948378,2.0
789,2,1.0,2.1153205661948378,2.0
1080,2,2.0,2.1153205661948378,2.0
