closest,sp,closest_sp,mean_cluster_sp,median_cluster_sp
131,2,0,1.944055944055944,1.0
17,1,1,1.944055944055944,1.0
44,3,1,1.944055944055944,1.0
112,2,1,1.944055944055944,1.0
45,1,1,1.944055944055944,1.0
2,2,1,1.944055944055944,1.0
65,1,3,1.944055944055944,1.0
112,2,1,1.944055944055944,1.0
65,2,3,1.944055944055944,1.0
30,1,1,1.944055944055944,1.0
121,2,1,1.944055944055944,1.0
127,1,5,1.944055944055944,1.0
168,1,2,1.944055944055944,1.0
112,2,1,1.944055944055944,1.0
115,1,20,1.944055944055944,1.0
53,1,1,1.457142857142857,1.0
93,2,1,1.944055944055944,1.0
183,2,3,1.944055944055944,1.0
121,1,1,1.944055944055944,1.0
168,1,2,1.944055944055944,1.0
107,2,1,1.944055944055944,1.0
168,1,2,1.944055944055944,1.0
144,1,2,1.944055944055944,1.0
182,1,2,1.457142857142857,1.0
160,5,1,1.944055944055944,1.0
141,1,1,1.944055944055944,1.0
71,3,1,1.944055944055944,1.0
91,3,2,1.457142857142857,1.0
127,2,5,1.944055944055944,1.0
183,1,3,1.944055944055944,1.0
24,1,1,1.944055944055944,1.0
45,1,1,1.944055944055944,1.0
91,1,2,1.457142857142857,1.0
112,2,1,1.944055944055944,1.0
176,1,5,1.944055944055944,1.0
10,1,1,1.944055944055944,1.0
183,1,3,1.944055944055944,1.0
112,2,1,1.944055944055944,1.0
10,2,1,1.944055944055944,1.0
17,3,1,1.944055944055944,1.0
3,3,2,1.944055944055944,1.0
135,1,1,1.944055944055944,1.0
168,2,2,1.944055944055944,1.0
164,1,1,1.457142857142857,1.0
127,1,5,1.944055944055944,1.0
30,1,1,1.944055944055944,1.0
127,2,5,1.944055944055944,1.0
74,1,1,1.944055944055944,1.0
107,1,1,1.944055944055944,1.0
4,1,2,1.944055944055944,1.0
31,2,3,1.944055944055944,1.0
168,1,2,1.944055944055944,1.0
146,3,1,1.944055944055944,1.0
162,1,1,1.944055944055944,1.0
109,2,1,1.944055944055944,1.0
176,3,5,1.944055944055944,1.0
51,1,3,1.944055944055944,1.0
23,2,2,1.944055944055944,1.0
12,2,1,1.944055944055944,1.0
46,3,5,1.944055944055944,1.0
50,2,2,1.944055944055944,1.0
112,2,1,1.944055944055944,1.0
164,2,1,1.457142857142857,1.0
