closest,sp,closest_sp,mean_cluster_sp,median_cluster_sp
917,2,2.0,1.3888888888888888,1.0
459,2,2.0,1.5384615384615385,2.0
742,1,1.0,1.394736842105263,1.0
526,1,1.0,1.6470588235294117,1.0
149,0,2.0,1.4285714285714286,2.0
1550,2,2.0,2.0,2.0
1137,2,2.0,1.5,2.0
554,1,1.0,1.2105263157894737,1.0
667,2,2.0,1.5,1.5
1462,0,2.0,1.3846153846153846,1.0
744,1,1.0,1.25,1.0
376,2,1.0,1.6774193548387097,2.0
1361,0,2.0,1.8888888888888888,1.5
42,1,1.0,1.7142857142857142,2.0
1192,1,2.0,1.8888888888888888,1.5
970,1,2.0,1.7142857142857142,2.0
1323,1,8.0,1.6470588235294117,1.0
881,2,1.0,1.24,1.0
1379,2,2.0,1.425531914893617,1.0
403,1,1.0,1.425531914893617,1.0
1462,1,2.0,1.3846153846153846,1.0
301,1,2.0,1.4166666666666667,1.0
1073,1,1.0,1.510204081632653,2.0
307,2,2.0,1.510204081632653,2.0
1396,2,1.0,1.25,1.0
473,0,2.0,1.425531914893617,1.0
977,2,2.0,1.1666666666666667,1.0
1540,0,1.0,1.6470588235294117,1.0
1468,0,2.0,1.3529411764705883,1.0
368,0,2.0,1.5,1.5
939,2,1.0,1.4,1.0
288,1,1.0,1.5,1.5
1016,2,2.0,1.5185185185185186,2.0
589,2,1.0,1.4666666666666666,1.0
353,2,2.0,1.6428571428571428,2.0
1313,1,0.0,0.6666666666666666,1.0
67,1,1.0,1.2727272727272727,1.0
353,1,2.0,1.6428571428571428,2.0
353,1,2.0,1.6428571428571428,2.0
1396,0,1.0,1.25,1.0
1099,1,1.0,1.5,1.5
4,2,2.0,1.7142857142857142,2.0
733,2,1.0,0.5,0.5
118,2,1.0,1.8,2.0
1046,2,2.0,1.0909090909090908,1.0
789,1,2.0,1.3448275862068966,1.0
368,1,2.0,1.5,1.5
288,1,1.0,1.5,1.5
650,1,1.0,1.4186046511627908,1.0
552,2,1.0,1.6428571428571428,2.0
1323,1,8.0,1.6470588235294117,1.0
753,0,1.0,1.0,1.0
1165,1,1.0,1.5,2.0
353,2,2.0,1.6428571428571428,2.0
