closest,sp,closest_sp,mean_cluster_sp,median_cluster_sp
16,2,3,5.237288135593221,3.0
11,5,8,5.237288135593221,3.0
9,2,8,5.237288135593221,3.0
16,2,3,5.237288135593221,3.0
16,3,3,5.237288135593221,3.0
16,3,3,5.237288135593221,3.0
118,5,8,5.237288135593221,3.0
60,1,1,2.2222222222222223,2.0
19,2,8,5.237288135593221,3.0
19,2,8,5.237288135593221,3.0
16,3,3,5.237288135593221,3.0
16,3,3,5.237288135593221,3.0
37,1,2,2.3333333333333335,1.0
119,2,8,5.237288135593221,3.0
118,2,8,5.237288135593221,3.0
16,2,3,5.237288135593221,3.0
13,2,2,5.237288135593221,3.0
16,3,3,5.237288135593221,3.0
16,3,3,5.237288135593221,3.0
16,3,3,5.237288135593221,3.0
19,2,8,5.237288135593221,3.0
16,2,3,5.237288135593221,3.0
16,2,3,5.237288135593221,3.0
118,3,8,5.237288135593221,3.0
16,2,3,5.237288135593221,3.0
16,2,3,5.237288135593221,3.0
16,2,3,5.237288135593221,3.0
16,3,3,5.237288135593221,3.0
16,2,3,5.237288135593221,3.0
16,3,3,5.237288135593221,3.0
16,3,3,5.237288135593221,3.0
20,2,8,5.237288135593221,3.0
50,2,8,5.237288135593221,3.0
50,2,8,5.237288135593221,3.0
110,5,8,5.237288135593221,3.0
20,3,8,5.237288135593221,3.0
20,2,8,5.237288135593221,3.0
77,2,2,5.237288135593221,3.0
43,3,8,5.237288135593221,3.0
77,1,2,5.237288135593221,3.0
77,2,2,5.237288135593221,3.0
20,2,8,5.237288135593221,3.0
112,1,3,5.237288135593221,3.0
118,1,8,5.237288135593221,3.0
20,1,8,5.237288135593221,3.0
20,1,8,5.237288135593221,3.0
20,1,8,5.237288135593221,3.0
20,1,8,5.237288135593221,3.0
20,1,8,5.237288135593221,3.0
19,1,8,5.237288135593221,3.0
19,2,8,5.237288135593221,3.0
20,2,8,5.237288135593221,3.0
118,1,8,5.237288135593221,3.0
77,1,2,5.237288135593221,3.0
20,1,8,5.237288135593221,3.0
4,2,2,5.237288135593221,3.0
20,1,8,5.237288135593221,3.0
19,1,8,5.237288135593221,3.0
20,1,8,5.237288135593221,3.0
80,1,3,5.237288135593221,3.0
94,2,3,5.237288135593221,3.0
20,3,8,5.237288135593221,3.0
20,3,8,5.237288135593221,3.0
