closest,sp,closest_sp,mean_cluster_sp,median_cluster_sp
879,2,3.0,2.7096774193548385,2.5
674,1,5.0,3.0,2.5
374,1,3.0,3.0476190476190474,3.0
395,3,2.0,3.3,3.0
522,2,3.0,2.3636363636363638,2.0
435,2,5.0,4.0,4.0
434,2,3.0,4.0,4.0
435,2,5.0,4.0,4.0
807,2,2.0,2.0,2.0
717,3,2.0,2.25,2.0
532,2,3.0,2.7096774193548385,2.5
284,1,5.0,2.25,2.0
86,1,3.0,3.104651162790698,3.0
893,3,1.0,2.7096774193548385,2.5
861,2,5.0,3.104651162790698,3.0
63,1,5.0,1.8461538461538463,2.0
119,2,2.0,1.5,1.5
122,1,1.0,1.25,1.0
362,1,1.0,3.0476190476190474,3.0
324,3,1.0,2.1176470588235294,1.0
438,2,1.0,3.104651162790698,3.0
81,3,1.0,3.104651162790698,3.0
138,5,2.0,3.104651162790698,3.0
243,5,8.0,4.333333333333333,3.0
49,3,2.0,3.104651162790698,3.0
728,2,5.0,5.0,5.0
426,2,3.0,2.7096774193548385,2.5
538,5,1.0,3.7758620689655173,3.0
824,3,5.0,3.104651162790698,3.0
266,2,13.0,4.62962962962963,3.0
633,5,8.0,3.0526315789473686,3.0
817,1,1.0,4.62962962962963,3.0
333,5,1.0,2.8823529411764706,3.0
785,2,1.0,2.7096774193548385,2.5
249,5,8.0,3.104651162790698,3.0
282,5,13.0,3.7758620689655173,3.0
393,3,2.0,3.104651162790698,3.0
582,3,2.0,3.5,3.0
36,2,5.0,3.5,3.0
593,5,1.0,4.62962962962963,3.0
767,1,3.0,2.7096774193548385,2.5
126,1,1.0,1.5,1.5
842,2,8.0,3.104651162790698,3.0
641,5,1.0,3.3,3.0
671,3,3.0,2.6923076923076925,3.0
524,2,2.0,2.75,3.0
688,5,5.0,4.62962962962963,3.0
62,5,3.0,2.923076923076923,3.0
476,3,5.0,4.090909090909091,3.0
368,5,3.0,2.923076923076923,3.0
846,2,3.0,3.104651162790698,3.0
879,2,3.0,2.7096774193548385,2.5
211,3,5.0,3.5,3.0
88,3,13.0,3.7758620689655173,3.0
500,3,2.0,4.62962962962963,3.0
713,3,3.0,3.3,3.0
535,3,2.0,3.857142857142857,3.0
138,3,2.0,3.104651162790698,3.0
630,3,5.0,3.857142857142857,3.0
884,5,5.0,2.8,2.0
131,2,2.0,2.7096774193548385,2.5
706,8,3.0,3.104651162790698,3.0
30,3,8.0,3.104651162790698,3.0
574,5,1.0,3.5,3.0
15,5,3.0,3.5,3.0
874,1,2.0,2.7096774193548385,2.5
729,1,3.0,3.104651162790698,3.0
350,2,2.0,2.7096774193548385,2.5
26,2,1.0,1.0,1.0
643,8,3.0,3.104651162790698,3.0
568,2,2.0,1.8,2.0
539,1,3.0,3.104651162790698,3.0
350,1,2.0,2.7096774193548385,2.5
576,5,3.0,3.5555555555555554,3.0
394,1,5.0,3.7758620689655173,3.0
302,3,3.0,2.7096774193548385,2.5
792,5,1.0,2.6923076923076925,3.0
399,2,1.0,1.0,1.0
807,3,2.0,2.0,2.0
356,2,1.0,2.7096774193548385,2.5
340,3,3.0,2.6923076923076925,3.0
114,2,3.0,3.0476190476190474,3.0
851,5,3.0,2.6923076923076925,3.0
462,1,3.0,2.4,2.0
510,1,3.0,3.5,3.0
26,2,1.0,1.0,1.0
56,5,2.0,2.6923076923076925,3.0
720,2,1.0,2.1176470588235294,1.0
634,5,5.0,3.7758620689655173,3.0
332,3,3.0,3.3,3.0
328,2,3.0,3.7758620689655173,3.0
715,2,2.0,2.25,2.0
325,8,8.0,3.7758620689655173,3.0
634,5,5.0,3.7758620689655173,3.0
818,8,1.0,3.7758620689655173,3.0
365,3,3.0,3.104651162790698,3.0
611,3,3.0,4.62962962962963,3.0
110,3,1.0,1.3333333333333333,1.0
842,5,8.0,3.104651162790698,3.0
106,3,2.0,3.104651162790698,3.0
626,1,8.0,3.5,3.0
565,5,3.0,2.9166666666666665,3.0
715,2,2.0,2.25,2.0
81,5,1.0,3.104651162790698,3.0
474,3,5.0,3.6363636363636362,3.0
836,1,2.0,2.3,2.0
634,5,5.0,3.7758620689655173,3.0
823,5,8.0,3.104651162790698,3.0
376,3,3.0,3.7758620689655173,3.0
819,5,3.0,3.6363636363636362,3.0
106,5,2.0,3.104651162790698,3.0
485,1,1.0,2.7096774193548385,2.5
839,3,5.0,3.75,3.0
16,3,3.0,3.104651162790698,3.0
479,5,2.0,2.6923076923076925,3.0
839,3,5.0,3.75,3.0
839,3,5.0,3.75,3.0
839,3,5.0,3.75,3.0
839,3,5.0,3.75,3.0
860,1,2.0,1.6666666666666667,1.5
642,3,3.0,3.0476190476190474,3.0
103,5,8.0,3.3,3.0
500,5,2.0,4.62962962962963,3.0
412,5,1.0,2.7096774193548385,2.5
38,2,5.0,3.7758620689655173,3.0
719,2,1.0,3.3,3.0
442,5,8.0,3.104651162790698,3.0
842,3,8.0,3.104651162790698,3.0
553,5,1.0,3.05,2.5
139,2,5.0,3.104651162790698,3.0
106,3,2.0,3.104651162790698,3.0
342,8,1.0,3.857142857142857,3.0
417,3,1.0,3.857142857142857,3.0
404,3,3.0,3.857142857142857,3.0
776,1,3.0,3.104651162790698,3.0
842,3,8.0,3.104651162790698,3.0
45,5,2.0,2.5,2.5
776,2,3.0,3.104651162790698,3.0
222,1,3.0,3.3,3.0
486,5,3.0,2.5,2.5
229,1,1.0,2.4444444444444446,2.0
222,5,3.0,3.3,3.0
16,5,3.0,3.104651162790698,3.0
246,8,1.0,3.104651162790698,3.0
641,3,1.0,3.3,3.0
635,5,3.0,2.6923076923076925,3.0
253,5,8.0,3.7758620689655173,3.0
69,2,1.0,3.104651162790698,3.0
350,2,2.0,2.7096774193548385,2.5
440,5,3.0,3.7758620689655173,3.0
42,8,1.0,3.104651162790698,3.0
715,2,2.0,2.25,2.0
641,5,1.0,3.3,3.0
372,3,3.0,3.857142857142857,3.0
524,2,2.0,2.75,3.0
504,2,2.0,2.75,3.0
372,3,3.0,3.857142857142857,3.0
842,3,8.0,3.104651162790698,3.0
265,2,3.0,3.7758620689655173,3.0
842,5,8.0,3.104651162790698,3.0
16,5,3.0,3.104651162790698,3.0
329,3,3.0,3.104651162790698,3.0
447,5,5.0,2.7096774193548385,2.5
581,2,2.0,2.7096774193548385,2.5
10,5,2.0,2.0,2.0
328,5,3.0,3.7758620689655173,3.0
706,5,3.0,3.104651162790698,3.0
128,2,2.0,2.25,2.0
139,2,5.0,3.104651162790698,3.0
816,2,1.0,2.6923076923076925,3.0
344,1,1.0,2.8823529411764706,3.0
141,1,1.0,3.104651162790698,3.0
842,2,8.0,3.104651162790698,3.0
10,3,2.0,2.0,2.0
350,2,2.0,2.7096774193548385,2.5
539,2,3.0,3.104651162790698,3.0
39,3,5.0,3.6666666666666665,3.0
139,5,5.0,3.104651162790698,3.0
767,3,3.0,2.7096774193548385,2.5
257,2,8.0,3.104651162790698,3.0
818,3,1.0,3.7758620689655173,3.0
486,3,3.0,2.5,2.5
500,3,2.0,4.62962962962963,3.0
688,3,5.0,4.62962962962963,3.0
663,3,2.0,3.857142857142857,3.0
326,5,5.0,3.7758620689655173,3.0
715,1,2.0,2.25,2.0
600,3,5.0,2.7096774193548385,2.5
458,5,3.0,3.7758620689655173,3.0
88,1,13.0,3.7758620689655173,3.0
785,1,1.0,2.7096774193548385,2.5
633,2,8.0,3.0526315789473686,3.0
56,1,2.0,2.6923076923076925,3.0
139,3,5.0,3.104651162790698,3.0
792,2,1.0,2.6923076923076925,3.0
847,3,3.0,3.7758620689655173,3.0
738,3,5.0,3.104651162790698,3.0
824,3,5.0,3.104651162790698,3.0
791,3,1.0,2.923076923076923,3.0
257,2,8.0,3.104651162790698,3.0
150,2,1.0,3.6363636363636362,3.0
350,3,2.0,2.7096774193548385,2.5
550,1,2.0,1.8461538461538463,2.0
641,3,1.0,3.3,3.0
470,3,1.0,3.3333333333333335,3.0
535,3,2.0,3.857142857142857,3.0
63,3,5.0,1.8461538461538463,2.0
139,1,5.0,3.104651162790698,3.0
891,1,1.0,3.104651162790698,3.0
600,3,5.0,2.7096774193548385,2.5
413,2,1.0,2.6666666666666665,3.0
139,2,5.0,3.104651162790698,3.0
238,3,3.0,2.7096774193548385,2.5
885,1,2.0,2.4444444444444446,2.0
402,8,2.0,3.7758620689655173,3.0
641,1,1.0,3.3,3.0
900,1,3.0,3.104651162790698,3.0
447,1,5.0,2.7096774193548385,2.5
385,2,2.0,3.104651162790698,3.0
612,8,3.0,2.923076923076923,3.0
786,8,1.0,3.0,3.0
641,2,1.0,3.3,3.0
706,2,3.0,3.104651162790698,3.0
641,5,1.0,3.3,3.0
265,5,3.0,3.7758620689655173,3.0
152,5,5.0,3.857142857142857,3.0
372,2,3.0,3.857142857142857,3.0
353,3,3.0,3.7758620689655173,3.0
403,3,5.0,3.857142857142857,3.0
516,5,3.0,3.7758620689655173,3.0
163,8,5.0,2.8823529411764706,3.0
575,3,2.0,3.5,3.0
823,2,8.0,3.104651162790698,3.0
372,3,3.0,3.857142857142857,3.0
372,2,3.0,3.857142857142857,3.0
372,2,3.0,3.857142857142857,3.0
626,5,8.0,3.5,3.0
643,5,3.0,3.104651162790698,3.0
362,2,1.0,3.0476190476190474,3.0
280,3,2.0,3.857142857142857,3.0
791,5,1.0,2.923076923076923,3.0
830,3,3.0,3.857142857142857,3.0
344,5,1.0,2.8823529411764706,3.0
891,5,1.0,3.104651162790698,3.0
500,5,2.0,4.62962962962963,3.0
329,3,3.0,3.104651162790698,3.0
447,3,5.0,2.7096774193548385,2.5
356,1,1.0,2.7096774193548385,2.5
440,2,3.0,3.7758620689655173,3.0
403,3,5.0,3.857142857142857,3.0
688,3,5.0,4.62962962962963,3.0
706,8,3.0,3.104651162790698,3.0
845,1,2.0,2.0,2.0
888,8,3.0,3.7758620689655173,3.0
49,1,2.0,3.104651162790698,3.0
632,3,2.0,2.6923076923076925,3.0
72,3,3.0,3.104651162790698,3.0
302,1,3.0,2.7096774193548385,2.5
93,1,8.0,3.857142857142857,3.0
498,5,1.0,3.6363636363636362,3.0
308,2,2.0,2.6923076923076925,3.0
838,5,3.0,3.857142857142857,3.0
650,8,1.0,3.3,3.0
16,1,3.0,3.104651162790698,3.0
732,2,3.0,2.9166666666666665,3.0
257,3,8.0,3.104651162790698,3.0
650,3,1.0,3.3,3.0
827,2,3.0,2.6923076923076925,3.0
795,3,3.0,3.104651162790698,3.0
722,3,5.0,5.0,5.0
256,5,8.0,3.7758620689655173,3.0
27,3,3.0,3.3,3.0
550,1,2.0,1.8461538461538463,2.0
861,2,5.0,3.104651162790698,3.0
350,1,2.0,2.7096774193548385,2.5
203,2,3.0,2.7096774193548385,2.5
528,8,2.0,3.6363636363636362,3.0
139,1,5.0,3.104651162790698,3.0
812,3,2.0,2.6923076923076925,3.0
697,1,3.0,2.7096774193548385,2.5
49,1,2.0,3.104651162790698,3.0
257,2,8.0,3.104651162790698,3.0
350,1,2.0,2.7096774193548385,2.5
230,1,2.0,3.7758620689655173,3.0
781,5,1.0,1.0,1.0
582,1,2.0,3.5,3.0
622,13,5.0,3.7758620689655173,3.0
440,5,3.0,3.7758620689655173,3.0
309,1,1.0,2.25,2.0
280,5,2.0,3.857142857142857,3.0
903,2,5.0,3.857142857142857,3.0
279,3,3.0,3.857142857142857,3.0
630,5,5.0,3.857142857142857,3.0
476,5,5.0,4.090909090909091,3.0
605,3,2.0,2.8,2.0
476,3,5.0,4.090909090909091,3.0
61,3,3.0,3.104651162790698,3.0
103,1,8.0,3.3,3.0
355,1,1.0,2.7096774193548385,2.5
863,1,3.0,3.104651162790698,3.0
139,3,5.0,3.104651162790698,3.0
600,1,5.0,2.7096774193548385,2.5
556,3,5.0,4.62962962962963,3.0
518,1,3.0,2.3,2.0
106,3,2.0,3.104651162790698,3.0
