closest,sp,closest_sp,mean_cluster_sp,median_cluster_sp
13,1.0,5,4.0,2.0
286,2.0,2,1.5,1.5
244,2.0,3,3.0,3.0
303,3.0,2,1.875,2.0
68,1.0,2,2.0,2.0
219,1.0,1,1.8,2.0
145,1.0,2,2.111111111111111,2.0
122,2.0,3,3.4285714285714284,3.0
35,1.0,3,2.111111111111111,2.0
233,1.0,1,2.5833333333333335,2.0
247,2.0,1,3.4285714285714284,3.0
9,3.0,1,2.111111111111111,2.0
72,2.0,3,2.1538461538461537,2.0
28,1.0,13,8.0,8.0
286,2.0,2,1.5,1.5
286,2.0,2,1.5,1.5
129,1.0,1,1.9,1.5
132,1.0,2,1.875,2.0
282,2.0,3,2.9375,2.5
8,2.0,2,2.1538461538461537,2.0
252,2.0,5,2.1538461538461537,2.0
125,0.0,3,1.9090909090909092,1.0
215,1.0,1,1.0,1.0
117,3.0,2,2.111111111111111,2.0
141,5.0,1,2.9375,2.5
230,5.0,8,7.153846153846154,5.0
149,2.0,2,1.8,2.0
149,3.0,2,1.8,2.0
135,1.0,1,1.3333333333333333,1.0
100,2.0,1,2.3076923076923075,2.0
117,2.0,2,2.111111111111111,2.0
297,2.0,2,2.1538461538461537,2.0
117,3.0,2,2.111111111111111,2.0
213,1.0,3,2.1538461538461537,2.0
143,2.0,1,2.1538461538461537,2.0
290,3.0,1,2.111111111111111,2.0
117,1.0,2,2.111111111111111,2.0
290,3.0,1,2.111111111111111,2.0
215,1.0,1,1.0,1.0
16,3.0,3,2.5833333333333335,2.0
208,2.0,1,1.9090909090909092,1.0
309,2.0,1,1.875,2.0
100,1.0,1,2.3076923076923075,2.0
33,1.0,2,2.9375,2.5
219,2.0,1,1.8,2.0
72,0.0,3,2.1538461538461537,2.0
304,1.0,2,1.8,2.0
293,2.0,3,1.875,2.0
254,1.0,1,1.0,1.0
139,0.0,8,8.0,8.0
8,1.0,2,2.1538461538461537,2.0
132,2.0,2,1.875,2.0
9,3.0,1,2.111111111111111,2.0
280,3.0,8,4.0,2.0
215,1.0,1,1.0,1.0
125,1.0,3,1.9090909090909092,1.0
274,3.0,1,1.8,2.0
124,2.0,1,1.0,1.0
244,3.0,3,3.0,3.0
243,3.0,2,2.0,2.0
137,2.0,1,1.0,1.0
274,2.0,1,1.8,2.0
75,2.0,2,1.0,1.0
117,3.0,2,2.111111111111111,2.0
219,2.0,1,1.8,2.0
296,1.0,1,1.0,1.0
23,1.0,2,1.6666666666666667,2.0
223,2.0,3,3.0,3.0
45,1.0,1,1.0,1.0
167,1.0,1,1.0,1.0
52,1.0,1,2.0,1.0
221,1.0,1,1.3333333333333333,1.0
85,2.0,8,2.5833333333333335,2.0
93,2.0,3,2.5833333333333335,2.0
291,2.0,1,1.9090909090909092,1.0
161,3.0,1,1.9090909090909092,1.0
67,2.0,3,1.9,1.5
33,0.0,2,2.9375,2.5
218,1.0,2,2.0,2.0
218,1.0,2,2.0,2.0
206,5.0,1,2.375,1.0
213,1.0,3,2.1538461538461537,2.0
219,2.0,1,1.8,2.0
56,1.0,2,2.1538461538461537,2.0
149,5.0,2,1.8,2.0
9,2.0,1,2.111111111111111,2.0
117,3.0,2,2.111111111111111,2.0
215,0.5,1,1.0,1.0
253,5.0,2,2.3076923076923075,2.0
117,0.0,2,2.111111111111111,2.0
279,0.0,3,1.8,2.0
117,1.0,2,2.111111111111111,2.0
33,1.0,2,2.9375,2.5
135,0.0,1,1.3333333333333333,1.0
233,1.0,1,2.5833333333333335,2.0
165,1.0,2,4.0,2.0
129,1.0,1,1.9,1.5
286,1.0,2,1.5,1.5
281,2.0,3,3.0,3.0
274,2.0,1,1.8,2.0
108,5.0,2,2.9375,2.5
9,2.0,1,2.111111111111111,2.0
289,1.0,1,1.9,1.5
208,1.0,1,1.9090909090909092,1.0
176,1.0,1,2.3333333333333335,3.0
3,1.0,2,2.111111111111111,2.0
