closest,sp,closest_sp,mean_cluster_sp,median_cluster_sp
95,2,2,2.043103448275862,2.0
72,0,5,2.043103448275862,2.0
36,3,3,2.043103448275862,2.0
105,1,1,2.043103448275862,2.0
31,2,2,2.043103448275862,2.0
6,3,3,2.043103448275862,2.0
6,1,3,2.043103448275862,2.0
40,3,2,2.043103448275862,2.0
95,2,2,2.043103448275862,2.0
45,1,1,2.043103448275862,2.0
9,2,5,2.043103448275862,2.0
94,1,1,2.043103448275862,2.0
94,1,1,2.043103448275862,2.0
106,2,1,2.043103448275862,2.0
106,1,1,2.043103448275862,2.0
104,1,1,2.043103448275862,2.0
106,3,1,2.043103448275862,2.0
105,1,1,2.043103448275862,2.0
106,3,1,2.043103448275862,2.0
90,2,2,2.043103448275862,2.0
91,3,2,2.043103448275862,2.0
103,5,1,2.043103448275862,2.0
90,1,2,2.043103448275862,2.0
97,1,2,2.043103448275862,2.0
95,1,2,2.043103448275862,2.0
97,1,2,2.043103448275862,2.0
97,5,2,2.043103448275862,2.0
97,1,2,2.043103448275862,2.0
91,1,2,2.043103448275862,2.0
82,3,1,2.043103448275862,2.0
82,1,1,2.043103448275862,2.0
82,5,1,2.043103448275862,2.0
95,1,2,2.043103448275862,2.0
107,1,2,2.043103448275862,2.0
103,2,1,2.043103448275862,2.0
82,2,1,2.043103448275862,2.0
82,1,1,2.043103448275862,2.0
106,1,1,2.043103448275862,2.0
82,1,1,2.043103448275862,2.0
106,1,1,2.043103448275862,2.0
103,1,1,2.043103448275862,2.0
90,1,2,2.043103448275862,2.0
82,2,1,2.043103448275862,2.0
