closest,sp,closest_sp,mean_cluster_sp,median_cluster_sp
353,1,1,2.9577464788732395,2.0
544,2,5,2.9577464788732395,2.0
116,1,3,2.9577464788732395,2.0
568,2,8,5.1,5.0
0,2,1,1.6428571428571428,1.0
301,8,8,8.0,8.0
468,2,1,2.409090909090909,1.5
398,13,5,2.9577464788732395,2.0
58,1,13,5.0,5.0
58,1,13,5.0,5.0
3,2,8,2.261904761904762,1.0
359,1,13,8.0,8.0
359,1,13,8.0,8.0
388,1,13,10.714285714285714,13.0
359,1,13,8.0,8.0
359,2,13,8.0,8.0
359,1,13,8.0,8.0
359,1,13,8.0,8.0
359,1,13,8.0,8.0
359,1,13,8.0,8.0
359,1,13,8.0,8.0
388,1,13,10.714285714285714,13.0
388,2,13,10.714285714285714,13.0
388,1,13,10.714285714285714,13.0
388,1,13,10.714285714285714,13.0
392,1,13,10.714285714285714,13.0
359,1,13,8.0,8.0
388,1,13,10.714285714285714,13.0
359,1,13,8.0,8.0
389,1,13,10.714285714285714,13.0
363,2,3,8.0,8.0
359,1,13,8.0,8.0
492,1,2,2.9577464788732395,2.0
550,8,1,3.3220338983050848,3.0
55,1,1,2.9577464788732395,2.0
166,1,5,2.409090909090909,1.5
201,2,5,2.9577464788732395,2.0
349,2,5,3.3220338983050848,3.0
301,3,8,8.0,8.0
363,8,3,8.0,8.0
495,8,1,2.9577464788732395,2.0
568,2,8,5.1,5.0
171,3,3,7.0,8.0
398,1,5,2.9577464788732395,2.0
357,8,8,7.0,8.0
276,3,8,10.714285714285714,13.0
140,8,1,5.1,5.0
363,3,3,8.0,8.0
366,1,1,2.9577464788732395,2.0
202,1,3,5.1,5.0
141,1,13,5.1,5.0
568,3,8,5.1,5.0
179,1,2,5.0,5.0
123,1,1,2.4285714285714284,2.0
343,2,3,5.0,5.0
55,3,1,2.9577464788732395,2.0
303,2,3,2.9577464788732395,2.0
55,3,1,2.9577464788732395,2.0
530,1,1,5.0,2.0
46,1,5,4.0,5.0
456,2,2,5.1,5.0
451,0,1,1.6428571428571428,1.0
202,3,3,5.1,5.0
303,1,3,2.9577464788732395,2.0
391,3,13,5.137931034482759,5.0
451,1,1,1.6428571428571428,1.0
357,1,8,7.0,8.0
301,8,8,8.0,8.0
301,8,8,8.0,8.0
354,3,1,2.857142857142857,2.0
53,1,1,1.6428571428571428,1.0
58,1,13,5.0,5.0
282,8,3,2.9577464788732395,2.0
301,2,8,8.0,8.0
363,2,3,8.0,8.0
245,1,8,3.5652173913043477,3.0
29,0,3,5.137931034482759,5.0
116,1,3,2.9577464788732395,2.0
101,1,5,2.409090909090909,1.5
465,2,1,2.9577464788732395,2.0
301,8,8,8.0,8.0
492,1,2,2.9577464788732395,2.0
367,2,3,1.6428571428571428,1.0
53,3,1,1.6428571428571428,1.0
301,8,8,8.0,8.0
301,8,8,8.0,8.0
450,1,5,2.6666666666666665,1.0
301,8,8,8.0,8.0
201,1,5,2.9577464788732395,2.0
231,1,5,3.3220338983050848,3.0
231,8,5,3.3220338983050848,3.0
352,1,5,3.3220338983050848,3.0
352,1,5,3.3220338983050848,3.0
352,1,5,3.3220338983050848,3.0
353,1,1,2.9577464788732395,2.0
355,1,1,2.261904761904762,1.0
231,8,5,3.3220338983050848,3.0
334,1,1,3.5652173913043477,3.0
482,3,1,3.0,2.0
556,1,1,2.8,1.0
331,2,2,2.9577464788732395,2.0
472,1,2,2.4285714285714284,2.0
14,8,1,2.409090909090909,1.5
363,8,3,8.0,8.0
451,0,1,1.6428571428571428,1.0
301,8,8,8.0,8.0
301,8,8,8.0,8.0
460,2,1,3.3220338983050848,3.0
416,1,1,2.409090909090909,1.5
301,8,8,8.0,8.0
301,8,8,8.0,8.0
245,1,8,3.5652173913043477,3.0
398,1,5,2.9577464788732395,2.0
521,1,1,2.9577464788732395,2.0
29,2,3,5.137931034482759,5.0
125,8,1,3.5652173913043477,3.0
460,1,1,3.3220338983050848,3.0
172,1,1,3.3220338983050848,3.0
398,8,5,2.9577464788732395,2.0
529,0,5,5.1,5.0
303,2,3,2.9577464788732395,2.0
546,3,1,5.1,5.0
301,8,8,8.0,8.0
301,8,8,8.0,8.0
363,8,3,8.0,8.0
501,2,1,3.5652173913043477,3.0
528,1,3,3.3220338983050848,3.0
303,8,3,2.9577464788732395,2.0
359,8,13,8.0,8.0
421,3,8,2.6666666666666665,1.0
359,8,13,8.0,8.0
176,8,2,2.4285714285714284,2.0
301,8,8,8.0,8.0
363,8,3,8.0,8.0
359,8,13,8.0,8.0
301,8,8,8.0,8.0
98,2,1,5.0,5.0
367,3,3,1.6428571428571428,1.0
426,2,8,5.0,5.0
435,3,1,2.261904761904762,1.0
301,8,8,8.0,8.0
278,0,1,1.6428571428571428,1.0
301,8,8,8.0,8.0
301,8,8,8.0,8.0
301,8,8,8.0,8.0
301,2,8,8.0,8.0
58,3,13,5.0,5.0
319,8,1,5.137931034482759,5.0
369,5,13,3.0,2.0
301,3,8,8.0,8.0
301,3,8,8.0,8.0
301,8,8,8.0,8.0
357,8,8,7.0,8.0
301,8,8,8.0,8.0
301,8,8,8.0,8.0
301,8,8,8.0,8.0
376,1,1,1.6428571428571428,1.0
24,3,1,2.4285714285714284,2.0
512,5,2,1.6666666666666667,1.0
301,8,8,8.0,8.0
334,1,1,3.5652173913043477,3.0
460,1,1,3.3220338983050848,3.0
379,1,2,5.0,5.0
541,3,2,5.137931034482759,5.0
53,5,1,1.6428571428571428,1.0
301,8,8,8.0,8.0
301,8,8,8.0,8.0
12,8,3,2.9577464788732395,2.0
63,8,8,3.3220338983050848,3.0
399,1,5,5.137931034482759,5.0
301,8,8,8.0,8.0
51,8,8,3.5652173913043477,3.0
233,2,1,5.0,5.0
301,8,8,8.0,8.0
456,3,2,5.1,5.0
541,40,2,5.137931034482759,5.0
462,2,1,3.3220338983050848,3.0
353,3,1,2.9577464788732395,2.0
522,3,1,1.6428571428571428,1.0
301,8,8,8.0,8.0
367,1,3,1.6428571428571428,1.0
460,13,1,3.3220338983050848,3.0
299,8,2,5.0,5.0
301,8,8,8.0,8.0
301,8,8,8.0,8.0
301,8,8,8.0,8.0
301,8,8,8.0,8.0
301,8,8,8.0,8.0
426,3,8,5.0,5.0
541,8,2,5.137931034482759,5.0
163,1,5,5.125,3.0
409,2,5,5.0,5.0
271,1,5,5.0,5.0
359,8,13,8.0,8.0
331,2,2,2.9577464788732395,2.0
301,8,8,8.0,8.0
359,8,13,8.0,8.0
28,3,0,5.137931034482759,5.0
551,2,1,2.261904761904762,1.0
14,1,1,2.409090909090909,1.5
301,8,8,8.0,8.0
380,3,5,2.857142857142857,2.0
