closest,sp,closest_sp,mean_cluster_sp,median_cluster_sp
243,1,0.5,3.90625,3.0
1636,1,1.0,3.6956521739130435,3.0
2024,5,5.0,4.206896551724138,5.0
1604,5,3.0,5.0,5.0
959,3,5.0,3.4384615384615387,3.0
824,8,1.0,4.442857142857143,5.0
60,1,0.0,3.05,2.5
77,2,3.0,3.9485981308411215,3.0
696,0,5.0,3.9485981308411215,3.0
578,8,5.0,5.541666666666667,5.0
231,2,1.0,4.050561797752809,3.0
1134,5,13.0,9.5625,13.0
24,5,2.0,3.9444444444444446,3.0
1814,2,5.0,3.7731958762886597,3.0
1390,13,3.0,5.75,4.0
2058,1,3.0,4.969387755102041,5.0
1156,3,1.0,2.3636363636363638,3.0
2256,3,13.0,4.5,2.0
2087,8,5.0,5.2439024390243905,5.0
2023,8,5.0,5.702702702702703,5.0
491,3,5.0,4.969387755102041,5.0
1433,5,5.0,4.969387755102041,5.0
1306,5,3.0,4.666666666666667,3.0
174,5,2.0,3.9485981308411215,3.0
1354,5,13.0,6.533333333333333,5.0
1801,8,2.0,4.833333333333333,5.0
418,5,1.0,4.075342465753424,3.0
1981,8,5.0,7.125,6.5
895,3,8.0,7.0,8.0
2303,3,5.0,6.0476190476190474,5.0
731,5,3.0,3.9444444444444446,3.0
1856,13,5.0,3.7731958762886597,3.0
2217,2,5.0,3.7731958762886597,3.0
1945,5,8.0,5.583333333333333,5.0
901,8,3.0,6.533333333333333,5.0
2161,8,2.0,5.0,5.0
1385,5,5.0,5.583333333333333,5.0
99,5,1.0,3.9485981308411215,3.0
1039,3,5.0,5.0,5.0
818,8,5.0,3.9485981308411215,3.0
134,13,1.0,4.442857142857143,5.0
903,8,3.0,3.9444444444444446,3.0
1197,1,5.0,3.7731958762886597,3.0
1197,2,5.0,3.7731958762886597,3.0
1470,8,5.0,5.583333333333333,5.0
606,3,0.0,4.442857142857143,5.0
2300,1,3.0,4.627906976744186,5.0
399,1,5.0,4.0,5.0
334,3,13.0,4.050561797752809,3.0
1446,0,1.0,4.050561797752809,3.0
1586,8,3.0,3.7731958762886597,3.0
2025,5,1.0,3.6153846153846154,3.0
2082,5,8.0,5.583333333333333,5.0
1868,3,5.0,3.7731958762886597,3.0
1156,8,1.0,2.3636363636363638,3.0
538,3,5.0,4.969387755102041,5.0
1972,3,0.0,5.888888888888889,5.0
1501,5,1.0,1.0,1.0
759,3,5.0,4.969387755102041,5.0
760,5,5.0,3.9485981308411215,3.0
1128,8,13.0,6.6,5.0
1413,5,5.0,4.107142857142857,3.0
1765,0,3.0,4.627906976744186,5.0
2144,2,5.0,3.4444444444444446,3.0
18,3,0.0,4.655172413793103,3.0
2169,8,5.0,6.5,6.5
786,3,1.0,5.0,5.0
257,3,0.0,5.541666666666667,5.0
786,1,1.0,5.0,5.0
13,3,1.0,4.655172413793103,3.0
1134,3,13.0,9.5625,13.0
786,3,1.0,5.0,5.0
1696,8,3.0,3.6153846153846154,3.0
1714,0,3.0,5.947368421052632,5.0
1655,3,5.0,4.833333333333333,5.0
218,13,2.0,3.5892857142857144,3.0
203,2,2.0,4.442857142857143,5.0
1974,2,5.0,5.0,5.0
1433,2,5.0,4.969387755102041,5.0
1936,5,0.0,4.947368421052632,3.0
1540,0,8.0,5.0,3.0
617,3,8.0,5.0,5.0
1121,5,3.0,3.3846153846153846,3.0
180,8,1.0,4.5,2.0
1681,5,13.0,10.5,10.5
829,5,8.0,5.0,5.0
1876,5,3.0,4.25,4.0
1145,13,8.0,8.0,8.0
1458,8,8.0,10.4,13.0
47,5,0.0,4.666666666666667,5.0
1190,8,8.0,6.0,5.0
2287,2,2.0,4.075342465753424,3.0
1909,0,1.0,3.6,3.0
771,0,8.0,4.442857142857143,5.0
1565,5,3.0,3.4384615384615387,3.0
1325,13,13.0,7.125,6.5
1385,1,5.0,5.583333333333333,5.0
1598,5,5.0,3.5892857142857144,3.0
1828,2,2.0,4.442857142857143,5.0
144,2,1.0,4.442857142857143,5.0
555,3,1.0,3.6956521739130435,3.0
1131,13,13.0,9.545454545454545,8.0
661,3,3.0,5.0,5.0
1884,3,3.0,5.0,3.0
26,1,1.0,4.627906976744186,5.0
786,3,1.0,5.0,5.0
829,3,8.0,5.0,5.0
706,1,13.0,4.050561797752809,3.0
1575,5,5.0,6.0476190476190474,5.0
808,8,13.0,13.0,13.0
441,1,1.0,4.206896551724138,5.0
1731,5,5.0,5.888888888888889,5.0
166,13,2.0,3.9485981308411215,3.0
808,5,13.0,13.0,13.0
894,1,5.0,4.627906976744186,5.0
2279,1,3.0,3.0,3.0
2045,8,8.0,6.323529411764706,5.0
1258,3,3.0,2.3333333333333335,3.0
1720,2,5.0,3.3333333333333335,4.0
1331,5,5.0,5.818181818181818,5.0
621,0,5.0,4.050561797752809,3.0
1299,3,5.0,6.172413793103448,5.0
1209,0,8.0,4.442857142857143,5.0
531,0,1.0,3.9485981308411215,3.0
2145,2,13.0,3.7731958762886597,3.0
165,3,5.0,3.5892857142857144,3.0
1221,8,5.0,6.323529411764706,5.0
1681,13,13.0,10.5,10.5
1066,13,13.0,9.5625,13.0
1782,5,1.0,3.7731958762886597,3.0
2102,5,8.0,7.0,8.0
1156,3,1.0,2.3636363636363638,3.0
2168,5,5.0,6.5,6.5
351,8,3.0,4.442857142857143,5.0
1059,8,13.0,13.0,13.0
1059,13,13.0,13.0,13.0
1457,13,8.0,9.666666666666666,8.0
1653,13,8.0,8.0,8.0
1653,13,8.0,8.0,8.0
2144,1,5.0,3.4444444444444446,3.0
1518,2,3.0,2.3636363636363638,3.0
2206,13,2.0,7.5,7.5
1958,13,8.0,5.702702702702703,5.0
2116,0,3.0,5.541666666666667,5.0
688,0,5.0,3.9485981308411215,3.0
27,1,0.0,3.4444444444444446,4.0
1931,3,2.0,3.7731958762886597,3.0
593,0,5.0,5.0,5.0
1040,13,3.0,3.0,3.0
1040,13,3.0,3.0,3.0
1179,2,5.0,4.947368421052632,3.0
449,2,0.0,4.969387755102041,5.0
1060,13,13.0,6.172413793103448,5.0
1782,0,1.0,3.7731958762886597,3.0
2307,8,2.0,3.9485981308411215,3.0
2343,8,5.0,5.277777777777778,5.0
2146,13,5.0,7.055555555555555,5.0
1967,8,5.0,5.702702702702703,5.0
2205,3,2.0,5.0,3.0
1197,3,5.0,3.7731958762886597,3.0
1885,0,8.0,5.0,5.0
587,2,3.0,3.6956521739130435,3.0
1443,13,5.0,5.0,5.0
1782,0,1.0,3.7731958762886597,3.0
257,3,0.0,5.541666666666667,5.0
1325,8,13.0,7.125,6.5
1917,8,13.0,6.6,8.0
2275,1,0.0,5.333333333333333,4.0
808,3,13.0,13.0,13.0
616,5,5.0,4.0,3.0
1091,13,1.0,5.0,5.0
929,5,3.0,4.206896551724138,5.0
494,5,3.0,3.5892857142857144,3.0
1919,0,13.0,4.442857142857143,5.0
1423,13,13.0,6.0476190476190474,5.0
1624,5,8.0,7.545454545454546,8.0
1885,3,8.0,5.0,5.0
1493,3,5.0,3.6153846153846154,3.0
1390,1,3.0,5.75,4.0
1007,8,5.0,5.75,4.0
1891,3,1.0,3.05,2.5
829,5,8.0,5.0,5.0
