closest,sp,closest_sp,mean_cluster_sp,median_cluster_sp
802,8,8,6.0081855388813095,5.0
438,5,5,6.0081855388813095,5.0
774,5,8,6.0081855388813095,5.0
241,8,5,6.0081855388813095,5.0
411,3,0,6.0081855388813095,5.0
1246,2,5,6.0081855388813095,5.0
265,3,8,6.0081855388813095,5.0
25,3,1,6.0081855388813095,5.0
961,8,8,6.0081855388813095,5.0
1612,5,5,6.0081855388813095,5.0
1633,5,5,6.0081855388813095,5.0
1587,5,3,6.0081855388813095,5.0
1610,8,5,6.0081855388813095,5.0
1610,8,5,6.0081855388813095,5.0
1580,8,3,6.0081855388813095,5.0
1613,8,2,6.0081855388813095,5.0
1614,8,3,6.0081855388813095,5.0
1614,8,3,6.0081855388813095,5.0
1610,8,5,6.0081855388813095,5.0
1610,8,5,6.0081855388813095,5.0
191,8,8,6.0081855388813095,5.0
820,5,2,6.0081855388813095,5.0
1372,5,5,6.0081855388813095,5.0
1374,5,1,6.0081855388813095,5.0
804,5,8,6.0081855388813095,5.0
424,3,0,6.0081855388813095,5.0
324,3,3,6.0081855388813095,5.0
1536,3,8,6.0081855388813095,5.0
189,8,5,6.0081855388813095,5.0
88,5,8,6.0081855388813095,5.0
355,5,20,6.0081855388813095,5.0
1652,5,8,6.0081855388813095,5.0
578,3,5,6.0081855388813095,5.0
1610,8,5,6.0081855388813095,5.0
952,8,1,6.0081855388813095,5.0
1394,5,8,6.0081855388813095,5.0
189,5,5,6.0081855388813095,5.0
1394,5,8,6.0081855388813095,5.0
189,5,5,6.0081855388813095,5.0
1547,8,3,6.0081855388813095,5.0
402,5,8,6.0081855388813095,5.0
539,5,8,6.0081855388813095,5.0
636,3,3,6.0081855388813095,5.0
610,3,0,6.0081855388813095,5.0
337,5,8,6.0081855388813095,5.0
42,5,5,6.0081855388813095,5.0
802,5,8,6.0081855388813095,5.0
1318,2,8,6.0081855388813095,5.0
747,5,8,6.0081855388813095,5.0
721,3,2,4.72,5.0
1355,2,5,6.0081855388813095,5.0
335,5,8,6.0081855388813095,5.0
371,5,8,6.0081855388813095,5.0
602,5,3,6.0081855388813095,5.0
308,3,5,6.0081855388813095,5.0
111,3,5,6.0081855388813095,5.0
1628,5,2,6.0081855388813095,5.0
1631,5,5,6.0081855388813095,5.0
131,5,13,6.0081855388813095,5.0
1663,3,8,6.0081855388813095,5.0
1149,3,8,6.0081855388813095,5.0
1536,3,8,6.0081855388813095,5.0
1450,3,3,6.0081855388813095,5.0
351,5,13,6.0081855388813095,5.0
552,8,5,6.0081855388813095,5.0
1300,3,5,6.0081855388813095,5.0
230,5,5,6.0081855388813095,5.0
1651,5,5,6.0081855388813095,5.0
254,3,3,6.0081855388813095,5.0
526,8,3,6.0081855388813095,5.0
197,5,8,6.0081855388813095,5.0
1162,13,5,6.0081855388813095,5.0
1149,5,8,6.0081855388813095,5.0
1628,5,2,6.0081855388813095,5.0
1300,3,5,6.0081855388813095,5.0
1300,5,5,6.0081855388813095,5.0
750,5,2,6.0081855388813095,5.0
398,3,13,6.0081855388813095,5.0
190,2,8,6.0081855388813095,5.0
561,8,3,6.0081855388813095,5.0
1355,5,5,6.0081855388813095,5.0
1224,5,3,6.0081855388813095,5.0
893,3,5,6.0081855388813095,5.0
1110,3,3,6.0081855388813095,5.0
779,3,5,6.0081855388813095,5.0
113,3,8,6.0081855388813095,5.0
554,5,5,6.0081855388813095,5.0
321,3,8,6.0081855388813095,5.0
371,5,8,6.0081855388813095,5.0
968,3,3,6.0081855388813095,5.0
1543,5,3,6.0081855388813095,5.0
112,8,3,6.0081855388813095,5.0
721,5,2,4.72,5.0
1649,5,5,6.0081855388813095,5.0
728,1,8,6.0081855388813095,5.0
155,5,5,6.0081855388813095,5.0
1139,5,13,6.0081855388813095,5.0
1355,13,5,6.0081855388813095,5.0
538,5,2,6.0081855388813095,5.0
218,5,3,6.0081855388813095,5.0
875,5,5,6.0081855388813095,5.0
1443,5,5,6.0081855388813095,5.0
1399,3,3,6.0081855388813095,5.0
1443,5,5,6.0081855388813095,5.0
1547,5,3,6.0081855388813095,5.0
632,5,3,4.72,5.0
1351,3,5,6.0081855388813095,5.0
442,8,13,6.0081855388813095,5.0
1030,3,5,4.72,5.0
218,5,3,6.0081855388813095,5.0
1033,8,8,6.0081855388813095,5.0
567,5,5,6.0081855388813095,5.0
750,1,2,6.0081855388813095,5.0
145,3,0,6.0081855388813095,5.0
1607,5,5,6.0081855388813095,5.0
1355,5,5,6.0081855388813095,5.0
292,2,3,6.0081855388813095,5.0
309,5,8,6.0081855388813095,5.0
204,8,5,6.0081855388813095,5.0
1535,8,8,6.0081855388813095,5.0
676,5,5,6.0081855388813095,5.0
1090,5,5,6.0081855388813095,5.0
448,8,3,6.0081855388813095,5.0
693,8,8,6.0081855388813095,5.0
1243,8,5,6.0081855388813095,5.0
693,5,8,6.0081855388813095,5.0
609,0,5,6.0081855388813095,5.0
238,5,2,4.72,5.0
43,3,8,6.0081855388813095,5.0
750,3,2,6.0081855388813095,5.0
1318,5,8,6.0081855388813095,5.0
767,5,5,6.0081855388813095,5.0
669,3,3,6.0081855388813095,5.0
1069,5,5,6.0081855388813095,5.0
534,5,3,6.0081855388813095,5.0
972,5,3,6.0081855388813095,5.0
1409,3,8,6.0081855388813095,5.0
1443,5,5,6.0081855388813095,5.0
1060,2,5,6.0081855388813095,5.0
905,8,5,6.0081855388813095,5.0
230,5,5,6.0081855388813095,5.0
742,5,5,6.0081855388813095,5.0
86,5,8,6.0081855388813095,5.0
1535,5,8,6.0081855388813095,5.0
310,13,3,6.0081855388813095,5.0
972,8,3,6.0081855388813095,5.0
201,5,8,6.0081855388813095,5.0
412,5,8,6.0081855388813095,5.0
1450,2,3,6.0081855388813095,5.0
1547,3,3,6.0081855388813095,5.0
546,3,8,6.0081855388813095,5.0
230,5,5,6.0081855388813095,5.0
1547,5,3,6.0081855388813095,5.0
553,8,5,6.0081855388813095,5.0
379,3,8,6.0081855388813095,5.0
1077,5,5,6.0081855388813095,5.0
578,5,5,6.0081855388813095,5.0
1580,5,3,6.0081855388813095,5.0
123,3,5,6.0081855388813095,5.0
963,5,5,6.0081855388813095,5.0
693,8,8,6.0081855388813095,5.0
397,3,8,6.0081855388813095,5.0
201,3,8,6.0081855388813095,5.0
315,5,8,6.0081855388813095,5.0
1090,3,5,6.0081855388813095,5.0
1394,5,8,6.0081855388813095,5.0
113,8,8,6.0081855388813095,5.0
801,3,5,6.0081855388813095,5.0
1517,8,5,6.0081855388813095,5.0
650,3,3,6.0081855388813095,5.0
174,8,20,6.0081855388813095,5.0
1220,13,1,6.0081855388813095,5.0
324,5,3,6.0081855388813095,5.0
1650,5,8,6.0081855388813095,5.0
1090,5,5,6.0081855388813095,5.0
1381,5,8,6.0081855388813095,5.0
669,3,3,6.0081855388813095,5.0
1506,8,5,6.0081855388813095,5.0
1209,5,8,6.0081855388813095,5.0
1167,5,1,6.0081855388813095,5.0
87,5,8,6.0081855388813095,5.0
1433,3,5,6.0081855388813095,5.0
1547,5,3,6.0081855388813095,5.0
538,3,2,6.0081855388813095,5.0
1222,3,5,6.0081855388813095,5.0
483,5,8,6.0081855388813095,5.0
479,5,5,6.0081855388813095,5.0
1577,8,5,6.0081855388813095,5.0
723,3,5,6.0081855388813095,5.0
1324,5,5,6.0081855388813095,5.0
1372,8,5,6.0081855388813095,5.0
1450,8,3,6.0081855388813095,5.0
801,5,5,6.0081855388813095,5.0
1491,8,5,6.0081855388813095,5.0
1017,5,5,6.0081855388813095,5.0
1237,3,3,6.0081855388813095,5.0
88,5,8,6.0081855388813095,5.0
1628,3,2,6.0081855388813095,5.0
801,8,5,6.0081855388813095,5.0
1035,5,2,6.0081855388813095,5.0
1063,5,5,6.0081855388813095,5.0
750,5,2,6.0081855388813095,5.0
952,5,1,6.0081855388813095,5.0
710,5,5,6.0081855388813095,5.0
1225,5,5,6.0081855388813095,5.0
696,5,3,6.0081855388813095,5.0
712,5,5,6.0081855388813095,5.0
934,2,3,6.0081855388813095,5.0
1580,5,3,6.0081855388813095,5.0
427,5,5,6.0081855388813095,5.0
913,5,8,6.0081855388813095,5.0
972,5,3,6.0081855388813095,5.0
432,1,8,6.0081855388813095,5.0
319,5,8,6.0081855388813095,5.0
1394,5,8,6.0081855388813095,5.0
742,5,5,6.0081855388813095,5.0
1017,3,5,6.0081855388813095,5.0
1536,5,8,6.0081855388813095,5.0
1547,3,3,6.0081855388813095,5.0
1547,5,3,6.0081855388813095,5.0
1212,5,2,6.0081855388813095,5.0
824,5,8,6.0081855388813095,5.0
412,5,8,6.0081855388813095,5.0
1536,2,8,6.0081855388813095,5.0
1517,5,5,6.0081855388813095,5.0
53,5,8,6.0081855388813095,5.0
1090,5,5,6.0081855388813095,5.0
957,1,5,6.0081855388813095,5.0
1162,3,5,6.0081855388813095,5.0
309,5,8,6.0081855388813095,5.0
37,2,13,6.0081855388813095,5.0
306,5,8,6.0081855388813095,5.0
