closest,sp,closest_sp,mean_cluster_sp,median_cluster_sp
89,3,2,4.285714285714286,3.0
5,3,3,4.222222222222222,3.0
58,8,3,4.222222222222222,3.0
48,3,3,4.125,3.0
139,1,3,3.8,3.0
124,3,3,3.8,3.0
63,0,5,3.1666666666666665,3.0
29,2,3,5.5,5.5
5,5,3,4.222222222222222,3.0
139,3,3,3.8,3.0
47,3,3,4.285714285714286,3.0
0,5,8,5.2272727272727275,5.0
59,8,3,3.1666666666666665,3.0
100,3,2,3.8,3.0
68,0,8,4.222222222222222,3.0
17,1,2,4.222222222222222,3.0
115,1,5,3.625,4.0
63,1,5,3.1666666666666665,3.0
126,5,2,3.625,4.0
0,3,8,5.2272727272727275,5.0
0,3,8,5.2272727272727275,5.0
71,3,2,2.6666666666666665,3.0
58,1,3,4.222222222222222,3.0
0,1,8,5.2272727272727275,5.0
0,3,8,5.2272727272727275,5.0
0,2,8,5.2272727272727275,5.0
5,2,3,4.222222222222222,3.0
5,2,3,4.222222222222222,3.0
128,5,8,4.285714285714286,3.0
0,0,8,5.2272727272727275,5.0
0,3,8,5.2272727272727275,5.0
112,2,3,3.25,3.0
0,3,8,5.2272727272727275,5.0
71,0,2,2.6666666666666665,3.0
0,3,8,5.2272727272727275,5.0
0,5,8,5.2272727272727275,5.0
0,1,8,5.2272727272727275,5.0
100,1,2,3.8,3.0
68,1,8,4.222222222222222,3.0
68,1,8,4.222222222222222,3.0
44,1,3,4.375,4.0
0,1,8,5.2272727272727275,5.0
48,1,3,4.125,3.0
141,3,5,3.625,4.0
0,1,8,5.2272727272727275,5.0
5,3,3,4.222222222222222,3.0
113,3,2,3.625,4.0
112,3,3,3.25,3.0
141,8,5,3.625,4.0
0,1,8,5.2272727272727275,5.0
