closest,sp,closest_sp,mean_cluster_sp,median_cluster_sp
90,13,5,7.319587628865979,8.0
41,8,5,7.319587628865979,8.0
252,8,5,7.319587628865979,8.0
41,20,5,7.319587628865979,8.0
30,8,0,7.966942148760331,8.0
14,8,20,7.319587628865979,8.0
279,8,0,7.319587628865979,8.0
99,5,13,7.319587628865979,8.0
0,3,0,7.966942148760331,8.0
0,3,0,7.966942148760331,8.0
134,3,8,7.319587628865979,8.0
90,8,5,7.319587628865979,8.0
50,8,5,7.966942148760331,8.0
91,8,13,7.966942148760331,8.0
41,2,5,7.319587628865979,8.0
0,8,0,7.966942148760331,8.0
30,13,0,7.966942148760331,8.0
201,5,8,7.319587628865979,8.0
0,8,0,7.966942148760331,8.0
20,8,5,7.319587628865979,8.0
90,8,5,7.319587628865979,8.0
188,8,3,7.319587628865979,8.0
6,8,0,7.319587628865979,8.0
6,5,0,7.319587628865979,8.0
68,5,8,7.319587628865979,8.0
279,5,0,7.319587628865979,8.0
99,3,13,7.319587628865979,8.0
132,13,13,7.966942148760331,8.0
275,8,8,7.966942148760331,8.0
100,8,8,7.966942148760331,8.0
0,5,0,7.966942148760331,8.0
15,3,8,7.319587628865979,8.0
278,0,8,7.319587628865979,8.0
243,5,8,7.966942148760331,8.0
235,5,8,7.966942148760331,8.0
134,13,8,7.319587628865979,8.0
134,5,8,7.319587628865979,8.0
134,13,8,7.319587628865979,8.0
90,8,5,7.319587628865979,8.0
271,8,20,7.319587628865979,8.0
99,5,13,7.319587628865979,8.0
278,8,8,7.319587628865979,8.0
271,5,20,7.319587628865979,8.0
6,5,0,7.319587628865979,8.0
215,5,13,7.966942148760331,8.0
99,13,13,7.319587628865979,8.0
86,13,3,7.319587628865979,8.0
41,20,5,7.319587628865979,8.0
188,13,3,7.319587628865979,8.0
99,13,13,7.319587628865979,8.0
43,8,13,6.848484848484849,5.0
154,8,13,7.966942148760331,8.0
95,8,0,7.319587628865979,8.0
6,8,0,7.319587628865979,8.0
115,8,8,7.966942148760331,8.0
160,8,8,7.319587628865979,8.0
0,3,0,7.966942148760331,8.0
159,5,8,7.319587628865979,8.0
195,13,8,7.966942148760331,8.0
279,5,0,7.319587628865979,8.0
254,3,13,7.319587628865979,8.0
134,3,8,7.319587628865979,8.0
0,5,0,7.966942148760331,8.0
27,0,20,7.319587628865979,8.0
43,5,13,6.848484848484849,5.0
30,0,0,7.966942148760331,8.0
134,5,8,7.319587628865979,8.0
160,1,8,7.319587628865979,8.0
67,13,20,7.319587628865979,8.0
0,5,0,7.966942148760331,8.0
121,5,8,7.966942148760331,8.0
11,5,13,7.319587628865979,8.0
195,5,8,7.966942148760331,8.0
210,8,8,7.966942148760331,8.0
86,20,3,7.319587628865979,8.0
241,8,20,7.319587628865979,8.0
241,13,20,7.319587628865979,8.0
209,8,5,7.319587628865979,8.0
30,1,0,7.966942148760331,8.0
241,8,20,7.319587628865979,8.0
225,2,13,7.319587628865979,8.0
90,8,5,7.319587628865979,8.0
90,5,5,7.319587628865979,8.0
210,5,8,7.966942148760331,8.0
99,3,13,7.319587628865979,8.0
0,5,0,7.966942148760331,8.0
99,8,13,7.319587628865979,8.0
220,8,2,7.319587628865979,8.0
0,3,0,7.966942148760331,8.0
86,8,3,7.319587628865979,8.0
30,5,0,7.966942148760331,8.0
30,3,0,7.966942148760331,8.0
90,5,5,7.319587628865979,8.0
121,5,8,7.966942148760331,8.0
160,1,8,7.319587628865979,8.0
0,100,0,7.966942148760331,8.0
252,5,5,7.319587628865979,8.0
