closest,sp,closest_sp,mean_cluster_sp,median_cluster_sp
20,3,5,3.3411764705882354,3.0
20,1,5,3.3411764705882354,3.0
20,1,5,3.3411764705882354,3.0
95,1,3,3.7666666666666666,3.0
20,0,5,3.3411764705882354,3.0
20,3,5,3.3411764705882354,3.0
163,3,1,3.7666666666666666,3.0
163,5,1,3.7666666666666666,3.0
95,1,3,3.7666666666666666,3.0
20,2,5,3.3411764705882354,3.0
163,0,1,3.7666666666666666,3.0
50,1,3,4.103448275862069,3.0
111,1,5,4.103448275862069,3.0
31,2,5,3.3411764705882354,3.0
20,1,5,3.3411764705882354,3.0
97,5,3,3.3411764705882354,3.0
20,5,5,3.3411764705882354,3.0
20,0,5,3.3411764705882354,3.0
157,3,3,3.7666666666666666,3.0
95,1,3,3.7666666666666666,3.0
169,0,1,4.103448275862069,3.0
20,1,5,3.3411764705882354,3.0
156,2,1,3.3411764705882354,3.0
83,2,8,3.7666666666666666,3.0
20,1,5,3.3411764705882354,3.0
147,1,8,3.7666666666666666,3.0
140,3,5,4.103448275862069,3.0
20,0,5,3.3411764705882354,3.0
76,0,1,3.7666666666666666,3.0
122,8,5,3.3411764705882354,3.0
51,1,5,3.7666666666666666,3.0
89,2,1,3.3411764705882354,3.0
20,1,5,3.3411764705882354,3.0
20,5,5,3.3411764705882354,3.0
9,5,3,3.7666666666666666,3.0
157,1,3,3.7666666666666666,3.0
9,8,3,3.7666666666666666,3.0
97,13,3,3.3411764705882354,3.0
20,3,5,3.3411764705882354,3.0
20,1,5,3.3411764705882354,3.0
89,3,1,3.3411764705882354,3.0
97,5,3,3.3411764705882354,3.0
109,2,1,4.103448275862069,3.0
172,5,3,3.7666666666666666,3.0
169,1,1,4.103448275862069,3.0
110,1,5,3.7666666666666666,3.0
95,1,3,3.7666666666666666,3.0
20,3,5,3.3411764705882354,3.0
163,1,1,3.7666666666666666,3.0
20,3,5,3.3411764705882354,3.0
155,3,3,3.3411764705882354,3.0
9,3,3,3.7666666666666666,3.0
157,1,3,3.7666666666666666,3.0
166,1,3,3.3411764705882354,3.0
20,1,5,3.3411764705882354,3.0
95,3,3,3.7666666666666666,3.0
95,1,3,3.7666666666666666,3.0
140,3,5,4.103448275862069,3.0
111,3,5,4.103448275862069,3.0
50,5,3,4.103448275862069,3.0
110,5,5,3.7666666666666666,3.0
