closest,sp,closest_sp,mean_cluster_sp,median_cluster_sp
154,1.0,5,5.088235294117647,2.0
0,5.0,2,5.076923076923077,3.0
174,1.0,8,5.088235294117647,2.0
0,13.0,2,5.076923076923077,3.0
0,3.0,2,5.076923076923077,3.0
0,1.0,2,5.076923076923077,3.0
79,3.0,1,5.088235294117647,2.0
79,1.0,1,5.088235294117647,2.0
65,1.0,5,8.125,3.0
40,2.0,1,5.088235294117647,2.0
141,1.0,3,5.088235294117647,2.0
0,1.0,2,5.076923076923077,3.0
154,3.0,5,5.088235294117647,2.0
85,5.0,3,5.088235294117647,2.0
190,3.0,2,8.125,3.0
174,5.0,8,5.088235294117647,2.0
33,1.0,1,8.125,3.0
65,1.0,5,8.125,3.0
0,20.0,2,5.076923076923077,3.0
79,40.0,1,5.088235294117647,2.0
0,40.0,2,5.076923076923077,3.0
154,40.0,5,5.088235294117647,2.0
71,5.0,2,5.088235294117647,2.0
0,20.0,2,5.076923076923077,3.0
50,5.0,1,5.088235294117647,2.0
50,13.0,1,5.088235294117647,2.0
0,5.0,2,5.076923076923077,3.0
0,3.0,2,5.076923076923077,3.0
0,5.0,2,5.076923076923077,3.0
0,1.0,2,5.076923076923077,3.0
155,3.0,1,8.125,3.0
0,5.0,2,5.076923076923077,3.0
0,2.0,2,5.076923076923077,3.0
65,20.0,5,8.125,3.0
0,1.0,2,5.076923076923077,3.0
72,2.0,5,8.125,3.0
46,3.0,2,8.125,3.0
0,2.0,2,5.076923076923077,3.0
17,3.0,2,8.125,3.0
68,2.0,1,5.088235294117647,2.0
0,2.0,2,5.076923076923077,3.0
194,1.0,1,8.125,3.0
46,2.0,2,8.125,3.0
1,3.0,2,8.125,3.0
135,1.0,20,8.125,3.0
71,3.0,2,5.088235294117647,2.0
72,1.0,5,8.125,3.0
0,2.0,2,5.076923076923077,3.0
0,0.5,2,5.076923076923077,3.0
174,0.5,8,5.088235294117647,2.0
0,0.5,2,5.076923076923077,3.0
0,1.0,2,5.076923076923077,3.0
58,0.5,1,5.088235294117647,2.0
0,0.5,2,5.076923076923077,3.0
0,0.5,2,5.076923076923077,3.0
11,1.0,1,8.125,3.0
101,1.0,3,5.088235294117647,2.0
32,2.0,2,8.125,3.0
0,2.0,2,5.076923076923077,3.0
74,1.0,8,5.088235294117647,2.0
0,0.5,2,5.076923076923077,3.0
84,2.0,2,5.088235294117647,2.0
101,0.5,3,5.088235294117647,2.0
154,1.0,5,5.088235294117647,2.0
0,1.0,2,5.076923076923077,3.0
0,3.0,2,5.076923076923077,3.0
72,2.0,5,8.125,3.0
0,5.0,2,5.076923076923077,3.0
11,8.0,1,8.125,3.0
