closest,sp,closest_sp,mean_cluster_sp,median_cluster_sp
9,8,1,3.1379310344827585,3.0
9,8,1,3.1379310344827585,3.0
9,3,1,3.1379310344827585,3.0
115,5,3,3.156862745098039,3.0
152,8,5,3.156862745098039,3.0
116,3,3,3.156862745098039,3.0
9,3,1,3.1379310344827585,3.0
128,8,3,3.6133333333333333,3.0
152,1,5,3.156862745098039,3.0
66,3,5,3.156862745098039,3.0
9,5,1,3.1379310344827585,3.0
9,5,1,3.1379310344827585,3.0
9,3,1,3.1379310344827585,3.0
6,5,3,3.156862745098039,3.0
9,2,1,3.1379310344827585,3.0
6,3,3,3.156862745098039,3.0
9,3,1,3.1379310344827585,3.0
6,3,3,3.156862745098039,3.0
6,2,3,3.156862745098039,3.0
6,3,3,3.156862745098039,3.0
6,2,3,3.156862745098039,3.0
9,1,1,3.1379310344827585,3.0
40,1,1,3.156862745098039,3.0
43,5,3,3.6133333333333333,3.0
6,1,3,3.156862745098039,3.0
40,5,1,3.156862745098039,3.0
9,3,1,3.1379310344827585,3.0
9,1,1,3.1379310344827585,3.0
9,3,1,3.1379310344827585,3.0
9,5,1,3.1379310344827585,3.0
9,5,1,3.1379310344827585,3.0
9,5,1,3.1379310344827585,3.0
9,5,1,3.1379310344827585,3.0
64,5,1,3.6133333333333333,3.0
9,3,1,3.1379310344827585,3.0
116,2,3,3.156862745098039,3.0
6,3,3,3.156862745098039,3.0
9,3,1,3.1379310344827585,3.0
9,5,1,3.1379310344827585,3.0
9,5,1,3.1379310344827585,3.0
43,3,3,3.6133333333333333,3.0
40,3,1,3.156862745098039,3.0
115,2,3,3.156862745098039,3.0
25,3,3,3.6133333333333333,3.0
116,5,3,3.156862745098039,3.0
33,3,3,3.6133333333333333,3.0
9,1,1,3.1379310344827585,3.0
9,2,1,3.1379310344827585,3.0
116,1,3,3.156862745098039,3.0
7,1,1,3.6133333333333333,3.0
6,3,3,3.156862745098039,3.0
9,2,1,3.1379310344827585,3.0
9,5,1,3.1379310344827585,3.0
