closest,sp,closest_sp,mean_cluster_sp,median_cluster_sp
109,2,1.0,2.6717171717171717,2.0
95,1,2.0,3.6315789473684212,3.0
46,2,8.0,2.6717171717171717,2.0
110,3,1.0,2.6717171717171717,2.0
2,5,2.0,2.6717171717171717,2.0
31,2,1.0,2.6717171717171717,2.0
44,0,3.0,2.6717171717171717,2.0
117,3,5.0,3.6315789473684212,3.0
93,1,3.0,3.6315789473684212,3.0
93,1,3.0,3.6315789473684212,3.0
8,3,3.0,5.476190476190476,3.0
117,3,5.0,3.6315789473684212,3.0
28,2,5.0,2.6717171717171717,2.0
95,1,2.0,3.6315789473684212,3.0
56,1,1.0,2.6717171717171717,2.0
28,2,5.0,2.6717171717171717,2.0
81,3,2.0,2.6717171717171717,2.0
16,3,0.0,2.6717171717171717,2.0
108,1,3.0,2.6717171717171717,2.0
8,3,3.0,5.476190476190476,3.0
8,8,3.0,5.476190476190476,3.0
28,3,5.0,2.6717171717171717,2.0
21,3,8.0,2.6717171717171717,2.0
0,5,1.0,2.6717171717171717,2.0
21,3,8.0,2.6717171717171717,2.0
53,5,3.0,3.6315789473684212,3.0
8,3,3.0,5.476190476190476,3.0
117,2,5.0,3.6315789473684212,3.0
95,2,2.0,3.6315789473684212,3.0
53,3,3.0,3.6315789473684212,3.0
10,3,3.0,2.6717171717171717,2.0
117,3,5.0,3.6315789473684212,3.0
8,3,3.0,5.476190476190476,3.0
95,3,2.0,3.6315789473684212,3.0
8,13,3.0,5.476190476190476,3.0
110,2,1.0,2.6717171717171717,2.0
76,5,1.0,2.6717171717171717,2.0
136,1,2.0,2.6717171717171717,2.0
58,2,8.0,3.6315789473684212,3.0
8,5,3.0,5.476190476190476,3.0
10,3,3.0,2.6717171717171717,2.0
69,3,2.0,2.6717171717171717,2.0
106,3,5.0,2.6717171717171717,2.0
116,0,2.0,2.6717171717171717,2.0
117,2,5.0,3.6315789473684212,3.0
121,2,1.0,2.6717171717171717,2.0
137,0,3.0,2.6717171717171717,2.0
28,0,5.0,2.6717171717171717,2.0
28,0,5.0,2.6717171717171717,2.0
