closest,sp,closest_sp,mean_cluster_sp,median_cluster_sp
253,3,3.0,3.295138888888889,3.0
6,3,5.0,4.09375,3.0
137,5,3.0,3.295138888888889,3.0
44,1,5.0,3.4583333333333335,3.0
166,1,3.0,3.4583333333333335,3.0
254,5,2.0,3.4583333333333335,3.0
256,3,3.0,3.295138888888889,3.0
245,1,2.0,3.295138888888889,3.0
265,5,3.0,3.4583333333333335,3.0
44,3,5.0,3.4583333333333335,3.0
187,3,3.0,3.295138888888889,3.0
187,3,3.0,3.295138888888889,3.0
55,3,1.0,3.295138888888889,3.0
91,2,3.0,3.295138888888889,3.0
245,5,2.0,3.295138888888889,3.0
168,3,3.0,3.4583333333333335,3.0
108,3,5.0,3.295138888888889,3.0
13,1,5.0,3.4583333333333335,3.0
188,3,0.0,3.295138888888889,3.0
218,3,3.0,3.295138888888889,3.0
245,2,2.0,3.295138888888889,3.0
246,1,5.0,3.295138888888889,3.0
57,3,5.0,3.295138888888889,3.0
5,0,2.0,3.4583333333333335,3.0
134,3,8.0,3.295138888888889,3.0
57,2,5.0,3.295138888888889,3.0
57,3,5.0,3.295138888888889,3.0
121,3,2.0,3.295138888888889,3.0
106,3,2.0,3.4583333333333335,3.0
37,0,1.0,3.295138888888889,3.0
252,3,5.0,3.295138888888889,3.0
37,2,1.0,3.295138888888889,3.0
14,0,8.0,3.4583333333333335,3.0
245,3,2.0,3.295138888888889,3.0
234,5,2.0,3.295138888888889,3.0
6,3,5.0,4.09375,3.0
24,2,8.0,3.4583333333333335,3.0
68,2,3.0,3.4583333333333335,3.0
47,3,0.0,3.295138888888889,3.0
37,2,1.0,3.295138888888889,3.0
57,3,5.0,3.295138888888889,3.0
261,2,3.0,3.4583333333333335,3.0
25,2,2.0,3.295138888888889,3.0
154,3,2.0,3.295138888888889,3.0
187,3,3.0,3.295138888888889,3.0
148,1,5.0,3.4583333333333335,3.0
148,1,5.0,3.4583333333333335,3.0
148,1,5.0,3.4583333333333335,3.0
148,1,5.0,3.4583333333333335,3.0
24,1,8.0,3.4583333333333335,3.0
6,1,5.0,4.09375,3.0
161,2,5.0,3.4583333333333335,3.0
72,1,2.0,3.295138888888889,3.0
56,8,3.0,3.295138888888889,3.0
253,1,3.0,3.295138888888889,3.0
182,2,1.0,3.295138888888889,3.0
43,1,5.0,3.4583333333333335,3.0
44,1,5.0,3.4583333333333335,3.0
44,3,5.0,3.4583333333333335,3.0
28,2,5.0,3.295138888888889,3.0
5,1,2.0,3.4583333333333335,3.0
187,3,3.0,3.295138888888889,3.0
72,3,2.0,3.295138888888889,3.0
261,2,3.0,3.4583333333333335,3.0
134,2,8.0,3.295138888888889,3.0
57,2,5.0,3.295138888888889,3.0
199,3,3.0,3.295138888888889,3.0
72,2,2.0,3.295138888888889,3.0
224,3,3.0,3.4583333333333335,3.0
44,3,5.0,3.4583333333333335,3.0
6,2,5.0,4.09375,3.0
251,3,3.0,3.295138888888889,3.0
37,3,1.0,3.295138888888889,3.0
24,3,8.0,3.4583333333333335,3.0
47,2,0.0,3.295138888888889,3.0
218,3,3.0,3.295138888888889,3.0
234,3,2.0,3.295138888888889,3.0
216,3,3.0,3.295138888888889,3.0
52,3,3.0,3.295138888888889,3.0
57,0,5.0,3.295138888888889,3.0
6,2,5.0,4.09375,3.0
72,1,2.0,3.295138888888889,3.0
6,3,5.0,4.09375,3.0
119,1,5.0,3.295138888888889,3.0
105,2,1.0,3.4583333333333335,3.0
72,2,2.0,3.295138888888889,3.0
261,2,3.0,3.4583333333333335,3.0
169,3,8.0,3.295138888888889,3.0
154,2,2.0,3.295138888888889,3.0
261,1,3.0,3.4583333333333335,3.0
18,3,2.0,3.295138888888889,3.0
253,3,3.0,3.295138888888889,3.0
187,2,3.0,3.295138888888889,3.0
