closest,sp,closest_sp,mean_cluster_sp,median_cluster_sp
1,5,13,3.875,3.0
0,2,13,5.702702702702703,5.0
0,3,13,5.702702702702703,5.0
0,1,13,5.702702702702703,5.0
1,8,13,3.875,3.0
6,5,13,5.754716981132075,5.0
0,5,13,5.702702702702703,5.0
72,5,3,5.754716981132075,5.0
53,8,8,5.754716981132075,5.0
6,8,13,5.754716981132075,5.0
3,5,13,5.754716981132075,5.0
0,5,13,5.702702702702703,5.0
1,2,13,3.875,3.0
0,1,13,5.702702702702703,5.0
104,13,2,5.754716981132075,5.0
60,8,5,3.875,3.0
0,5,13,5.702702702702703,5.0
79,2,3,3.875,3.0
0,8,13,5.702702702702703,5.0
7,13,13,5.754716981132075,5.0
100,5,1,3.875,3.0
0,8,13,5.702702702702703,5.0
0,8,13,5.702702702702703,5.0
104,5,2,5.754716981132075,5.0
63,8,2,5.754716981132075,5.0
15,13,5,5.754716981132075,5.0
0,8,13,5.702702702702703,5.0
32,13,2,5.754716981132075,5.0
0,8,13,5.702702702702703,5.0
60,5,5,3.875,3.0
0,5,13,5.702702702702703,5.0
104,8,2,5.754716981132075,5.0
97,8,1,3.875,3.0
115,2,5,3.875,3.0
117,3,8,5.754716981132075,5.0
38,8,13,5.754716981132075,5.0
89,8,1,3.875,3.0
53,8,8,5.754716981132075,5.0
0,1,13,5.702702702702703,5.0
1,5,13,3.875,3.0
0,3,13,5.702702702702703,5.0
85,13,8,5.754716981132075,5.0
