closest,sp,closest_sp,mean_cluster_sp,median_cluster_sp
2610,1.0,1.0,3.7908366533864544,2.0
990,1.0,0.5,3.7908366533864544,2.0
358,2.0,20.0,3.7908366533864544,2.0
1623,1.0,2.0,3.7908366533864544,2.0
3,0.5,3.0,3.3280381254964255,1.0
828,0.5,2.0,3.319753086419753,2.0
2999,1.0,0.5,3.7908366533864544,2.0
747,5.0,0.0,3.7908366533864544,2.0
411,1.0,1.0,3.7908366533864544,2.0
992,2.0,2.0,3.7908366533864544,2.0
934,1.0,2.0,3.319753086419753,2.0
3,3.0,3.0,3.3280381254964255,1.0
2030,0.5,0.5,3.7908366533864544,2.0
2847,0.0,8.0,3.319753086419753,2.0
849,0.0,2.0,3.319753086419753,2.0
65,0.0,2.0,3.319753086419753,2.0
1385,1.0,1.0,3.7908366533864544,2.0
376,2.0,20.0,3.319753086419753,2.0
430,20.0,1.0,3.7908366533864544,2.0
2465,1.0,0.5,3.7908366533864544,2.0
2610,0.0,1.0,3.7908366533864544,2.0
1096,0.0,1.0,3.319753086419753,2.0
1560,1.0,3.0,3.7908366533864544,2.0
3,1.0,3.0,3.3280381254964255,1.0
3,0.0,3.0,3.3280381254964255,1.0
283,0.5,1.0,3.319753086419753,2.0
1110,0.5,1.0,3.7908366533864544,2.0
2644,2.0,3.0,3.7908366533864544,2.0
694,1.0,2.0,3.319753086419753,2.0
3010,0.0,2.0,3.7908366533864544,2.0
2976,3.0,0.5,3.7908366533864544,2.0
3,1.0,3.0,3.3280381254964255,1.0
2169,3.0,2.0,3.7908366533864544,2.0
3,2.0,3.0,3.3280381254964255,1.0
828,1.0,2.0,3.319753086419753,2.0
2772,1.0,1.0,3.7908366533864544,2.0
1505,3.0,8.0,3.319753086419753,2.0
3,5.0,3.0,3.3280381254964255,1.0
3201,1.0,2.0,3.7908366533864544,2.0
1187,0.5,1.0,3.7908366533864544,2.0
200,2.0,0.0,3.7908366533864544,2.0
3,1.0,3.0,3.3280381254964255,1.0
75,2.0,3.0,3.7908366533864544,2.0
1096,0.0,1.0,3.319753086419753,2.0
3,2.0,3.0,3.3280381254964255,1.0
2334,3.0,2.0,3.7908366533864544,2.0
3,2.0,3.0,3.3280381254964255,1.0
3,0.0,3.0,3.3280381254964255,1.0
233,0.0,2.0,3.7908366533864544,2.0
2294,40.0,5.0,3.319753086419753,2.0
3,8.0,3.0,3.3280381254964255,1.0
3,20.0,3.0,3.3280381254964255,1.0
3,20.0,3.0,3.3280381254964255,1.0
849,1.0,2.0,3.319753086419753,2.0
690,8.0,1.0,3.7908366533864544,2.0
849,1.0,2.0,3.319753086419753,2.0
219,1.0,1.0,3.7908366533864544,2.0
3,1.0,3.0,3.3280381254964255,1.0
3203,0.5,1.0,3.7908366533864544,2.0
929,0.0,2.0,3.319753086419753,2.0
3,1.0,3.0,3.3280381254964255,1.0
614,0.0,1.0,3.7908366533864544,2.0
849,1.0,2.0,3.319753086419753,2.0
2447,1.0,2.0,3.319753086419753,2.0
358,8.0,20.0,3.7908366533864544,2.0
929,1.0,2.0,3.319753086419753,2.0
116,1.0,8.0,3.7908366533864544,2.0
2957,3.0,3.0,3.319753086419753,2.0
1762,1.0,3.0,3.7908366533864544,2.0
3,0.0,3.0,3.3280381254964255,1.0
3,2.0,3.0,3.3280381254964255,1.0
739,1.0,1.0,3.319753086419753,2.0
1623,1.0,2.0,3.7908366533864544,2.0
45,1.0,5.0,3.319753086419753,2.0
849,2.0,2.0,3.319753086419753,2.0
2448,2.0,5.0,3.7908366533864544,2.0
2028,0.0,8.0,3.7908366533864544,2.0
39,20.0,5.0,3.319753086419753,2.0
2537,3.0,40.0,3.7908366533864544,2.0
2448,3.0,5.0,3.7908366533864544,2.0
2448,1.0,5.0,3.7908366533864544,2.0
849,2.0,2.0,3.319753086419753,2.0
2967,3.0,1.0,3.319753086419753,2.0
2751,2.0,2.0,3.7908366533864544,2.0
1094,1.0,2.0,3.319753086419753,2.0
307,2.0,8.0,3.7908366533864544,2.0
828,2.0,2.0,3.319753086419753,2.0
44,0.5,1.0,3.7908366533864544,2.0
1644,1.0,2.0,3.319753086419753,2.0
1113,1.0,1.0,3.7908366533864544,2.0
2294,3.0,5.0,3.319753086419753,2.0
1335,0.5,2.0,3.7908366533864544,2.0
472,1.0,5.0,3.319753086419753,2.0
2688,3.0,0.5,3.7908366533864544,2.0
2191,2.0,1.0,3.319753086419753,2.0
