closest,sp,closest_sp,mean_cluster_sp,median_cluster_sp
220,1,3.0,2.210227272727273,2.0
200,2,1.0,2.235827664399093,2.0
1072,2,2.0,2.235827664399093,2.0
84,1,5.0,1.8623595505617978,2.0
200,3,1.0,2.235827664399093,2.0
1139,2,3.0,2.235827664399093,2.0
1139,2,3.0,2.235827664399093,2.0
18,3,1.0,2.235827664399093,2.0
1139,1,3.0,2.235827664399093,2.0
678,2,1.0,2.210227272727273,2.0
522,1,2.0,2.210227272727273,2.0
339,2,5.0,2.235827664399093,2.0
54,1,1.0,2.210227272727273,2.0
986,2,5.0,2.235827664399093,2.0
1218,2,2.0,2.235827664399093,2.0
986,2,5.0,2.235827664399093,2.0
986,2,5.0,2.235827664399093,2.0
593,2,1.0,2.210227272727273,2.0
684,2,2.0,2.235827664399093,2.0
1127,3,2.0,1.8623595505617978,2.0
1170,1,2.0,1.8623595505617978,2.0
153,2,2.0,2.210227272727273,2.0
678,2,1.0,2.210227272727273,2.0
1154,1,3.0,2.210227272727273,2.0
18,1,1.0,2.235827664399093,2.0
986,1,5.0,2.235827664399093,2.0
901,1,0.5,2.210227272727273,2.0
18,2,1.0,2.235827664399093,2.0
672,2,2.0,2.210227272727273,2.0
339,1,5.0,2.235827664399093,2.0
362,1,1.0,2.235827664399093,2.0
84,2,5.0,1.8623595505617978,2.0
18,1,1.0,2.235827664399093,2.0
18,1,1.0,2.235827664399093,2.0
18,1,1.0,2.235827664399093,2.0
1124,2,2.0,2.210227272727273,2.0
987,2,2.0,2.210227272727273,2.0
557,2,1.0,2.235827664399093,2.0
756,2,2.0,2.210227272727273,2.0
271,1,5.0,2.210227272727273,2.0
261,1,8.0,2.210227272727273,2.0
678,1,1.0,2.210227272727273,2.0
1220,1,3.0,1.8623595505617978,2.0
934,1,5.0,2.210227272727273,2.0
361,2,8.0,2.235827664399093,2.0
196,1,2.0,2.210227272727273,2.0
337,2,13.0,2.235827664399093,2.0
18,1,1.0,2.235827664399093,2.0
1187,2,2.0,2.235827664399093,2.0
1062,1,3.0,2.235827664399093,2.0
426,1,1.0,2.210227272727273,2.0
201,2,1.0,2.210227272727273,2.0
339,2,5.0,2.235827664399093,2.0
994,2,2.0,2.210227272727273,2.0
366,2,1.0,2.235827664399093,2.0
339,1,5.0,2.235827664399093,2.0
516,2,3.0,2.210227272727273,2.0
557,1,1.0,2.235827664399093,2.0
339,3,5.0,2.235827664399093,2.0
5,1,1.0,2.210227272727273,2.0
18,1,1.0,2.235827664399093,2.0
2,3,3.0,2.235827664399093,2.0
162,1,3.0,2.210227272727273,2.0
986,2,5.0,2.235827664399093,2.0
772,1,5.0,2.235827664399093,2.0
202,1,1.0,2.235827664399093,2.0
1044,2,3.0,2.210227272727273,2.0
338,2,5.0,2.235827664399093,2.0
338,1,5.0,2.235827664399093,2.0
593,2,1.0,2.210227272727273,2.0
524,3,2.0,2.210227272727273,2.0
18,1,1.0,2.235827664399093,2.0
649,1,3.0,2.210227272727273,2.0
103,1,3.0,2.210227272727273,2.0
1165,2,5.0,2.210227272727273,2.0
1165,1,5.0,2.210227272727273,2.0
18,2,1.0,2.235827664399093,2.0
594,1,1.0,2.210227272727273,2.0
85,2,1.0,1.8623595505617978,2.0
344,1,5.0,2.235827664399093,2.0
292,1,1.0,2.210227272727273,2.0
143,1,3.0,1.8623595505617978,2.0
1221,1,3.0,2.235827664399093,2.0
286,2,1.0,2.210227272727273,2.0
152,1,5.0,2.210227272727273,2.0
649,1,3.0,2.210227272727273,2.0
18,2,1.0,2.235827664399093,2.0
145,1,1.0,2.210227272727273,2.0
16,3,2.0,2.210227272727273,2.0
479,1,1.0,2.210227272727273,2.0
649,1,3.0,2.210227272727273,2.0
1108,1,2.0,1.8623595505617978,2.0
534,2,2.0,2.210227272727273,2.0
1080,1,2.0,2.210227272727273,2.0
18,1,1.0,2.235827664399093,2.0
339,2,5.0,2.235827664399093,2.0
1139,2,3.0,2.235827664399093,2.0
1155,1,2.0,2.210227272727273,2.0
18,1,1.0,2.235827664399093,2.0
145,2,1.0,2.210227272727273,2.0
339,1,5.0,2.235827664399093,2.0
986,2,5.0,2.235827664399093,2.0
18,1,1.0,2.235827664399093,2.0
338,2,5.0,2.235827664399093,2.0
18,1,1.0,2.235827664399093,2.0
986,2,5.0,2.235827664399093,2.0
18,8,1.0,2.235827664399093,2.0
18,1,1.0,2.235827664399093,2.0
704,1,2.0,1.8623595505617978,2.0
776,2,3.0,2.210227272727273,2.0
3,2,1.0,2.210227272727273,2.0
18,1,1.0,2.235827664399093,2.0
337,1,13.0,2.235827664399093,2.0
103,1,3.0,2.210227272727273,2.0
678,2,1.0,2.210227272727273,2.0
921,1,2.0,2.210227272727273,2.0
67,2,1.0,2.210227272727273,2.0
1002,3,2.0,1.8623595505617978,2.0
18,1,1.0,2.235827664399093,2.0
18,2,1.0,2.235827664399093,2.0
11,2,1.0,1.8623595505617978,2.0
309,5,1.0,2.210227272727273,2.0
55,1,1.0,2.210227272727273,2.0
1139,1,3.0,2.235827664399093,2.0
541,2,1.0,2.210227272727273,2.0
339,2,5.0,2.235827664399093,2.0
670,2,3.0,1.8623595505617978,2.0
1139,1,3.0,2.235827664399093,2.0
618,1,1.0,2.235827664399093,2.0
1189,1,2.0,1.8623595505617978,2.0
18,1,1.0,2.235827664399093,2.0
986,2,5.0,2.235827664399093,2.0
1139,2,3.0,2.235827664399093,2.0
449,1,1.0,2.210227272727273,2.0
986,1,5.0,2.235827664399093,2.0
338,1,5.0,2.235827664399093,2.0
986,1,5.0,2.235827664399093,2.0
1124,1,2.0,2.210227272727273,2.0
539,2,1.0,2.210227272727273,2.0
339,1,5.0,2.235827664399093,2.0
1187,1,2.0,2.235827664399093,2.0
569,1,1.0,2.235827664399093,2.0
253,1,1.0,2.235827664399093,2.0
309,2,1.0,2.210227272727273,2.0
224,1,5.0,2.235827664399093,2.0
678,1,1.0,2.210227272727273,2.0
986,13,5.0,2.235827664399093,2.0
986,13,5.0,2.235827664399093,2.0
678,2,1.0,2.210227272727273,2.0
18,13,1.0,2.235827664399093,2.0
18,3,1.0,2.235827664399093,2.0
18,3,1.0,2.235827664399093,2.0
337,1,13.0,2.235827664399093,2.0
1018,2,1.0,2.235827664399093,2.0
986,3,5.0,2.235827664399093,2.0
338,1,5.0,2.235827664399093,2.0
339,3,5.0,2.235827664399093,2.0
986,2,5.0,2.235827664399093,2.0
668,3,1.0,2.235827664399093,2.0
145,3,1.0,2.210227272727273,2.0
338,3,5.0,2.235827664399093,2.0
344,3,5.0,2.235827664399093,2.0
781,3,5.0,2.210227272727273,2.0
18,5,1.0,2.235827664399093,2.0
678,3,1.0,2.210227272727273,2.0
986,2,5.0,2.235827664399093,2.0
1166,2,2.0,2.210227272727273,2.0
339,1,5.0,2.235827664399093,2.0
859,1,1.0,2.210227272727273,2.0
1046,5,3.0,2.210227272727273,2.0
1139,5,3.0,2.235827664399093,2.0
339,2,5.0,2.235827664399093,2.0
429,3,2.0,2.235827664399093,2.0
18,1,1.0,2.235827664399093,2.0
136,2,2.0,2.235827664399093,2.0
987,1,2.0,2.210227272727273,2.0
18,1,1.0,2.235827664399093,2.0
1181,2,2.0,2.235827664399093,2.0
18,3,1.0,2.235827664399093,2.0
1018,3,1.0,2.235827664399093,2.0
339,1,5.0,2.235827664399093,2.0
1038,2,2.0,2.210227272727273,2.0
18,2,1.0,2.235827664399093,2.0
1145,5,1.0,2.235827664399093,2.0
118,5,5.0,1.8623595505617978,2.0
18,1,1.0,2.235827664399093,2.0
200,2,1.0,2.235827664399093,2.0
262,1,8.0,2.210227272727273,2.0
880,2,1.0,2.235827664399093,2.0
338,2,5.0,2.235827664399093,2.0
173,2,1.0,2.210227272727273,2.0
989,2,2.0,2.210227272727273,2.0
138,5,1.0,2.210227272727273,2.0
645,3,3.0,2.210227272727273,2.0
986,1,5.0,2.235827664399093,2.0
255,1,1.0,2.210227272727273,2.0
172,2,1.0,2.235827664399093,2.0
690,1,2.0,1.8623595505617978,2.0
426,1,1.0,2.210227272727273,2.0
1211,2,2.0,2.210227272727273,2.0
1062,3,3.0,2.235827664399093,2.0
18,2,1.0,2.235827664399093,2.0
522,1,2.0,2.210227272727273,2.0
18,2,1.0,2.235827664399093,2.0
18,1,1.0,2.235827664399093,2.0
344,2,5.0,2.235827664399093,2.0
201,2,1.0,2.210227272727273,2.0
339,2,5.0,2.235827664399093,2.0
344,2,5.0,2.235827664399093,2.0
18,2,1.0,2.235827664399093,2.0
261,2,8.0,2.210227272727273,2.0
337,1,13.0,2.235827664399093,2.0
18,1,1.0,2.235827664399093,2.0
1088,5,5.0,2.210227272727273,2.0
678,2,1.0,2.210227272727273,2.0
678,2,1.0,2.210227272727273,2.0
541,1,1.0,2.210227272727273,2.0
987,2,2.0,2.210227272727273,2.0
271,1,5.0,2.210227272727273,2.0
1179,1,2.0,2.210227272727273,2.0
1062,1,3.0,2.235827664399093,2.0
124,1,2.0,1.8623595505617978,2.0
10,1,2.0,2.235827664399093,2.0
986,1,5.0,2.235827664399093,2.0
1026,2,2.0,2.210227272727273,2.0
1037,1,2.0,2.210227272727273,2.0
337,2,13.0,2.235827664399093,2.0
1044,2,3.0,2.210227272727273,2.0
1116,1,5.0,2.210227272727273,2.0
18,2,1.0,2.235827664399093,2.0
339,2,5.0,2.235827664399093,2.0
1181,1,2.0,2.235827664399093,2.0
195,1,1.0,2.235827664399093,2.0
588,2,1.0,2.235827664399093,2.0
362,1,1.0,2.235827664399093,2.0
986,1,5.0,2.235827664399093,2.0
339,1,5.0,2.235827664399093,2.0
339,1,5.0,2.235827664399093,2.0
649,2,3.0,2.210227272727273,2.0
569,3,1.0,2.235827664399093,2.0
18,2,1.0,2.235827664399093,2.0
443,2,1.0,2.235827664399093,2.0
1139,2,3.0,2.235827664399093,2.0
309,2,1.0,2.210227272727273,2.0
344,2,5.0,2.235827664399093,2.0
200,2,1.0,2.235827664399093,2.0
271,1,5.0,2.210227272727273,2.0
309,1,1.0,2.210227272727273,2.0
593,2,1.0,2.210227272727273,2.0
492,2,1.0,2.210227272727273,2.0
684,2,2.0,2.235827664399093,2.0
649,2,3.0,2.210227272727273,2.0
718,2,3.0,2.210227272727273,2.0
240,2,1.0,2.210227272727273,2.0
678,2,1.0,2.210227272727273,2.0
975,1,2.0,2.210227272727273,2.0
339,2,5.0,2.235827664399093,2.0
594,2,1.0,2.210227272727273,2.0
142,1,2.0,2.235827664399093,2.0
1139,1,3.0,2.235827664399093,2.0
1139,1,3.0,2.235827664399093,2.0
337,3,13.0,2.235827664399093,2.0
1139,1,3.0,2.235827664399093,2.0
18,1,1.0,2.235827664399093,2.0
18,3,1.0,2.235827664399093,2.0
339,2,5.0,2.235827664399093,2.0
339,2,5.0,2.235827664399093,2.0
522,2,2.0,2.210227272727273,2.0
986,1,5.0,2.235827664399093,2.0
986,1,5.0,2.235827664399093,2.0
986,2,5.0,2.235827664399093,2.0
701,2,2.0,1.8623595505617978,2.0
627,3,2.0,2.235827664399093,2.0
986,2,5.0,2.235827664399093,2.0
309,3,1.0,2.210227272727273,2.0
172,1,1.0,2.235827664399093,2.0
172,1,1.0,2.235827664399093,2.0
1139,1,3.0,2.235827664399093,2.0
339,1,5.0,2.235827664399093,2.0
1139,2,3.0,2.235827664399093,2.0
1218,1,2.0,2.235827664399093,2.0
699,2,2.0,2.235827664399093,2.0
335,2,8.0,2.210227272727273,2.0
18,2,1.0,2.235827664399093,2.0
18,1,1.0,2.235827664399093,2.0
701,1,2.0,1.8623595505617978,2.0
339,1,5.0,2.235827664399093,2.0
986,2,5.0,2.235827664399093,2.0
719,3,2.0,1.8623595505617978,2.0
1232,2,2.0,2.210227272727273,2.0
1218,1,2.0,2.235827664399093,2.0
339,2,5.0,2.235827664399093,2.0
989,2,2.0,2.210227272727273,2.0
339,2,5.0,2.235827664399093,2.0
681,3,1.0,1.8623595505617978,2.0
339,1,5.0,2.235827664399093,2.0
309,1,1.0,2.210227272727273,2.0
17,2,1.0,2.235827664399093,2.0
1002,3,2.0,1.8623595505617978,2.0
