closest,sp,closest_sp,mean_cluster_sp,median_cluster_sp
131,2,0,1.8962264150943395,1.0
55,1,1,1.631578947368421,1.0
81,3,2,1.8962264150943395,1.0
19,2,1,1.8962264150943395,1.0
2,1,1,1.951219512195122,1.0
154,2,3,1.631578947368421,1.0
2,1,1,1.951219512195122,1.0
170,2,1,1.8962264150943395,1.0
154,2,3,1.631578947368421,1.0
96,1,5,1.631578947368421,1.0
41,2,1,1.631578947368421,1.0
154,1,3,1.631578947368421,1.0
3,1,2,1.8962264150943395,1.0
154,2,3,1.631578947368421,1.0
2,1,1,1.951219512195122,1.0
2,1,1,1.951219512195122,1.0
114,2,1,1.631578947368421,1.0
25,2,5,1.8962264150943395,1.0
96,1,5,1.631578947368421,1.0
2,1,1,1.951219512195122,1.0
128,2,1,1.631578947368421,1.0
91,1,2,1.8962264150943395,1.0
2,1,1,1.951219512195122,1.0
2,1,1,1.951219512195122,1.0
184,5,3,1.8962264150943395,1.0
56,1,1,1.631578947368421,1.0
61,3,3,1.8962264150943395,1.0
2,3,1,1.951219512195122,1.0
177,2,5,1.631578947368421,1.0
2,1,1,1.951219512195122,1.0
54,1,1,1.631578947368421,1.0
2,1,1,1.951219512195122,1.0
54,1,1,1.631578947368421,1.0
64,2,1,1.8962264150943395,1.0
2,1,1,1.951219512195122,1.0
76,1,1,1.8962264150943395,1.0
2,1,1,1.951219512195122,1.0
56,2,1,1.631578947368421,1.0
6,2,3,1.631578947368421,1.0
54,3,1,1.631578947368421,1.0
131,3,0,1.8962264150943395,1.0
95,1,5,1.8962264150943395,1.0
2,2,1,1.951219512195122,1.0
2,1,1,1.951219512195122,1.0
154,1,3,1.631578947368421,1.0
154,1,3,1.631578947368421,1.0
131,2,0,1.8962264150943395,1.0
3,1,2,1.8962264150943395,1.0
56,1,1,1.631578947368421,1.0
67,1,13,1.8962264150943395,1.0
81,2,2,1.8962264150943395,1.0
17,1,1,1.8962264150943395,1.0
32,3,1,1.8962264150943395,1.0
131,1,0,1.8962264150943395,1.0
2,2,1,1.951219512195122,1.0
2,3,1,1.951219512195122,1.0
54,1,1,1.631578947368421,1.0
71,2,1,1.8962264150943395,1.0
107,2,1,1.631578947368421,1.0
102,3,2,1.8962264150943395,1.0
2,2,1,1.951219512195122,1.0
2,2,1,1.951219512195122,1.0
129,2,1,1.631578947368421,1.0
