closest,sp,closest_sp,mean_cluster_sp,median_cluster_sp
191,2,2.0,1.4302788844621515,1.0
471,2,1.0,1.4302788844621515,1.0
523,1,1.0,1.4302788844621515,1.0
1408,1,1.0,1.4302788844621515,1.0
1470,0,1.0,1.5460992907801419,1.5
2,2,1.0,1.4185918591859186,1.0
1277,2,1.0,1.5460992907801419,1.5
2,1,1.0,1.4185918591859186,1.0
2,2,1.0,1.4185918591859186,1.0
731,0,2.0,1.5460992907801419,1.5
1643,1,2.0,1.4302788844621515,1.0
1603,2,1.0,1.5460992907801419,1.5
587,0,2.0,1.4302788844621515,1.0
865,1,2.0,1.5460992907801419,1.5
41,1,2.0,1.4302788844621515,1.0
47,1,2.0,1.4302788844621515,1.0
1081,1,2.0,1.5460992907801419,1.5
33,2,1.0,1.4302788844621515,1.0
318,2,1.0,1.4302788844621515,1.0
1199,1,2.0,1.5460992907801419,1.5
1314,1,1.0,1.5460992907801419,1.5
669,1,2.0,1.4302788844621515,1.0
1129,1,1.0,1.5460992907801419,1.5
2,2,1.0,1.4185918591859186,1.0
1647,2,1.0,1.5460992907801419,1.5
537,0,2.0,1.5460992907801419,1.5
182,2,1.0,1.4302788844621515,1.0
1258,0,1.0,1.4302788844621515,1.0
413,0,2.0,1.4302788844621515,1.0
33,0,1.0,1.4302788844621515,1.0
154,2,1.0,1.4302788844621515,1.0
471,1,1.0,1.4302788844621515,1.0
962,2,1.0,1.4302788844621515,1.0
589,2,1.0,1.4302788844621515,1.0
897,2,1.0,1.4302788844621515,1.0
201,1,1.0,1.4302788844621515,1.0
45,1,2.0,1.4302788844621515,1.0
471,1,1.0,1.4302788844621515,1.0
471,1,1.0,1.4302788844621515,1.0
701,0,1.0,1.5460992907801419,1.5
2,1,1.0,1.4185918591859186,1.0
2,2,1.0,1.4185918591859186,1.0
2,2,1.0,1.4185918591859186,1.0
471,2,1.0,1.4302788844621515,1.0
2,2,1.0,1.4185918591859186,1.0
403,1,1.0,1.4302788844621515,1.0
59,1,8.0,1.4302788844621515,1.0
47,1,2.0,1.4302788844621515,1.0
523,1,1.0,1.4302788844621515,1.0
864,2,1.0,1.5460992907801419,1.5
1195,1,1.0,1.4302788844621515,1.0
47,0,2.0,1.4302788844621515,1.0
816,1,2.0,1.4302788844621515,1.0
2,2,1.0,1.4185918591859186,1.0
1173,0,2.0,1.5460992907801419,1.5
368,1,2.0,1.4302788844621515,1.0
1569,1,2.0,1.5460992907801419,1.5
897,2,1.0,1.4302788844621515,1.0
764,0,0.0,1.4302788844621515,1.0
2,2,1.0,1.4185918591859186,1.0
2,1,1.0,1.4185918591859186,1.0
897,2,1.0,1.4302788844621515,1.0
2,0,1.0,1.4185918591859186,1.0
1490,2,0.0,1.5460992907801419,1.5
294,1,1.0,1.4302788844621515,1.0
666,2,1.0,1.4302788844621515,1.0
1613,1,3.0,1.4302788844621515,1.0
1028,1,2.0,1.5460992907801419,1.5
602,2,1.0,1.4302788844621515,1.0
1277,1,1.0,1.5460992907801419,1.5
47,1,2.0,1.4302788844621515,1.0
737,1,2.0,1.4302788844621515,1.0
471,2,1.0,1.4302788844621515,1.0
471,1,1.0,1.4302788844621515,1.0
298,0,2.0,1.4302788844621515,1.0
471,2,1.0,1.4302788844621515,1.0
78,1,2.0,1.5460992907801419,1.5
2,1,1.0,1.4185918591859186,1.0
1576,2,2.0,1.4302788844621515,1.0
2,1,1.0,1.4185918591859186,1.0
2,0,1.0,1.4185918591859186,1.0
45,1,2.0,1.4302788844621515,1.0
1031,2,2.0,1.4302788844621515,1.0
2,3,1.0,1.4185918591859186,1.0
1352,2,0.0,1.4302788844621515,1.0
1633,2,0.0,1.5460992907801419,1.5
63,0,2.0,1.4302788844621515,1.0
888,3,2.0,1.5460992907801419,1.5
2,3,1.0,1.4185918591859186,1.0
547,2,2.0,1.5460992907801419,1.5
471,3,1.0,1.4302788844621515,1.0
12,2,1.0,1.4302788844621515,1.0
245,2,2.0,1.5460992907801419,1.5
640,2,2.0,1.4302788844621515,1.0
1345,0,0.0,1.4302788844621515,1.0
2,2,1.0,1.4185918591859186,1.0
2,2,1.0,1.4185918591859186,1.0
277,3,2.0,1.5460992907801419,1.5
601,2,1.0,1.5460992907801419,1.5
1621,2,0.0,1.4302788844621515,1.0
108,3,1.0,1.4302788844621515,1.0
930,3,2.0,1.5460992907801419,1.5
558,2,2.0,1.5460992907801419,1.5
2,8,1.0,1.4185918591859186,1.0
842,1,1.0,1.4302788844621515,1.0
2,1,1.0,1.4185918591859186,1.0
1386,1,1.0,1.5460992907801419,1.5
2,1,1.0,1.4185918591859186,1.0
2,0,1.0,1.4185918591859186,1.0
618,2,2.0,1.5460992907801419,1.5
2,1,1.0,1.4185918591859186,1.0
47,2,2.0,1.4302788844621515,1.0
76,0,2.0,1.5460992907801419,1.5
1024,2,2.0,1.4302788844621515,1.0
465,1,1.0,1.5460992907801419,1.5
2,2,1.0,1.4185918591859186,1.0
678,1,1.0,1.4302788844621515,1.0
1378,1,2.0,1.4302788844621515,1.0
471,1,1.0,1.4302788844621515,1.0
47,1,2.0,1.4302788844621515,1.0
2,2,1.0,1.4185918591859186,1.0
1621,1,0.0,1.4302788844621515,1.0
47,2,2.0,1.4302788844621515,1.0
1274,1,2.0,1.5460992907801419,1.5
471,1,1.0,1.4302788844621515,1.0
59,2,8.0,1.4302788844621515,1.0
792,2,0.0,1.4302788844621515,1.0
680,1,2.0,1.5460992907801419,1.5
520,1,2.0,1.4302788844621515,1.0
33,1,1.0,1.4302788844621515,1.0
434,1,1.0,1.4302788844621515,1.0
47,2,2.0,1.4302788844621515,1.0
2,1,1.0,1.4185918591859186,1.0
953,1,1.0,1.4302788844621515,1.0
1616,1,2.0,1.4302788844621515,1.0
2,1,1.0,1.4185918591859186,1.0
531,2,1.0,1.4302788844621515,1.0
2,0,1.0,1.4185918591859186,1.0
466,1,1.0,1.4302788844621515,1.0
2,1,1.0,1.4185918591859186,1.0
2,1,1.0,1.4185918591859186,1.0
47,1,2.0,1.4302788844621515,1.0
2,1,1.0,1.4185918591859186,1.0
1604,1,0.0,1.5460992907801419,1.5
561,1,1.0,1.4302788844621515,1.0
2,1,1.0,1.4185918591859186,1.0
167,0,1.0,1.5460992907801419,1.5
471,2,1.0,1.4302788844621515,1.0
2,1,1.0,1.4185918591859186,1.0
828,1,2.0,1.5460992907801419,1.5
2,1,1.0,1.4185918591859186,1.0
2,1,1.0,1.4185918591859186,1.0
1163,2,1.0,1.4302788844621515,1.0
466,2,1.0,1.4302788844621515,1.0
53,1,2.0,1.4302788844621515,1.0
1024,2,2.0,1.4302788844621515,1.0
1596,1,2.0,1.5460992907801419,1.5
1643,2,2.0,1.4302788844621515,1.0
2,2,1.0,1.4185918591859186,1.0
1328,2,1.0,1.5460992907801419,1.5
471,2,1.0,1.4302788844621515,1.0
726,2,1.0,1.5460992907801419,1.5
1301,2,2.0,1.4302788844621515,1.0
2,1,1.0,1.4185918591859186,1.0
930,2,2.0,1.5460992907801419,1.5
471,2,1.0,1.4302788844621515,1.0
2,0,1.0,1.4185918591859186,1.0
1682,2,1.0,1.4302788844621515,1.0
2,2,1.0,1.4185918591859186,1.0
2,2,1.0,1.4185918591859186,1.0
1243,1,1.0,1.4302788844621515,1.0
182,2,1.0,1.4302788844621515,1.0
2,2,1.0,1.4185918591859186,1.0
2,2,1.0,1.4185918591859186,1.0
413,2,2.0,1.4302788844621515,1.0
1610,1,2.0,1.5460992907801419,1.5
2,2,1.0,1.4185918591859186,1.0
2,1,1.0,1.4185918591859186,1.0
2,1,1.0,1.4185918591859186,1.0
2,0,1.0,1.4185918591859186,1.0
1674,1,2.0,1.4302788844621515,1.0
1644,1,2.0,1.5460992907801419,1.5
2,1,1.0,1.4185918591859186,1.0
294,1,1.0,1.4302788844621515,1.0
2,2,1.0,1.4185918591859186,1.0
773,1,1.0,1.5460992907801419,1.5
47,2,2.0,1.4302788844621515,1.0
2,2,1.0,1.4185918591859186,1.0
2,8,1.0,1.4185918591859186,1.0
682,1,2.0,1.4302788844621515,1.0
895,2,2.0,1.4302788844621515,1.0
326,1,2.0,1.4302788844621515,1.0
