closest,sp,closest_sp,mean_cluster_sp,median_cluster_sp
58,2,1,4.098591549295775,2.0
124,5,3,4.098591549295775,2.0
45,2,1,4.098591549295775,2.0
159,2,1,4.098591549295775,2.0
158,3,1,4.098591549295775,2.0
45,3,1,4.098591549295775,2.0
54,5,2,2.607142857142857,1.0
84,1,1,4.098591549295775,2.0
2,2,8,2.2830188679245285,2.0
2,2,8,2.2830188679245285,2.0
44,3,2,4.098591549295775,2.0
84,3,1,4.098591549295775,2.0
146,1,3,4.098591549295775,2.0
159,2,1,4.098591549295775,2.0
2,2,8,2.2830188679245285,2.0
45,2,1,4.098591549295775,2.0
45,2,1,4.098591549295775,2.0
56,3,2,4.098591549295775,2.0
56,3,2,4.098591549295775,2.0
56,3,2,4.098591549295775,2.0
20,2,8,4.098591549295775,2.0
60,2,1,4.098591549295775,2.0
61,2,1,2.607142857142857,1.0
46,3,0,4.098591549295775,2.0
50,2,8,4.098591549295775,2.0
2,2,8,2.2830188679245285,2.0
44,2,2,4.098591549295775,2.0
122,3,1,4.098591549295775,2.0
45,2,1,4.098591549295775,2.0
2,3,8,2.2830188679245285,2.0
20,3,8,4.098591549295775,2.0
112,2,3,4.098591549295775,2.0
124,2,3,4.098591549295775,2.0
65,2,2,4.098591549295775,2.0
20,5,8,4.098591549295775,2.0
30,3,8,2.607142857142857,1.0
30,2,8,2.607142857142857,1.0
117,2,3,2.607142857142857,1.0
2,3,8,2.2830188679245285,2.0
58,1,1,4.098591549295775,2.0
10,2,8,4.098591549295775,2.0
45,2,1,4.098591549295775,2.0
20,1,8,4.098591549295775,2.0
45,1,1,4.098591549295775,2.0
45,1,1,4.098591549295775,2.0
45,1,1,4.098591549295775,2.0
45,1,1,4.098591549295775,2.0
45,1,1,4.098591549295775,2.0
45,1,1,4.098591549295775,2.0
45,1,1,4.098591549295775,2.0
45,2,1,4.098591549295775,2.0
54,2,2,2.607142857142857,1.0
159,1,1,4.098591549295775,2.0
122,1,1,4.098591549295775,2.0
45,1,1,4.098591549295775,2.0
2,2,8,2.2830188679245285,2.0
45,1,1,4.098591549295775,2.0
2,1,8,2.2830188679245285,2.0
20,1,8,4.098591549295775,2.0
30,1,8,2.607142857142857,1.0
65,2,2,4.098591549295775,2.0
133,3,1,2.607142857142857,1.0
20,3,8,4.098591549295775,2.0
