closest,sp,closest_sp,mean_cluster_sp,median_cluster_sp
198,1,13.0,17.232876712328768,8.0
201,1,13.0,17.232876712328768,8.0
1,1,100.0,13.274678111587983,8.0
1,3,100.0,13.274678111587983,8.0
777,1,20.0,17.232876712328768,8.0
751,1,13.0,17.232876712328768,8.0
1,1,100.0,13.274678111587983,8.0
1,1,100.0,13.274678111587983,8.0
512,0,3.0,17.232876712328768,8.0
765,0,5.0,17.232876712328768,8.0
1,1,100.0,13.274678111587983,8.0
531,5,5.0,17.60126582278481,13.0
71,0,3.0,17.232876712328768,8.0
51,3,100.0,17.232876712328768,8.0
1,1,100.0,13.274678111587983,8.0
522,1,20.0,17.232876712328768,8.0
726,1,3.0,17.232876712328768,8.0
1,1,100.0,13.274678111587983,8.0
141,1,3.0,17.60126582278481,13.0
402,3,100.0,17.232876712328768,8.0
726,1,3.0,17.232876712328768,8.0
109,0,20.0,17.232876712328768,8.0
521,0,5.0,17.232876712328768,8.0
419,1,2.0,17.232876712328768,8.0
18,1,40.0,17.60126582278481,13.0
1,1,100.0,13.274678111587983,8.0
3,3,20.0,17.232876712328768,8.0
786,3,5.0,17.232876712328768,8.0
455,3,13.0,17.232876712328768,8.0
1,2,100.0,13.274678111587983,8.0
1,1,100.0,13.274678111587983,8.0
711,0,8.0,17.232876712328768,8.0
1,1,100.0,13.274678111587983,8.0
74,3,8.0,17.232876712328768,8.0
636,3,13.0,17.232876712328768,8.0
57,3,2.0,17.232876712328768,8.0
380,8,100.0,17.232876712328768,8.0
360,1,13.0,17.232876712328768,8.0
1,1,100.0,13.274678111587983,8.0
741,1,5.0,17.60126582278481,13.0
108,3,8.0,17.60126582278481,13.0
1,3,100.0,13.274678111587983,8.0
1,1,100.0,13.274678111587983,8.0
1,3,100.0,13.274678111587983,8.0
1,1,100.0,13.274678111587983,8.0
620,3,2.0,17.232876712328768,8.0
696,3,5.0,17.232876712328768,8.0
733,0,20.0,17.232876712328768,8.0
1,5,100.0,13.274678111587983,8.0
618,1,2.0,17.232876712328768,8.0
733,3,20.0,17.232876712328768,8.0
144,0,8.0,17.232876712328768,8.0
355,3,8.0,17.232876712328768,8.0
1,1,100.0,13.274678111587983,8.0
1,3,100.0,13.274678111587983,8.0
113,5,13.0,17.232876712328768,8.0
494,1,13.0,17.232876712328768,8.0
1,3,100.0,13.274678111587983,8.0
710,1,13.0,17.232876712328768,8.0
536,2,5.0,17.232876712328768,8.0
481,1,1.0,17.232876712328768,8.0
481,1,1.0,17.232876712328768,8.0
481,1,1.0,17.232876712328768,8.0
380,1,100.0,17.232876712328768,8.0
481,1,1.0,17.232876712328768,8.0
481,1,1.0,17.232876712328768,8.0
144,1,8.0,17.232876712328768,8.0
481,1,1.0,17.232876712328768,8.0
1,1,100.0,13.274678111587983,8.0
145,1,13.0,17.232876712328768,8.0
205,3,40.0,17.60126582278481,13.0
641,3,13.0,17.60126582278481,13.0
1,3,100.0,13.274678111587983,8.0
805,1,40.0,17.60126582278481,13.0
335,0,5.0,17.232876712328768,8.0
470,2,5.0,17.232876712328768,8.0
1,2,100.0,13.274678111587983,8.0
144,0,8.0,17.232876712328768,8.0
242,2,5.0,17.232876712328768,8.0
360,1,13.0,17.232876712328768,8.0
1,3,100.0,13.274678111587983,8.0
805,1,40.0,17.60126582278481,13.0
195,1,20.0,17.60126582278481,13.0
197,3,20.0,17.232876712328768,8.0
450,5,8.0,17.232876712328768,8.0
622,0,2.0,17.232876712328768,8.0
1,1,100.0,13.274678111587983,8.0
72,0,100.0,17.60126582278481,13.0
159,2,5.0,17.232876712328768,8.0
510,1,13.0,17.60126582278481,13.0
153,0,2.0,17.232876712328768,8.0
470,1,5.0,17.232876712328768,8.0
133,1,5.0,17.232876712328768,8.0
199,1,5.0,17.232876712328768,8.0
494,2,13.0,17.232876712328768,8.0
689,2,13.0,17.232876712328768,8.0
200,1,20.0,17.232876712328768,8.0
22,3,20.0,17.232876712328768,8.0
55,3,8.0,17.232876712328768,8.0
776,2,40.0,17.232876712328768,8.0
81,5,40.0,17.232876712328768,8.0
108,2,8.0,17.60126582278481,13.0
777,1,20.0,17.232876712328768,8.0
1,1,100.0,13.274678111587983,8.0
823,1,8.0,17.232876712328768,8.0
546,1,5.0,17.232876712328768,8.0
100,1,20.0,17.232876712328768,8.0
618,0,2.0,17.232876712328768,8.0
100,1,20.0,17.232876712328768,8.0
670,3,20.0,17.232876712328768,8.0
254,1,3.0,17.232876712328768,8.0
1,2,100.0,13.274678111587983,8.0
202,2,100.0,17.232876712328768,8.0
1,2,100.0,13.274678111587983,8.0
203,3,40.0,17.60126582278481,13.0
155,0,13.0,17.232876712328768,8.0
120,3,8.0,17.232876712328768,8.0
1,1,100.0,13.274678111587983,8.0
774,0,8.0,17.60126582278481,13.0
771,2,13.0,17.232876712328768,8.0
11,0,40.0,17.60126582278481,13.0
777,1,20.0,17.232876712328768,8.0
335,5,5.0,17.232876712328768,8.0
776,1,40.0,17.232876712328768,8.0
24,1,3.0,17.232876712328768,8.0
459,3,13.0,17.232876712328768,8.0
616,3,2.0,17.60126582278481,13.0
335,3,5.0,17.232876712328768,8.0
402,3,100.0,17.232876712328768,8.0
494,0,13.0,17.232876712328768,8.0
353,5,40.0,17.232876712328768,8.0
1,5,100.0,13.274678111587983,8.0
777,1,20.0,17.232876712328768,8.0
447,3,100.0,17.232876712328768,8.0
66,2,8.0,17.232876712328768,8.0
1,1,100.0,13.274678111587983,8.0
1,1,100.0,13.274678111587983,8.0
828,1,20.0,17.232876712328768,8.0
1,1,100.0,13.274678111587983,8.0
1,1,100.0,13.274678111587983,8.0
1,1,100.0,13.274678111587983,8.0
1,1,100.0,13.274678111587983,8.0
1,1,100.0,13.274678111587983,8.0
1,1,100.0,13.274678111587983,8.0
1,1,100.0,13.274678111587983,8.0
360,0,13.0,17.232876712328768,8.0
673,1,40.0,17.232876712328768,8.0
22,3,20.0,17.232876712328768,8.0
1,0,100.0,13.274678111587983,8.0
1,3,100.0,13.274678111587983,8.0
1,2,100.0,13.274678111587983,8.0
364,1,1.0,17.232876712328768,8.0
144,3,8.0,17.232876712328768,8.0
335,3,5.0,17.232876712328768,8.0
1,3,100.0,13.274678111587983,8.0
353,3,40.0,17.232876712328768,8.0
546,1,5.0,17.232876712328768,8.0
502,1,1.0,17.232876712328768,8.0
1,0,100.0,13.274678111587983,8.0
72,0,100.0,17.60126582278481,13.0
1,1,100.0,13.274678111587983,8.0
1,3,100.0,13.274678111587983,8.0
600,3,8.0,17.60126582278481,13.0
723,0,5.0,17.232876712328768,8.0
1,1,100.0,13.274678111587983,8.0
604,0,5.0,17.232876712328768,8.0
417,0,13.0,17.232876712328768,8.0
665,5,3.0,17.232876712328768,8.0
818,3,5.0,17.60126582278481,13.0
144,5,8.0,17.232876712328768,8.0
335,3,5.0,17.232876712328768,8.0
491,1,3.0,17.232876712328768,8.0
481,2,1.0,17.232876712328768,8.0
20,2,40.0,17.232876712328768,8.0
234,1,20.0,17.60126582278481,13.0
133,0,5.0,17.232876712328768,8.0
258,1,5.0,17.232876712328768,8.0
1,1,100.0,13.274678111587983,8.0
196,5,20.0,17.60126582278481,13.0
18,1,40.0,17.60126582278481,13.0
470,3,5.0,17.232876712328768,8.0
58,1,3.0,17.232876712328768,8.0
120,2,8.0,17.232876712328768,8.0
470,2,5.0,17.232876712328768,8.0
687,0,40.0,17.232876712328768,8.0
1,5,100.0,13.274678111587983,8.0
203,1,40.0,17.60126582278481,13.0
360,1,13.0,17.232876712328768,8.0
646,3,40.0,17.60126582278481,13.0
629,1,5.0,17.232876712328768,8.0
717,3,3.0,17.232876712328768,8.0
494,1,13.0,17.232876712328768,8.0
105,5,20.0,17.232876712328768,8.0
1,1,100.0,13.274678111587983,8.0
139,1,3.0,17.232876712328768,8.0
470,1,5.0,17.232876712328768,8.0
642,5,5.0,17.60126582278481,13.0
335,1,5.0,17.232876712328768,8.0
689,1,13.0,17.232876712328768,8.0
502,1,1.0,17.232876712328768,8.0
777,3,20.0,17.232876712328768,8.0
536,3,5.0,17.232876712328768,8.0
297,3,40.0,17.232876712328768,8.0
494,3,13.0,17.232876712328768,8.0
380,1,100.0,17.232876712328768,8.0
466,1,2.0,17.60126582278481,13.0
452,1,1.0,17.232876712328768,8.0
1,5,100.0,13.274678111587983,8.0
464,2,2.0,17.232876712328768,8.0
381,1,2.0,17.60126582278481,13.0
459,1,13.0,17.232876712328768,8.0
242,0,5.0,17.232876712328768,8.0
381,2,2.0,17.60126582278481,13.0
248,1,8.0,17.232876712328768,8.0
1,1,100.0,13.274678111587983,8.0
1,1,100.0,13.274678111587983,8.0
775,1,13.0,17.232876712328768,8.0
383,1,1.0,17.232876712328768,8.0
36,1,3.0,17.232876712328768,8.0
383,3,1.0,17.232876712328768,8.0
1,2,100.0,13.274678111587983,8.0
600,1,8.0,17.60126582278481,13.0
525,5,5.0,17.232876712328768,8.0
175,5,5.0,17.232876712328768,8.0
687,1,40.0,17.232876712328768,8.0
481,1,1.0,17.232876712328768,8.0
687,3,40.0,17.232876712328768,8.0
1,3,100.0,13.274678111587983,8.0
577,5,13.0,17.232876712328768,8.0
149,1,8.0,17.232876712328768,8.0
525,1,5.0,17.232876712328768,8.0
411,0,2.0,17.232876712328768,8.0
205,3,40.0,17.60126582278481,13.0
1,1,100.0,13.274678111587983,8.0
1,1,100.0,13.274678111587983,8.0
43,0,13.0,17.232876712328768,8.0
1,1,100.0,13.274678111587983,8.0
163,2,8.0,17.232876712328768,8.0
618,1,2.0,17.232876712328768,8.0
710,1,13.0,17.232876712328768,8.0
494,3,13.0,17.232876712328768,8.0
144,1,8.0,17.232876712328768,8.0
502,5,1.0,17.232876712328768,8.0
364,3,1.0,17.232876712328768,8.0
1,1,100.0,13.274678111587983,8.0
522,0,20.0,17.232876712328768,8.0
777,1,20.0,17.232876712328768,8.0
359,1,2.0,17.232876712328768,8.0
710,5,13.0,17.232876712328768,8.0
771,1,13.0,17.232876712328768,8.0
460,1,8.0,17.232876712328768,8.0
200,1,20.0,17.232876712328768,8.0
399,1,100.0,17.60126582278481,13.0
42,5,20.0,17.232876712328768,8.0
433,0,20.0,17.60126582278481,13.0
777,1,20.0,17.232876712328768,8.0
696,2,5.0,17.232876712328768,8.0
20,0,40.0,17.232876712328768,8.0
313,0,0.5,17.60126582278481,13.0
329,0,13.0,17.232876712328768,8.0
349,0,13.0,17.232876712328768,8.0
1,0,100.0,13.274678111587983,8.0
1,0,100.0,13.274678111587983,8.0
727,1,13.0,17.232876712328768,8.0
771,0,13.0,17.232876712328768,8.0
284,1,8.0,17.60126582278481,13.0
439,1,2.0,17.60126582278481,13.0
195,1,20.0,17.60126582278481,13.0
195,1,20.0,17.60126582278481,13.0
155,1,13.0,17.232876712328768,8.0
195,3,20.0,17.60126582278481,13.0
203,3,40.0,17.60126582278481,13.0
132,1,20.0,17.232876712328768,8.0
0,0,100.0,17.232876712328768,8.0
424,0,2.0,17.60126582278481,13.0
1,2,100.0,13.274678111587983,8.0
753,0,5.0,17.232876712328768,8.0
753,0,5.0,17.232876712328768,8.0
72,3,100.0,17.60126582278481,13.0
600,1,8.0,17.60126582278481,13.0
521,3,5.0,17.232876712328768,8.0
