closest,sp,closest_sp,mean_cluster_sp,median_cluster_sp
773,2,2.0,3.0574162679425836,3.0
226,1,3.0,3.224860335195531,3.0
1,1,3.0,2.9321533923303833,3.0
858,3,3.0,3.0574162679425836,3.0
604,2,2.0,3.224860335195531,3.0
662,2,1.0,3.224860335195531,3.0
604,2,2.0,3.224860335195531,3.0
604,2,2.0,3.224860335195531,3.0
1,2,3.0,2.9321533923303833,3.0
553,3,1.0,3.0574162679425836,3.0
842,2,8.0,3.224860335195531,3.0
1,1,3.0,2.9321533923303833,3.0
176,1,3.0,3.0574162679425836,3.0
676,3,3.0,3.224860335195531,3.0
710,2,5.0,3.224860335195531,3.0
1,1,3.0,2.9321533923303833,3.0
1,2,3.0,2.9321533923303833,3.0
1,1,3.0,2.9321533923303833,3.0
309,1,1.0,3.0574162679425836,3.0
393,3,2.0,3.0574162679425836,3.0
797,2,3.0,3.0574162679425836,3.0
22,3,1.0,3.224860335195531,3.0
134,5,5.0,3.224860335195531,3.0
512,5,1.0,3.0574162679425836,3.0
1,3,3.0,2.9321533923303833,3.0
604,2,2.0,3.224860335195531,3.0
592,2,1.0,3.0574162679425836,3.0
136,5,8.0,3.224860335195531,3.0
3,3,1.0,3.0574162679425836,3.0
549,2,5.0,3.224860335195531,3.0
842,5,8.0,3.224860335195531,3.0
134,1,5.0,3.224860335195531,3.0
226,5,3.0,3.224860335195531,3.0
59,2,3.0,3.224860335195531,3.0
562,5,1.0,3.0574162679425836,3.0
226,5,3.0,3.224860335195531,3.0
861,3,5.0,3.0574162679425836,3.0
309,3,1.0,3.0574162679425836,3.0
1,2,3.0,2.9321533923303833,3.0
531,5,3.0,3.224860335195531,3.0
775,1,8.0,3.224860335195531,3.0
1,1,3.0,2.9321533923303833,3.0
842,2,8.0,3.224860335195531,3.0
1,5,3.0,2.9321533923303833,3.0
573,3,1.0,3.224860335195531,3.0
1,2,3.0,2.9321533923303833,3.0
1,5,3.0,2.9321533923303833,3.0
250,5,3.0,3.224860335195531,3.0
226,3,3.0,3.224860335195531,3.0
870,5,2.0,3.0574162679425836,3.0
1,2,3.0,2.9321533923303833,3.0
2,2,5.0,3.224860335195531,3.0
544,3,2.0,3.0574162679425836,3.0
491,3,1.0,3.224860335195531,3.0
350,3,2.0,3.0574162679425836,3.0
88,3,13.0,3.0574162679425836,3.0
309,3,1.0,3.0574162679425836,3.0
602,3,1.0,3.224860335195531,3.0
309,3,1.0,3.0574162679425836,3.0
1,5,3.0,2.9321533923303833,3.0
1,2,3.0,2.9321533923303833,3.0
353,8,3.0,3.224860335195531,3.0
73,3,3.0,3.224860335195531,3.0
1,5,3.0,2.9321533923303833,3.0
842,5,8.0,3.224860335195531,3.0
255,1,8.0,3.224860335195531,3.0
56,1,2.0,3.0574162679425836,3.0
428,2,3.0,3.0574162679425836,3.0
1,2,3.0,2.9321533923303833,3.0
354,8,3.0,3.0574162679425836,3.0
393,2,2.0,3.0574162679425836,3.0
120,1,3.0,3.0574162679425836,3.0
558,1,3.0,3.224860335195531,3.0
1,5,3.0,2.9321533923303833,3.0
1,1,3.0,2.9321533923303833,3.0
833,3,3.0,3.0574162679425836,3.0
618,5,5.0,3.224860335195531,3.0
1,2,3.0,2.9321533923303833,3.0
1,3,3.0,2.9321533923303833,3.0
1,2,3.0,2.9321533923303833,3.0
84,3,8.0,3.0574162679425836,3.0
862,2,5.0,3.0574162679425836,3.0
338,5,3.0,3.224860335195531,3.0
842,1,8.0,3.224860335195531,3.0
616,1,3.0,3.0574162679425836,3.0
1,2,3.0,2.9321533923303833,3.0
833,5,3.0,3.0574162679425836,3.0
190,2,8.0,3.224860335195531,3.0
587,5,5.0,3.0574162679425836,3.0
871,3,3.0,3.0574162679425836,3.0
167,2,1.0,3.0574162679425836,3.0
540,2,3.0,3.0574162679425836,3.0
368,8,3.0,3.224860335195531,3.0
135,5,5.0,3.0574162679425836,3.0
353,8,3.0,3.224860335195531,3.0
226,3,3.0,3.224860335195531,3.0
1,3,3.0,2.9321533923303833,3.0
842,3,8.0,3.224860335195531,3.0
842,5,8.0,3.224860335195531,3.0
750,3,2.0,3.224860335195531,3.0
1,1,3.0,2.9321533923303833,3.0
451,5,5.0,3.0574162679425836,3.0
1,2,3.0,2.9321533923303833,3.0
255,5,8.0,3.224860335195531,3.0
811,3,5.0,3.224860335195531,3.0
1,1,3.0,2.9321533923303833,3.0
402,5,2.0,3.0574162679425836,3.0
383,5,1.0,3.224860335195531,3.0
592,3,1.0,3.0574162679425836,3.0
353,5,3.0,3.224860335195531,3.0
414,5,1.0,3.0574162679425836,3.0
88,1,13.0,3.0574162679425836,3.0
297,3,1.0,3.224860335195531,3.0
139,3,5.0,3.224860335195531,3.0
577,5,2.0,3.224860335195531,3.0
226,3,3.0,3.224860335195531,3.0
226,3,3.0,3.224860335195531,3.0
777,3,3.0,3.0574162679425836,3.0
309,3,1.0,3.0574162679425836,3.0
1,1,3.0,2.9321533923303833,3.0
206,3,1.0,3.224860335195531,3.0
22,5,1.0,3.224860335195531,3.0
257,5,8.0,3.0574162679425836,3.0
170,5,5.0,3.0574162679425836,3.0
1,2,3.0,2.9321533923303833,3.0
1,2,3.0,2.9321533923303833,3.0
777,5,3.0,3.0574162679425836,3.0
139,3,5.0,3.224860335195531,3.0
113,5,2.0,3.0574162679425836,3.0
662,2,1.0,3.224860335195531,3.0
106,3,2.0,3.224860335195531,3.0
842,8,8.0,3.224860335195531,3.0
619,3,2.0,3.224860335195531,3.0
309,3,1.0,3.0574162679425836,3.0
577,1,2.0,3.224860335195531,3.0
309,3,1.0,3.0574162679425836,3.0
356,5,1.0,3.224860335195531,3.0
791,2,1.0,3.0574162679425836,3.0
83,1,1.0,3.224860335195531,3.0
356,5,1.0,3.224860335195531,3.0
1,1,3.0,2.9321533923303833,3.0
132,5,0.5,3.224860335195531,3.0
16,5,3.0,3.224860335195531,3.0
309,8,1.0,3.0574162679425836,3.0
1,3,3.0,2.9321533923303833,3.0
322,5,5.0,3.224860335195531,3.0
592,5,1.0,3.0574162679425836,3.0
106,2,2.0,3.224860335195531,3.0
226,2,3.0,3.224860335195531,3.0
592,5,1.0,3.0574162679425836,3.0
309,8,1.0,3.0574162679425836,3.0
507,2,2.0,3.0574162679425836,3.0
192,5,3.0,3.224860335195531,3.0
356,3,1.0,3.224860335195531,3.0
1,2,3.0,2.9321533923303833,3.0
1,2,3.0,2.9321533923303833,3.0
309,3,1.0,3.0574162679425836,3.0
662,3,1.0,3.224860335195531,3.0
770,2,1.0,3.224860335195531,3.0
662,5,1.0,3.224860335195531,3.0
761,5,2.0,3.224860335195531,3.0
6,3,1.0,3.0574162679425836,3.0
724,5,5.0,3.224860335195531,3.0
604,2,2.0,3.224860335195531,3.0
1,5,3.0,2.9321533923303833,3.0
226,5,3.0,3.224860335195531,3.0
750,5,2.0,3.224860335195531,3.0
842,2,8.0,3.224860335195531,3.0
