closest,sp,closest_sp,mean_cluster_sp,median_cluster_sp
339,1,5,3.9365079365079363,3.0
13,1,1,4.344931921331316,3.0
298,0,0,4.2443609022556394,3.0
13,8,1,4.344931921331316,3.0
386,0,5,3.9365079365079363,3.0
636,1,1,4.2443609022556394,3.0
13,8,1,4.344931921331316,3.0
1107,3,3,3.9365079365079363,3.0
13,8,1,4.344931921331316,3.0
772,8,0,3.9365079365079363,3.0
288,2,0,3.9365079365079363,3.0
1499,0,1,3.9365079365079363,3.0
111,3,13,3.9365079365079363,3.0
164,8,1,4.2443609022556394,3.0
659,0,3,3.9365079365079363,3.0
578,0,8,3.9365079365079363,3.0
1499,1,1,3.9365079365079363,3.0
1703,2,13,3.9365079365079363,3.0
1499,1,1,3.9365079365079363,3.0
13,8,1,4.344931921331316,3.0
13,8,1,4.344931921331316,3.0
13,1,1,4.344931921331316,3.0
75,5,5,4.2443609022556394,3.0
13,1,1,4.344931921331316,3.0
13,1,1,4.344931921331316,3.0
13,8,1,4.344931921331316,3.0
522,1,0,4.2443609022556394,3.0
1530,0,1,3.9365079365079363,3.0
13,1,1,4.344931921331316,3.0
7,8,8,3.9365079365079363,3.0
972,2,5,4.2443609022556394,3.0
13,8,1,4.344931921331316,3.0
13,3,1,4.344931921331316,3.0
1734,3,2,3.9365079365079363,3.0
1097,1,13,3.9365079365079363,3.0
13,1,1,4.344931921331316,3.0
1022,2,8,4.2443609022556394,3.0
1262,2,8,3.9365079365079363,3.0
13,8,1,4.344931921331316,3.0
1580,8,5,4.2443609022556394,3.0
1567,2,8,3.9365079365079363,3.0
751,2,1,4.2443609022556394,3.0
13,0,1,4.344931921331316,3.0
13,8,1,4.344931921331316,3.0
339,8,5,3.9365079365079363,3.0
13,1,1,4.344931921331316,3.0
1387,0,1,4.2443609022556394,3.0
620,2,3,4.2443609022556394,3.0
1499,1,1,3.9365079365079363,3.0
13,2,1,4.344931921331316,3.0
7,0,8,3.9365079365079363,3.0
128,1,13,3.9365079365079363,3.0
1165,8,8,4.2443609022556394,3.0
13,3,1,4.344931921331316,3.0
216,8,2,4.2443609022556394,3.0
1186,0,5,4.2443609022556394,3.0
339,1,5,3.9365079365079363,3.0
139,8,1,3.9365079365079363,3.0
13,8,1,4.344931921331316,3.0
41,8,13,3.9365079365079363,3.0
13,0,1,4.344931921331316,3.0
13,8,1,4.344931921331316,3.0
13,8,1,4.344931921331316,3.0
