closest,sp,closest_sp,mean_cluster_sp,median_cluster_sp
457,1.0,0.5,0.8333333333333334,1.0
846,1.0,0.5,1.0909090909090908,0.5
1,2.0,2.0,1.3558823529411765,1.0
521,2.0,0.5,1.6,1.0
663,0.5,2.0,1.5,2.0
613,2.0,0.5,0.5,0.5
278,3.0,2.0,1.0,0.75
592,1.0,1.0,1.0,1.0
174,0.5,5.0,3.0,3.0
472,1.0,0.5,0.5,0.5
592,0.5,1.0,1.0,1.0
553,1.0,2.0,1.2446808510638299,1.0
639,8.0,0.5,0.8333333333333334,1.0
147,0.5,1.0,1.4,1.0
255,3.0,5.0,1.6,1.0
365,3.0,1.0,1.2446808510638299,1.0
174,3.0,5.0,3.0,3.0
562,1.0,0.5,4.6923076923076925,2.0
174,0.5,5.0,3.0,3.0
846,1.0,0.5,1.0909090909090908,0.5
85,1.0,3.0,2.0,2.0
146,2.0,2.0,1.2446808510638299,1.0
846,1.0,0.5,1.0909090909090908,0.5
843,3.0,2.0,4.6923076923076925,2.0
1,1.0,2.0,1.3558823529411765,1.0
1,1.0,2.0,1.3558823529411765,1.0
669,1.0,0.5,1.2857142857142858,1.0
1,2.0,2.0,1.3558823529411765,1.0
21,5.0,1.0,1.0,1.0
174,3.0,5.0,3.0,3.0
1,1.0,2.0,1.3558823529411765,1.0
272,1.0,0.5,0.5,0.5
174,1.0,5.0,3.0,3.0
1,0.0,2.0,1.3558823529411765,1.0
639,1.0,0.5,0.8333333333333334,1.0
552,2.0,1.0,1.0,1.0
717,3.0,0.5,0.5,0.5
658,2.0,1.0,1.0,1.0
639,2.0,0.5,0.8333333333333334,1.0
243,3.0,1.0,1.0,1.0
363,3.0,1.0,1.25,1.0
819,1.0,1.0,1.3571428571428572,1.0
1,2.0,2.0,1.3558823529411765,1.0
710,3.0,1.0,1.0,1.0
374,3.0,1.0,1.2446808510638299,1.0
688,1.0,2.0,0.9615384615384616,1.0
90,0.5,1.0,1.2446808510638299,1.0
566,0.5,1.0,1.0,1.0
1,1.0,2.0,1.3558823529411765,1.0
22,3.0,1.0,0.75,0.75
433,3.0,0.5,0.75,0.75
837,3.0,1.0,1.0,1.0
846,2.0,0.5,1.0909090909090908,0.5
174,2.0,5.0,3.0,3.0
18,2.0,2.0,1.2446808510638299,1.0
174,1.0,5.0,3.0,3.0
671,2.0,2.0,1.0909090909090908,0.5
594,2.0,0.5,1.0555555555555556,1.0
1,1.0,2.0,1.3558823529411765,1.0
243,2.0,1.0,1.0,1.0
1,2.0,2.0,1.3558823529411765,1.0
573,2.0,0.5,4.6923076923076925,2.0
551,2.0,1.0,1.4444444444444444,1.0
229,2.0,1.0,7.666666666666667,2.0
1,1.0,2.0,1.3558823529411765,1.0
64,2.0,0.0,1.2446808510638299,1.0
1,1.0,2.0,1.3558823529411765,1.0
839,8.0,2.0,4.6923076923076925,2.0
1,2.0,2.0,1.3558823529411765,1.0
1,2.0,2.0,1.3558823529411765,1.0
846,1.0,0.5,1.0909090909090908,0.5
424,5.0,0.5,1.0555555555555556,1.0
846,3.0,0.5,1.0909090909090908,0.5
1,1.0,2.0,1.3558823529411765,1.0
846,5.0,0.5,1.0909090909090908,0.5
61,2.0,1.0,0.75,0.75
663,2.0,2.0,1.5,2.0
87,2.0,5.0,4.6923076923076925,2.0
451,1.0,1.0,0.9615384615384616,1.0
839,1.0,2.0,4.6923076923076925,2.0
174,5.0,5.0,3.0,3.0
133,2.0,3.0,1.2446808510638299,1.0
99,1.0,1.0,1.2446808510638299,1.0
229,3.0,1.0,7.666666666666667,2.0
745,1.0,2.0,1.1,1.0
174,3.0,5.0,3.0,3.0
154,3.0,1.0,1.4,1.0
174,2.0,5.0,3.0,3.0
