closest,sp,closest_sp,mean_cluster_sp,median_cluster_sp
201,1.0,8,3.313131313131313,2.0
180,2.0,1,3.3986013986013988,2.0
7,2.0,2,3.3986013986013988,2.0
100,3.0,1,3.3986013986013988,2.0
222,1.0,3,3.3986013986013988,2.0
290,1.0,1,3.313131313131313,2.0
201,1.0,8,3.313131313131313,2.0
100,2.0,1,3.3986013986013988,2.0
100,1.0,1,3.3986013986013988,2.0
87,1.0,1,3.313131313131313,2.0
161,2.0,1,3.313131313131313,2.0
107,3.0,2,3.3986013986013988,2.0
67,2.0,3,3.313131313131313,2.0
78,1.0,3,3.313131313131313,2.0
80,2.0,3,3.3986013986013988,2.0
180,2.0,1,3.3986013986013988,2.0
91,1.0,2,3.3986013986013988,2.0
87,1.0,1,3.313131313131313,2.0
67,2.0,3,3.313131313131313,2.0
100,2.0,1,3.3986013986013988,2.0
202,2.0,1,3.313131313131313,2.0
57,0.0,2,3.313131313131313,2.0
176,1.0,1,3.313131313131313,2.0
100,3.0,1,3.3986013986013988,2.0
11,5.0,2,3.313131313131313,2.0
201,5.0,8,3.313131313131313,2.0
100,2.0,1,3.3986013986013988,2.0
78,3.0,3,3.313131313131313,2.0
4,1.0,3,2.323529411764706,2.0
100,2.0,1,3.3986013986013988,2.0
245,2.0,2,3.3986013986013988,2.0
194,2.0,2,3.3986013986013988,2.0
155,3.0,1,3.313131313131313,2.0
196,1.0,2,3.313131313131313,2.0
43,2.0,3,3.3986013986013988,2.0
5,3.0,0,3.313131313131313,2.0
155,1.0,1,3.313131313131313,2.0
5,3.0,0,3.313131313131313,2.0
48,1.0,2,3.313131313131313,2.0
67,3.0,3,3.313131313131313,2.0
107,2.0,2,3.3986013986013988,2.0
235,2.0,8,3.313131313131313,2.0
100,1.0,1,3.3986013986013988,2.0
64,1.0,1,3.313131313131313,2.0
100,2.0,1,3.3986013986013988,2.0
67,0.0,3,3.313131313131313,2.0
100,1.0,1,3.3986013986013988,2.0
180,2.0,1,3.3986013986013988,2.0
216,1.0,2,3.3986013986013988,2.0
4,0.0,3,2.323529411764706,2.0
68,1.0,2,3.3986013986013988,2.0
87,2.0,1,3.313131313131313,2.0
153,3.0,2,3.3986013986013988,2.0
58,3.0,2,3.313131313131313,2.0
58,1.0,2,3.313131313131313,2.0
125,1.0,3,3.313131313131313,2.0
30,3.0,3,3.3986013986013988,2.0
4,2.0,3,2.323529411764706,2.0
100,3.0,1,3.3986013986013988,2.0
4,3.0,3,2.323529411764706,2.0
4,2.0,3,2.323529411764706,2.0
202,2.0,1,3.313131313131313,2.0
4,2.0,3,2.323529411764706,2.0
100,3.0,1,3.3986013986013988,2.0
201,2.0,8,3.313131313131313,2.0
102,1.0,3,3.3986013986013988,2.0
98,1.0,5,3.313131313131313,2.0
4,2.0,3,2.323529411764706,2.0
100,1.0,1,3.3986013986013988,2.0
67,1.0,3,3.313131313131313,2.0
209,1.0,8,3.313131313131313,2.0
201,1.0,8,3.313131313131313,2.0
87,2.0,1,3.313131313131313,2.0
196,2.0,2,3.313131313131313,2.0
61,2.0,5,3.3986013986013988,2.0
274,3.0,1,3.313131313131313,2.0
100,2.0,1,3.3986013986013988,2.0
266,0.0,3,3.3986013986013988,2.0
102,1.0,3,3.3986013986013988,2.0
4,1.0,3,2.323529411764706,2.0
120,5.0,1,3.313131313131313,2.0
166,1.0,1,3.3986013986013988,2.0
302,2.0,1,3.3986013986013988,2.0
174,1.0,13,3.313131313131313,2.0
177,5.0,5,3.313131313131313,2.0
67,2.0,3,3.313131313131313,2.0
67,3.0,3,3.313131313131313,2.0
4,0.5,3,2.323529411764706,2.0
201,5.0,8,3.313131313131313,2.0
166,0.0,1,3.3986013986013988,2.0
87,0.0,1,3.313131313131313,2.0
4,1.0,3,2.323529411764706,2.0
87,1.0,1,3.313131313131313,2.0
4,0.0,3,2.323529411764706,2.0
4,1.0,3,2.323529411764706,2.0
267,1.0,3,3.3986013986013988,2.0
100,1.0,1,3.3986013986013988,2.0
220,1.0,8,3.313131313131313,2.0
4,2.0,3,2.323529411764706,2.0
11,2.0,2,3.313131313131313,2.0
230,5.0,8,3.313131313131313,2.0
155,2.0,1,3.313131313131313,2.0
246,1.0,2,3.3986013986013988,2.0
15,1.0,5,3.3986013986013988,2.0
152,1.0,2,3.313131313131313,2.0
156,1.0,2,3.3986013986013988,2.0
