closest,sp,closest_sp,mean_cluster_sp,median_cluster_sp
9,2,5,2.048780487804878,2.0
58,0,1,1.8484848484848484,2.0
90,3,2,1.8484848484848484,2.0
9,1,5,2.048780487804878,2.0
73,2,5,2.125,2.0
6,3,3,2.125,2.0
6,1,3,2.125,2.0
9,3,5,2.048780487804878,2.0
9,2,5,2.048780487804878,2.0
9,1,5,2.048780487804878,2.0
9,2,5,2.048780487804878,2.0
9,1,5,2.048780487804878,2.0
84,1,3,2.125,2.0
9,2,5,2.048780487804878,2.0
9,1,5,2.048780487804878,2.0
9,1,5,2.048780487804878,2.0
75,3,3,1.8484848484848484,2.0
84,1,3,2.125,2.0
69,3,2,1.8484848484848484,2.0
9,2,5,2.048780487804878,2.0
69,3,2,1.8484848484848484,2.0
85,5,2,1.8484848484848484,2.0
9,1,5,2.048780487804878,2.0
17,1,1,2.125,2.0
9,1,5,2.048780487804878,2.0
9,1,5,2.048780487804878,2.0
9,5,5,2.048780487804878,2.0
9,1,5,2.048780487804878,2.0
9,1,5,2.048780487804878,2.0
9,3,5,2.048780487804878,2.0
90,1,2,1.8484848484848484,2.0
9,5,5,2.048780487804878,2.0
9,1,5,2.048780487804878,2.0
9,1,5,2.048780487804878,2.0
43,2,1,1.8484848484848484,2.0
59,2,3,2.125,2.0
31,1,2,1.8484848484848484,2.0
36,1,3,1.8484848484848484,2.0
79,1,1,2.125,2.0
9,1,5,2.048780487804878,2.0
69,1,2,1.8484848484848484,2.0
9,1,5,2.048780487804878,2.0
9,2,5,2.048780487804878,2.0
