closest,sp,closest_sp,mean_cluster_sp,median_cluster_sp
29,1,3,3.8892508143322475,3.0
243,2,3,3.8892508143322475,3.0
113,1,3,3.8892508143322475,3.0
443,2,2,3.088888888888889,2.0
310,2,5,3.8892508143322475,3.0
3,8,8,3.425,2.0
261,2,1,3.8892508143322475,3.0
157,13,3,3.088888888888889,2.0
3,1,8,3.425,2.0
3,1,8,3.425,2.0
3,2,8,3.425,2.0
443,1,2,3.088888888888889,2.0
181,1,2,3.088888888888889,2.0
443,1,2,3.088888888888889,2.0
3,1,8,3.425,2.0
3,2,8,3.425,2.0
3,1,8,3.425,2.0
3,1,8,3.425,2.0
3,1,8,3.425,2.0
3,1,8,3.425,2.0
3,1,8,3.425,2.0
3,1,8,3.425,2.0
322,2,5,3.088888888888889,2.0
322,1,5,3.088888888888889,2.0
322,1,5,3.088888888888889,2.0
322,1,5,3.088888888888889,2.0
253,1,1,3.088888888888889,2.0
253,1,1,3.088888888888889,2.0
533,1,1,3.088888888888889,2.0
253,1,1,3.088888888888889,2.0
289,2,8,3.088888888888889,2.0
443,1,2,3.088888888888889,2.0
3,1,8,3.425,2.0
314,8,2,3.088888888888889,2.0
116,1,3,3.088888888888889,2.0
3,1,8,3.425,2.0
443,2,2,3.088888888888889,2.0
3,2,8,3.425,2.0
3,3,8,3.425,2.0
3,8,8,3.425,2.0
253,8,1,3.088888888888889,2.0
207,2,5,3.088888888888889,2.0
4,3,0,3.088888888888889,2.0
55,1,1,3.088888888888889,2.0
1,8,1,3.8892508143322475,3.0
226,3,5,3.088888888888889,2.0
324,8,1,3.088888888888889,2.0
3,3,8,3.425,2.0
107,1,3,3.088888888888889,2.0
280,1,3,3.088888888888889,2.0
308,1,5,3.088888888888889,2.0
316,3,1,3.8892508143322475,3.0
3,1,8,3.425,2.0
525,1,1,3.8892508143322475,3.0
222,2,1,3.8892508143322475,3.0
215,3,3,3.088888888888889,2.0
534,2,1,3.088888888888889,2.0
222,3,1,3.8892508143322475,3.0
510,1,2,3.088888888888889,2.0
3,1,8,3.425,2.0
3,2,8,3.425,2.0
3,0,8,3.425,2.0
356,3,2,3.088888888888889,2.0
161,1,5,3.088888888888889,2.0
75,3,2,3.088888888888889,2.0
124,1,8,3.8892508143322475,3.0
3,1,8,3.425,2.0
3,8,8,3.425,2.0
3,8,8,3.425,2.0
3,3,8,3.425,2.0
423,1,8,3.088888888888889,2.0
549,1,1,3.8892508143322475,3.0
345,8,13,3.8892508143322475,3.0
255,2,3,3.8892508143322475,3.0
3,2,8,3.425,2.0
183,1,2,3.088888888888889,2.0
345,0,13,3.8892508143322475,3.0
314,1,2,3.088888888888889,2.0
223,1,3,3.8892508143322475,3.0
155,2,3,3.088888888888889,2.0
3,8,8,3.425,2.0
510,1,2,3.088888888888889,2.0
329,2,2,3.8892508143322475,3.0
549,3,1,3.8892508143322475,3.0
3,8,8,3.425,2.0
255,8,3,3.8892508143322475,3.0
3,1,8,3.425,2.0
3,8,8,3.425,2.0
435,1,1,3.088888888888889,2.0
112,1,2,3.088888888888889,2.0
307,8,1,3.088888888888889,2.0
337,1,3,3.088888888888889,2.0
3,1,8,3.425,2.0
280,1,3,3.088888888888889,2.0
3,1,8,3.425,2.0
3,1,8,3.425,2.0
255,8,3,3.8892508143322475,3.0
65,1,13,3.8892508143322475,3.0
3,3,8,3.425,2.0
542,1,1,3.088888888888889,2.0
264,2,3,3.8892508143322475,3.0
9,1,1,3.8892508143322475,3.0
394,8,13,3.8892508143322475,3.0
3,8,8,3.425,2.0
3,0,8,3.425,2.0
3,8,8,3.425,2.0
255,8,3,3.8892508143322475,3.0
537,2,3,3.088888888888889,2.0
3,1,8,3.425,2.0
255,8,3,3.8892508143322475,3.0
3,8,8,3.425,2.0
203,1,5,3.088888888888889,2.0
537,1,3,3.088888888888889,2.0
303,1,3,3.088888888888889,2.0
3,2,8,3.425,2.0
534,8,1,3.088888888888889,2.0
368,1,3,3.8892508143322475,3.0
304,1,8,3.088888888888889,2.0
3,8,8,3.425,2.0
13,0,8,3.088888888888889,2.0
324,2,1,3.088888888888889,2.0
549,3,1,3.8892508143322475,3.0
255,8,3,3.8892508143322475,3.0
3,8,8,3.425,2.0
3,8,8,3.425,2.0
4,2,0,3.088888888888889,2.0
488,1,1,3.8892508143322475,3.0
314,8,2,3.088888888888889,2.0
3,8,8,3.425,2.0
3,3,8,3.425,2.0
3,8,8,3.425,2.0
3,8,8,3.425,2.0
3,8,8,3.425,2.0
3,8,8,3.425,2.0
3,8,8,3.425,2.0
3,8,8,3.425,2.0
504,2,5,3.088888888888889,2.0
352,3,5,3.8892508143322475,3.0
57,2,5,3.8892508143322475,3.0
537,3,3,3.088888888888889,2.0
3,8,8,3.425,2.0
510,0,2,3.088888888888889,2.0
3,8,8,3.425,2.0
3,8,8,3.425,2.0
3,8,8,3.425,2.0
3,2,8,3.425,2.0
3,3,8,3.425,2.0
549,8,1,3.8892508143322475,3.0
504,5,5,3.088888888888889,2.0
255,3,3,3.8892508143322475,3.0
255,3,3,3.8892508143322475,3.0
3,8,8,3.425,2.0
3,8,8,3.425,2.0
3,8,8,3.425,2.0
3,8,8,3.425,2.0
3,8,8,3.425,2.0
244,1,13,3.8892508143322475,3.0
440,3,1,3.088888888888889,2.0
531,5,3,3.088888888888889,2.0
3,8,8,3.425,2.0
3,1,8,3.425,2.0
263,1,1,3.088888888888889,2.0
3,1,8,3.425,2.0
361,3,5,3.8892508143322475,3.0
74,5,1,3.088888888888889,2.0
255,8,3,3.8892508143322475,3.0
3,8,8,3.425,2.0
18,8,1,3.8892508143322475,3.0
99,8,1,3.8892508143322475,3.0
306,1,5,3.8892508143322475,3.0
3,8,8,3.425,2.0
203,8,5,3.088888888888889,2.0
77,2,5,3.8892508143322475,3.0
3,8,8,3.425,2.0
3,3,8,3.425,2.0
358,40,3,3.8892508143322475,3.0
337,2,3,3.088888888888889,2.0
418,3,1,3.8892508143322475,3.0
191,3,3,3.8892508143322475,3.0
3,8,8,3.425,2.0
506,1,1,3.8892508143322475,3.0
4,13,0,3.088888888888889,2.0
279,8,2,3.088888888888889,2.0
3,8,8,3.425,2.0
3,8,8,3.425,2.0
3,8,8,3.425,2.0
3,8,8,3.425,2.0
3,8,8,3.425,2.0
3,3,8,3.425,2.0
202,8,3,3.8892508143322475,3.0
3,1,8,3.425,2.0
3,2,8,3.425,2.0
3,1,8,3.425,2.0
3,8,8,3.425,2.0
560,2,1,3.8892508143322475,3.0
3,8,8,3.425,2.0
3,8,8,3.425,2.0
248,3,3,3.088888888888889,2.0
153,2,3,3.088888888888889,2.0
18,1,1,3.8892508143322475,3.0
255,8,3,3.8892508143322475,3.0
350,3,1,3.8892508143322475,3.0
