closest,sp,closest_sp,mean_cluster_sp,median_cluster_sp
2307,1,2.0,4.681692732290708,5.0
1,1,1.0,4.958333333333333,5.0
1117,5,13.0,4.681692732290708,5.0
206,5,3.0,4.681692732290708,5.0
1591,3,0.0,4.859168241965974,5.0
660,8,5.0,4.859168241965974,5.0
60,1,0.0,4.681692732290708,5.0
1587,2,8.0,4.681692732290708,5.0
302,0,5.0,4.681692732290708,5.0
938,8,1.0,4.859168241965974,5.0
157,2,1.0,4.681692732290708,5.0
1071,5,8.0,4.859168241965974,5.0
732,5,5.0,4.859168241965974,5.0
580,2,2.0,4.681692732290708,5.0
1,13,1.0,4.958333333333333,5.0
2261,1,5.0,4.859168241965974,5.0
1,3,1.0,4.958333333333333,5.0
1,3,1.0,4.958333333333333,5.0
1,8,1.0,4.958333333333333,5.0
1578,8,3.0,4.681692732290708,5.0
1311,3,13.0,4.681692732290708,5.0
1219,5,8.0,4.859168241965974,5.0
787,5,1.0,4.681692732290708,5.0
2081,5,2.0,4.859168241965974,5.0
1,5,1.0,4.958333333333333,5.0
787,8,1.0,4.681692732290708,5.0
418,5,1.0,4.681692732290708,5.0
1,8,1.0,4.958333333333333,5.0
1,3,1.0,4.958333333333333,5.0
2303,3,5.0,4.681692732290708,5.0
1301,5,3.0,4.681692732290708,5.0
409,13,3.0,4.681692732290708,5.0
764,2,3.0,4.859168241965974,5.0
236,5,1.0,4.681692732290708,5.0
473,8,1.0,4.681692732290708,5.0
2303,8,5.0,4.681692732290708,5.0
717,5,3.0,4.681692732290708,5.0
1994,5,5.0,4.859168241965974,5.0
2103,3,5.0,4.681692732290708,5.0
582,8,5.0,4.681692732290708,5.0
550,13,13.0,4.681692732290708,5.0
56,8,0.0,4.859168241965974,5.0
717,1,3.0,4.681692732290708,5.0
717,2,3.0,4.681692732290708,5.0
1815,8,5.0,4.681692732290708,5.0
750,3,13.0,4.859168241965974,5.0
471,1,0.0,4.859168241965974,5.0
1,1,1.0,4.958333333333333,5.0
1117,3,13.0,4.681692732290708,5.0
562,0,13.0,4.859168241965974,5.0
1,8,1.0,4.958333333333333,5.0
334,5,13.0,4.681692732290708,5.0
1606,5,0.0,4.681692732290708,5.0
1815,3,5.0,4.681692732290708,5.0
1,8,1.0,4.958333333333333,5.0
431,3,0.0,4.859168241965974,5.0
1,3,1.0,4.958333333333333,5.0
1367,5,8.0,4.681692732290708,5.0
1022,3,5.0,4.859168241965974,5.0
1578,5,3.0,4.681692732290708,5.0
213,8,5.0,4.859168241965974,5.0
1619,5,2.0,4.859168241965974,5.0
1074,0,5.0,4.681692732290708,5.0
2036,2,5.0,4.681692732290708,5.0
2081,3,2.0,4.859168241965974,5.0
1367,8,8.0,4.681692732290708,5.0
1110,3,8.0,4.859168241965974,5.0
977,3,8.0,4.681692732290708,5.0
945,1,3.0,4.859168241965974,5.0
1,3,1.0,4.958333333333333,5.0
513,3,1.0,4.859168241965974,5.0
916,3,8.0,4.859168241965974,5.0
1,8,1.0,4.958333333333333,5.0
953,0,8.0,4.859168241965974,5.0
367,3,8.0,4.859168241965974,5.0
1,13,1.0,4.958333333333333,5.0
2057,2,2.0,4.681692732290708,5.0
1914,2,13.0,4.859168241965974,5.0
1117,2,13.0,4.681692732290708,5.0
1471,5,1.0,4.681692732290708,5.0
75,0,3.0,4.681692732290708,5.0
945,3,3.0,4.859168241965974,5.0
468,5,0.0,4.859168241965974,5.0
1,8,1.0,4.958333333333333,5.0
1,5,1.0,4.958333333333333,5.0
538,5,5.0,4.859168241965974,5.0
619,5,13.0,4.859168241965974,5.0
916,13,8.0,4.859168241965974,5.0
703,8,3.0,4.859168241965974,5.0
1278,5,8.0,4.681692732290708,5.0
776,8,1.0,4.681692732290708,5.0
2181,2,5.0,4.859168241965974,5.0
1,0,1.0,4.958333333333333,5.0
431,0,0.0,4.859168241965974,5.0
958,5,5.0,4.859168241965974,5.0
1,13,1.0,4.958333333333333,5.0
717,1,3.0,4.681692732290708,5.0
1578,5,3.0,4.681692732290708,5.0
1889,2,5.0,4.681692732290708,5.0
2186,2,13.0,4.681692732290708,5.0
963,3,3.0,4.859168241965974,5.0
1,13,1.0,4.958333333333333,5.0
2013,3,5.0,4.859168241965974,5.0
1367,3,8.0,4.681692732290708,5.0
1560,1,1.0,4.859168241965974,5.0
938,3,1.0,4.859168241965974,5.0
32,3,3.0,4.859168241965974,5.0
717,1,3.0,4.681692732290708,5.0
850,5,5.0,4.859168241965974,5.0
293,8,2.0,4.859168241965974,5.0
717,1,3.0,4.681692732290708,5.0
302,5,5.0,4.681692732290708,5.0
1446,13,1.0,4.859168241965974,5.0
1,5,1.0,4.958333333333333,5.0
407,1,5.0,4.859168241965974,5.0
1,1,1.0,4.958333333333333,5.0
919,8,8.0,4.681692732290708,5.0
1367,3,8.0,4.681692732290708,5.0
1,2,1.0,4.958333333333333,5.0
1,5,1.0,4.958333333333333,5.0
1,0,1.0,4.958333333333333,5.0
127,3,3.0,4.681692732290708,5.0
482,0,5.0,4.681692732290708,5.0
236,0,1.0,4.681692732290708,5.0
2277,2,5.0,4.681692732290708,5.0
726,3,5.0,4.859168241965974,5.0
1,8,1.0,4.958333333333333,5.0
215,13,5.0,4.681692732290708,5.0
2340,13,8.0,4.681692732290708,5.0
666,5,3.0,4.681692732290708,5.0
1,5,1.0,4.958333333333333,5.0
1,3,1.0,4.958333333333333,5.0
1,5,1.0,4.958333333333333,5.0
910,8,5.0,4.859168241965974,5.0
1,8,1.0,4.958333333333333,5.0
129,13,5.0,4.859168241965974,5.0
1257,13,8.0,4.859168241965974,5.0
1,13,1.0,4.958333333333333,5.0
2124,13,3.0,4.859168241965974,5.0
1833,1,5.0,4.681692732290708,5.0
1367,2,8.0,4.681692732290708,5.0
988,13,3.0,4.681692732290708,5.0
2010,13,8.0,4.681692732290708,5.0
1319,0,5.0,4.681692732290708,5.0
1560,0,1.0,4.859168241965974,5.0
1,1,1.0,4.958333333333333,5.0
302,3,5.0,4.681692732290708,5.0
1,0,1.0,4.958333333333333,5.0
1,13,1.0,4.958333333333333,5.0
1,13,1.0,4.958333333333333,5.0
1179,2,5.0,4.859168241965974,5.0
409,2,3.0,4.681692732290708,5.0
1,13,1.0,4.958333333333333,5.0
1518,0,3.0,4.681692732290708,5.0
659,8,5.0,4.681692732290708,5.0
1800,8,3.0,4.859168241965974,5.0
1,13,1.0,4.958333333333333,5.0
137,8,0.0,4.681692732290708,5.0
1714,3,3.0,4.859168241965974,5.0
717,3,3.0,4.681692732290708,5.0
1319,0,5.0,4.681692732290708,5.0
1,2,1.0,4.958333333333333,5.0
129,13,5.0,4.859168241965974,5.0
1016,0,5.0,4.681692732290708,5.0
513,3,1.0,4.859168241965974,5.0
916,8,8.0,4.859168241965974,5.0
988,8,3.0,4.681692732290708,5.0
1618,1,3.0,4.681692732290708,5.0
1,3,1.0,4.958333333333333,5.0
0,5,2.0,4.681692732290708,5.0
1476,13,3.0,4.859168241965974,5.0
605,5,3.0,4.859168241965974,5.0
717,5,3.0,4.681692732290708,5.0
1117,0,13.0,4.681692732290708,5.0
1,13,1.0,4.958333333333333,5.0
1,5,1.0,4.958333333333333,5.0
1128,3,13.0,4.859168241965974,5.0
1,3,1.0,4.958333333333333,5.0
1,1,1.0,4.958333333333333,5.0
556,8,5.0,4.681692732290708,5.0
2342,3,13.0,4.681692732290708,5.0
1560,5,1.0,4.859168241965974,5.0
1,3,1.0,4.958333333333333,5.0
1578,1,3.0,4.681692732290708,5.0
1367,3,8.0,4.681692732290708,5.0
2081,5,2.0,4.859168241965974,5.0
206,0,3.0,4.681692732290708,5.0
121,5,3.0,4.681692732290708,5.0
338,3,1.0,4.859168241965974,5.0
935,0,5.0,4.859168241965974,5.0
2010,5,8.0,4.681692732290708,5.0
977,13,8.0,4.681692732290708,5.0
790,2,8.0,4.681692732290708,5.0
313,1,2.0,4.859168241965974,5.0
1,5,1.0,4.958333333333333,5.0
1314,3,8.0,4.859168241965974,5.0
45,3,1.0,4.859168241965974,5.0
512,3,3.0,4.859168241965974,5.0
242,1,3.0,4.859168241965974,5.0
747,0,8.0,4.859168241965974,5.0
1,13,1.0,4.958333333333333,5.0
1117,13,13.0,4.681692732290708,5.0
828,13,5.0,4.681692732290708,5.0
1,8,1.0,4.958333333333333,5.0
1259,0,2.0,4.859168241965974,5.0
1,5,1.0,4.958333333333333,5.0
1,5,1.0,4.958333333333333,5.0
526,13,5.0,4.681692732290708,5.0
1,3,1.0,4.958333333333333,5.0
1,2,1.0,4.958333333333333,5.0
1,8,1.0,4.958333333333333,5.0
1,5,1.0,4.958333333333333,5.0
313,8,2.0,4.859168241965974,5.0
717,0,3.0,4.681692732290708,5.0
