closest,sp,closest_sp,mean_cluster_sp,median_cluster_sp
913,8,8,5.862362971985384,5.0
1304,5,5,5.862362971985384,5.0
274,5,8,5.862362971985384,5.0
555,8,5,5.862362971985384,5.0
616,3,8,6.034090909090909,5.0
1614,2,3,5.862362971985384,5.0
218,3,3,6.034090909090909,5.0
908,3,8,5.862362971985384,5.0
883,8,5,5.862362971985384,5.0
764,5,5,5.862362971985384,5.0
0,5,1,5.466257668711656,5.0
0,5,1,5.466257668711656,5.0
0,8,1,5.466257668711656,5.0
0,8,1,5.466257668711656,5.0
908,8,8,5.862362971985384,5.0
520,8,0,5.862362971985384,5.0
361,8,2,5.862362971985384,5.0
361,8,2,5.862362971985384,5.0
1451,8,5,5.862362971985384,5.0
1451,8,5,5.862362971985384,5.0
1463,8,8,5.862362971985384,5.0
1320,5,5,6.034090909090909,5.0
720,5,8,5.862362971985384,5.0
0,5,1,5.466257668711656,5.0
555,5,5,5.862362971985384,5.0
0,3,1,5.466257668711656,5.0
1173,3,5,6.034090909090909,5.0
343,3,0,6.034090909090909,5.0
446,8,8,5.862362971985384,5.0
861,5,8,5.862362971985384,5.0
0,5,1,5.466257668711656,5.0
0,5,1,5.466257668711656,5.0
404,3,5,6.034090909090909,5.0
1652,8,8,6.034090909090909,5.0
0,8,1,5.466257668711656,5.0
951,5,5,5.862362971985384,5.0
1320,5,5,6.034090909090909,5.0
512,5,8,5.862362971985384,5.0
718,5,8,6.034090909090909,5.0
222,8,0,6.034090909090909,5.0
370,5,0,6.034090909090909,5.0
22,5,5,5.862362971985384,5.0
1667,3,3,6.034090909090909,5.0
218,3,3,6.034090909090909,5.0
0,5,1,5.466257668711656,5.0
520,5,0,5.862362971985384,5.0
1304,5,5,5.862362971985384,5.0
111,2,5,5.862362971985384,5.0
14,5,1,5.862362971985384,5.0
0,3,1,5.466257668711656,5.0
402,2,8,6.034090909090909,5.0
367,5,8,6.034090909090909,5.0
357,5,0,6.034090909090909,5.0
1334,5,5,5.862362971985384,5.0
380,3,8,5.862362971985384,5.0
0,3,1,5.466257668711656,5.0
0,5,1,5.466257668711656,5.0
1451,5,5,5.862362971985384,5.0
582,5,5,5.862362971985384,5.0
1174,3,13,5.862362971985384,5.0
0,3,1,5.466257668711656,5.0
620,3,8,6.034090909090909,5.0
63,3,8,6.034090909090909,5.0
1572,5,5,6.034090909090909,5.0
908,8,8,5.862362971985384,5.0
1646,3,5,5.862362971985384,5.0
1366,5,3,6.034090909090909,5.0
1549,5,5,5.862362971985384,5.0
218,3,3,6.034090909090909,5.0
439,8,3,5.862362971985384,5.0
720,5,8,5.862362971985384,5.0
620,13,8,6.034090909090909,5.0
146,5,8,6.034090909090909,5.0
0,5,1,5.466257668711656,5.0
218,3,3,6.034090909090909,5.0
1243,5,5,5.862362971985384,5.0
421,5,8,6.034090909090909,5.0
380,3,8,5.862362971985384,5.0
969,2,5,5.862362971985384,5.0
400,8,8,5.862362971985384,5.0
59,5,5,6.034090909090909,5.0
908,5,8,5.862362971985384,5.0
474,3,8,5.862362971985384,5.0
85,3,0,5.862362971985384,5.0
1496,3,3,6.034090909090909,5.0
130,3,13,6.034090909090909,5.0
8,5,5,6.034090909090909,5.0
620,3,8,6.034090909090909,5.0
620,5,8,6.034090909090909,5.0
1018,3,5,5.862362971985384,5.0
720,5,8,5.862362971985384,5.0
63,8,8,6.034090909090909,5.0
620,5,8,6.034090909090909,5.0
357,5,0,6.034090909090909,5.0
0,1,1,5.466257668711656,5.0
1427,5,5,6.034090909090909,5.0
173,5,13,6.034090909090909,5.0
1105,13,8,6.034090909090909,5.0
520,5,0,5.862362971985384,5.0
519,5,8,5.862362971985384,5.0
908,5,8,5.862362971985384,5.0
79,5,1,5.862362971985384,5.0
475,3,8,6.034090909090909,5.0
936,5,5,5.862362971985384,5.0
1529,5,2,6.034090909090909,5.0
814,5,0,5.862362971985384,5.0
940,3,5,5.862362971985384,5.0
222,8,0,6.034090909090909,5.0
1571,3,3,5.862362971985384,5.0
59,5,5,6.034090909090909,5.0
932,8,5,5.862362971985384,5.0
1667,5,3,6.034090909090909,5.0
1060,1,5,6.034090909090909,5.0
421,3,8,6.034090909090909,5.0
0,5,1,5.466257668711656,5.0
93,5,8,6.034090909090909,5.0
814,2,0,5.862362971985384,5.0
163,5,8,6.034090909090909,5.0
1223,8,8,6.034090909090909,5.0
0,8,1,5.466257668711656,5.0
0,5,1,5.466257668711656,5.0
0,5,1,5.466257668711656,5.0
1129,8,2,6.034090909090909,5.0
0,8,1,5.466257668711656,5.0
1144,8,3,5.862362971985384,5.0
0,5,1,5.466257668711656,5.0
1077,0,5,5.862362971985384,5.0
1496,5,3,6.034090909090909,5.0
1465,3,5,6.034090909090909,5.0
421,3,8,6.034090909090909,5.0
0,5,1,5.466257668711656,5.0
754,5,5,6.034090909090909,5.0
1117,3,5,6.034090909090909,5.0
1146,5,5,6.034090909090909,5.0
0,5,1,5.466257668711656,5.0
474,5,8,5.862362971985384,5.0
486,3,8,5.862362971985384,5.0
0,5,1,5.466257668711656,5.0
1173,2,5,6.034090909090909,5.0
0,8,1,5.466257668711656,5.0
2,5,13,6.034090909090909,5.0
