closest,sp,closest_sp,mean_cluster_sp,median_cluster_sp
64,5,2,3.073446327683616,2.0
81,3,1,3.778523489932886,3.0
81,3,1,3.778523489932886,3.0
431,5,5,3.073446327683616,2.0
451,8,1,3.073446327683616,2.0
94,3,8,3.778523489932886,3.0
341,2,8,3.073446327683616,2.0
0,3,5,3.056603773584906,2.0
19,1,1,3.778523489932886,3.0
338,3,8,3.778523489932886,3.0
196,2,0,3.778523489932886,3.0
0,3,5,3.056603773584906,2.0
347,1,0,3.778523489932886,3.0
348,1,8,3.778523489932886,3.0
338,1,8,3.778523489932886,3.0
463,8,2,3.073446327683616,2.0
482,1,5,3.073446327683616,2.0
463,3,2,3.073446327683616,2.0
458,1,1,3.073446327683616,2.0
254,5,5,3.073446327683616,2.0
270,2,2,3.073446327683616,2.0
19,1,1,3.778523489932886,3.0
0,1,5,3.056603773584906,2.0
155,5,5,3.073446327683616,2.0
482,2,5,3.073446327683616,2.0
365,5,2,3.073446327683616,2.0
18,3,13,3.778523489932886,3.0
413,3,3,3.778523489932886,3.0
251,1,3,3.778523489932886,3.0
172,5,3,3.778523489932886,3.0
93,8,8,3.778523489932886,3.0
0,2,5,3.056603773584906,2.0
316,5,8,3.073446327683616,2.0
155,8,5,3.073446327683616,2.0
155,1,5,3.073446327683616,2.0
163,3,5,3.778523489932886,3.0
55,1,2,3.073446327683616,2.0
307,5,8,3.778523489932886,3.0
397,3,2,3.073446327683616,2.0
180,3,8,3.073446327683616,2.0
0,1,5,3.056603773584906,2.0
391,5,1,3.778523489932886,3.0
0,3,5,3.056603773584906,2.0
94,1,8,3.778523489932886,3.0
64,3,2,3.073446327683616,2.0
453,5,5,3.073446327683616,2.0
83,5,1,3.778523489932886,3.0
0,2,5,3.056603773584906,2.0
206,2,1,3.778523489932886,3.0
413,1,3,3.778523489932886,3.0
94,3,8,3.778523489932886,3.0
427,1,8,3.073446327683616,2.0
0,1,5,3.056603773584906,2.0
458,3,1,3.073446327683616,2.0
422,3,1,3.073446327683616,2.0
81,1,1,3.778523489932886,3.0
431,2,5,3.073446327683616,2.0
218,2,3,3.778523489932886,3.0
206,2,1,3.778523489932886,3.0
0,3,5,3.056603773584906,2.0
278,5,1,3.073446327683616,2.0
368,8,8,3.778523489932886,3.0
0,1,5,3.056603773584906,2.0
155,3,5,3.073446327683616,2.0
22,5,2,3.073446327683616,2.0
349,2,8,3.778523489932886,3.0
345,0,8,3.778523489932886,3.0
345,5,8,3.778523489932886,3.0
417,2,2,3.073446327683616,2.0
207,3,1,3.073446327683616,2.0
354,0,8,3.073446327683616,2.0
374,1,3,3.073446327683616,2.0
0,2,5,3.056603773584906,2.0
458,3,1,3.073446327683616,2.0
251,5,3,3.778523489932886,3.0
94,3,8,3.778523489932886,3.0
127,2,5,3.778523489932886,3.0
458,2,1,3.073446327683616,2.0
0,2,5,3.056603773584906,2.0
347,1,0,3.778523489932886,3.0
230,1,1,3.778523489932886,3.0
183,5,2,3.073446327683616,2.0
172,1,3,3.778523489932886,3.0
81,8,1,3.778523489932886,3.0
87,3,1,3.073446327683616,2.0
125,3,3,3.073446327683616,2.0
210,3,3,3.073446327683616,2.0
66,5,2,3.778523489932886,3.0
252,3,5,3.778523489932886,3.0
273,5,1,3.778523489932886,3.0
324,8,3,3.073446327683616,2.0
341,1,8,3.073446327683616,2.0
6,2,5,3.778523489932886,3.0
0,2,5,3.056603773584906,2.0
462,2,1,3.073446327683616,2.0
233,8,8,3.778523489932886,3.0
48,5,3,3.778523489932886,3.0
0,1,5,3.056603773584906,2.0
183,5,2,3.073446327683616,2.0
267,8,5,3.073446327683616,2.0
64,3,2,3.073446327683616,2.0
436,3,5,3.073446327683616,2.0
0,3,5,3.056603773584906,2.0
94,3,8,3.778523489932886,3.0
163,1,5,3.778523489932886,3.0
162,3,8,3.778523489932886,3.0
280,1,5,3.778523489932886,3.0
100,1,2,3.778523489932886,3.0
413,1,3,3.778523489932886,3.0
307,2,8,3.778523489932886,3.0
198,2,8,3.778523489932886,3.0
104,3,0,3.778523489932886,3.0
0,3,5,3.056603773584906,2.0
163,1,5,3.778523489932886,3.0
0,2,5,3.056603773584906,2.0
172,2,3,3.778523489932886,3.0
172,2,3,3.778523489932886,3.0
0,1,5,3.056603773584906,2.0
310,2,1,3.073446327683616,2.0
0,5,5,3.056603773584906,2.0
172,5,3,3.778523489932886,3.0
288,8,5,3.778523489932886,3.0
237,8,1,3.073446327683616,2.0
216,2,8,3.778523489932886,3.0
116,5,1,3.778523489932886,3.0
206,0,1,3.778523489932886,3.0
56,3,0,3.778523489932886,3.0
0,2,5,3.056603773584906,2.0
391,8,1,3.778523489932886,3.0
369,5,8,3.073446327683616,2.0
64,3,2,3.073446327683616,2.0
273,2,1,3.778523489932886,3.0
0,5,5,3.056603773584906,2.0
0,3,5,3.056603773584906,2.0
132,3,1,3.073446327683616,2.0
180,2,8,3.073446327683616,2.0
417,3,2,3.073446327683616,2.0
381,3,3,3.073446327683616,2.0
81,3,1,3.778523489932886,3.0
79,3,3,3.778523489932886,3.0
183,3,2,3.073446327683616,2.0
0,8,5,3.056603773584906,2.0
178,5,0,3.778523489932886,3.0
0,1,5,3.056603773584906,2.0
216,0,8,3.778523489932886,3.0
423,2,2,3.073446327683616,2.0
284,5,8,3.778523489932886,3.0
458,3,1,3.073446327683616,2.0
154,1,5,3.073446327683616,2.0
0,1,5,3.056603773584906,2.0
0,2,5,3.056603773584906,2.0
178,1,0,3.778523489932886,3.0
0,2,5,3.056603773584906,2.0
81,2,1,3.778523489932886,3.0
362,1,3,3.073446327683616,2.0
86,1,1,3.073446327683616,2.0
0,3,5,3.056603773584906,2.0
431,1,5,3.073446327683616,2.0
0,2,5,3.056603773584906,2.0
213,1,8,3.778523489932886,3.0
180,2,8,3.073446327683616,2.0
483,5,2,3.073446327683616,2.0
