closest,sp,closest_sp,mean_cluster_sp,median_cluster_sp
108,3,3,5.173913043478261,5.0
28,3,5,3.857142857142857,3.0
97,8,3,4.428571428571429,5.0
18,3,5,4.8,5.0
85,1,5,5.173913043478261,5.0
86,3,5,5.173913043478261,5.0
78,0,8,8.0,8.0
51,2,13,5.173913043478261,5.0
105,5,3,3.0,3.0
131,3,3,3.857142857142857,3.0
131,3,3,3.857142857142857,3.0
78,5,8,8.0,8.0
137,8,5,3.6,5.0
129,3,5,3.3333333333333335,3.0
114,0,5,4.428571428571429,4.0
32,1,3,2.875,3.0
47,1,3,8.0,8.0
84,1,3,5.173913043478261,5.0
24,5,8,4.428571428571429,4.0
140,3,5,5.173913043478261,5.0
129,3,5,3.3333333333333335,3.0
6,3,3,2.875,3.0
58,1,3,2.4,2.0
89,1,2,2.875,3.0
116,3,5,5.173913043478261,5.0
92,2,5,5.0,5.0
55,2,5,3.857142857142857,3.0
131,2,3,3.857142857142857,3.0
54,5,5,5.173913043478261,5.0
105,0,3,3.0,3.0
37,3,3,3.0,3.0
105,2,3,3.0,3.0
95,3,3,3.0,3.0
61,0,3,5.0,5.0
104,3,3,5.173913043478261,5.0
24,5,8,4.428571428571429,4.0
51,1,13,5.173913043478261,5.0
24,1,8,4.428571428571429,4.0
95,1,3,3.0,3.0
110,1,8,5.173913043478261,5.0
117,1,3,2.875,3.0
87,1,2,2.875,3.0
3,1,3,5.173913043478261,5.0
45,3,3,4.8,5.0
55,1,5,3.857142857142857,3.0
115,3,5,3.3333333333333335,3.0
51,3,13,5.173913043478261,5.0
55,3,5,3.857142857142857,3.0
96,8,3,5.173913043478261,5.0
114,1,5,4.428571428571429,4.0
