closest,sp,closest_sp,mean_cluster_sp,median_cluster_sp
40,13,5,7.53030303030303,8.0
60,8,8,7.53030303030303,8.0
86,8,3,7.53030303030303,8.0
184,20,13,7.53030303030303,8.0
279,8,0,7.53030303030303,8.0
107,8,8,7.53030303030303,8.0
90,8,5,7.53030303030303,8.0
74,5,8,7.53030303030303,8.0
48,3,1,7.53030303030303,8.0
48,3,1,7.53030303030303,8.0
206,3,5,7.53030303030303,8.0
208,8,2,7.53030303030303,8.0
232,8,5,7.53030303030303,8.0
31,8,8,7.53030303030303,8.0
165,2,13,7.1875,8.0
272,8,5,7.53030303030303,8.0
174,13,3,7.53030303030303,8.0
264,5,8,7.53030303030303,8.0
69,8,5,7.53030303030303,8.0
22,8,0,7.53030303030303,8.0
201,8,8,7.53030303030303,8.0
110,8,8,7.53030303030303,8.0
90,8,5,7.53030303030303,8.0
31,5,8,7.53030303030303,8.0
214,5,5,7.53030303030303,8.0
131,5,13,7.53030303030303,8.0
53,3,0,7.53030303030303,8.0
158,13,13,7.53030303030303,8.0
266,8,8,7.53030303030303,8.0
278,8,8,7.53030303030303,8.0
99,5,13,7.53030303030303,8.0
0,3,0,7.53030303030303,8.0
52,0,8,7.53030303030303,8.0
146,5,5,7.53030303030303,8.0
51,5,5,7.53030303030303,8.0
169,13,13,7.53030303030303,8.0
169,5,13,7.53030303030303,8.0
253,13,13,7.53030303030303,8.0
83,8,8,7.53030303030303,8.0
18,8,1,7.53030303030303,8.0
88,5,13,7.53030303030303,8.0
18,8,1,7.53030303030303,8.0
45,5,1,7.53030303030303,8.0
145,5,13,7.53030303030303,8.0
145,5,13,7.53030303030303,8.0
190,13,5,7.53030303030303,8.0
86,13,3,7.53030303030303,8.0
167,20,13,7.53030303030303,8.0
27,13,20,7.53030303030303,8.0
31,13,8,7.53030303030303,8.0
102,8,1,7.53030303030303,8.0
214,8,5,7.53030303030303,8.0
208,8,2,7.53030303030303,8.0
214,8,5,7.53030303030303,8.0
67,8,20,7.53030303030303,8.0
146,8,5,7.53030303030303,8.0
74,3,8,7.53030303030303,8.0
135,5,5,7.53030303030303,8.0
136,13,0,7.53030303030303,8.0
74,5,8,7.53030303030303,8.0
167,3,13,7.53030303030303,8.0
0,3,0,7.53030303030303,8.0
0,5,0,7.53030303030303,8.0
90,0,5,7.53030303030303,8.0
187,5,5,7.53030303030303,8.0
86,0,3,7.53030303030303,8.0
217,5,8,7.53030303030303,8.0
90,1,5,7.53030303030303,8.0
217,13,8,7.53030303030303,8.0
0,5,0,7.53030303030303,8.0
99,5,13,7.53030303030303,8.0
214,5,5,7.53030303030303,8.0
177,5,13,7.53030303030303,8.0
277,8,3,7.53030303030303,8.0
156,20,13,7.53030303030303,8.0
37,8,1,7.53030303030303,8.0
37,13,1,7.53030303030303,8.0
53,8,0,7.53030303030303,8.0
210,1,8,7.53030303030303,8.0
37,8,1,7.53030303030303,8.0
278,2,8,7.53030303030303,8.0
53,8,0,7.53030303030303,8.0
201,5,8,7.53030303030303,8.0
11,5,13,7.53030303030303,8.0
66,3,8,7.53030303030303,8.0
116,5,5,7.53030303030303,8.0
66,8,8,7.53030303030303,8.0
30,8,0,7.53030303030303,8.0
155,3,0,7.53030303030303,8.0
90,8,5,7.53030303030303,8.0
115,5,8,7.53030303030303,8.0
85,3,5,7.53030303030303,8.0
281,5,5,7.53030303030303,8.0
110,5,8,7.53030303030303,8.0
171,1,5,7.53030303030303,8.0
191,100,0,7.53030303030303,8.0
53,5,0,7.53030303030303,8.0
