closest,sp,closest_sp,mean_cluster_sp,median_cluster_sp
59,3,0,3.728476821192053,3.0
64,1,3,3.728476821192053,3.0
91,1,2,2.25,1.5
121,1,3,3.0,3.0
94,0,3,3.0,3.0
20,3,5,3.728476821192053,3.0
160,3,13,3.728476821192053,3.0
64,5,3,3.728476821192053,3.0
94,1,3,3.0,3.0
94,2,3,3.0,3.0
0,0,13,3.728476821192053,3.0
69,1,1,3.728476821192053,3.0
0,1,13,3.728476821192053,3.0
134,2,5,3.728476821192053,3.0
59,1,0,3.728476821192053,3.0
167,5,5,3.728476821192053,3.0
139,5,3,3.728476821192053,3.0
43,0,3,3.0,3.0
103,3,5,3.728476821192053,3.0
62,1,3,3.728476821192053,3.0
159,0,3,3.728476821192053,3.0
54,1,1,2.25,1.5
66,2,0,3.728476821192053,3.0
5,2,0,3.728476821192053,3.0
146,1,2,3.728476821192053,3.0
2,1,5,3.0,3.0
88,3,3,3.728476821192053,3.0
139,0,3,3.728476821192053,3.0
143,0,1,3.728476821192053,3.0
156,8,1,3.728476821192053,3.0
45,1,0,3.728476821192053,3.0
89,2,1,3.728476821192053,3.0
98,1,0,3.728476821192053,3.0
143,5,1,3.728476821192053,3.0
64,5,3,3.728476821192053,3.0
57,1,1,3.728476821192053,3.0
110,8,5,3.728476821192053,3.0
88,13,3,3.728476821192053,3.0
139,3,3,3.728476821192053,3.0
59,1,0,3.728476821192053,3.0
139,3,3,3.728476821192053,3.0
84,5,3,3.728476821192053,3.0
160,2,13,3.728476821192053,3.0
64,5,3,3.728476821192053,3.0
159,1,3,3.728476821192053,3.0
51,1,5,3.728476821192053,3.0
129,1,5,3.728476821192053,3.0
59,3,0,3.728476821192053,3.0
18,1,3,3.728476821192053,3.0
160,3,13,3.728476821192053,3.0
139,3,3,3.728476821192053,3.0
110,3,5,3.728476821192053,3.0
94,1,3,3.0,3.0
0,1,13,3.728476821192053,3.0
156,1,1,3.728476821192053,3.0
94,3,3,3.0,3.0
169,1,1,3.0,3.0
129,3,5,3.728476821192053,3.0
65,3,3,3.728476821192053,3.0
0,5,13,3.728476821192053,3.0
51,5,5,3.728476821192053,3.0
