closest,sp,closest_sp,mean_cluster_sp,median_cluster_sp
104,2,1.0,1.5,1.0
51,1,2.0,2.0,2.0
107,2,3.0,3.0,3.0
120,3,3.0,2.5,2.5
99,5,5.0,2.5,2.0
110,2,1.0,1.5,1.0
99,0,5.0,2.5,2.0
107,3,3.0,3.0,3.0
110,1,1.0,1.5,1.0
110,1,1.0,1.5,1.0
137,3,3.0,3.0,3.0
110,3,1.0,1.5,1.0
73,2,1.0,1.8,2.0
107,1,3.0,3.0,3.0
132,1,1.0,2.5,2.0
47,2,3.0,3.4,3.0
105,3,3.0,1.5,1.0
16,3,0.0,0.0,0.0
90,1,3.0,3.4,3.0
16,3,0.0,0.0,0.0
110,8,1.0,1.5,1.0
110,3,1.0,1.5,1.0
109,3,1.0,1.5,1.0
4,5,3.0,3.0,3.0
105,3,3.0,1.5,1.0
110,5,1.0,1.5,1.0
107,3,3.0,3.0,3.0
110,2,1.0,1.5,1.0
108,2,3.0,2.5,2.0
4,3,3.0,3.0,3.0
4,3,3.0,3.0,3.0
90,3,3.0,3.4,3.0
74,3,3.0,3.0,3.0
111,3,1.0,1.0,1.0
65,13,5.0,2.75,2.75
107,2,3.0,3.0,3.0
15,5,0.0,0.5,0.5
96,1,3.0,3.0,3.0
90,2,3.0,3.4,3.0
116,5,2.0,2.5,2.5
4,3,3.0,3.0,3.0
39,3,1.0,3.75,3.0
90,3,3.0,3.4,3.0
73,0,1.0,1.8,2.0
91,2,3.0,3.4,3.0
104,2,1.0,1.5,1.0
76,0,1.0,2.5,2.0
33,0,3.0,3.4,3.0
73,0,1.0,1.8,2.0
