closest,sp,closest_sp,mean_cluster_sp,median_cluster_sp
3195,1.0,3.0,3.275885103540414,2.0
580,1.0,3.0,3.275885103540414,2.0
456,2.0,8.0,3.275885103540414,2.0
3118,1.0,2.0,3.275885103540414,2.0
280,0.5,1.0,3.275885103540414,2.0
767,0.5,0.5,3.275885103540414,2.0
3195,1.0,3.0,3.275885103540414,2.0
1065,5.0,2.0,3.275885103540414,2.0
2906,1.0,1.0,3.275885103540414,2.0
2187,2.0,1.0,3.275885103540414,2.0
3195,1.0,3.0,3.275885103540414,2.0
3226,3.0,1.0,5.489177489177489,2.0
1539,0.5,1.0,3.275885103540414,2.0
1600,0.0,2.0,3.275885103540414,2.0
2767,0.0,1.0,3.275885103540414,2.0
2758,0.0,0.5,3.275885103540414,2.0
135,1.0,5.0,3.275885103540414,2.0
2256,2.0,8.0,3.275885103540414,2.0
2208,20.0,1.0,3.275885103540414,2.0
2424,1.0,1.0,3.275885103540414,2.0
1190,0.0,2.0,3.275885103540414,2.0
1097,0.0,2.0,3.275885103540414,2.0
1351,1.0,1.0,3.275885103540414,2.0
3196,1.0,3.0,3.275885103540414,2.0
997,0.0,2.0,3.275885103540414,2.0
3128,0.5,1.0,3.275885103540414,2.0
1351,0.5,1.0,3.275885103540414,2.0
3034,2.0,5.0,3.275885103540414,2.0
273,1.0,2.0,3.275885103540414,2.0
526,0.0,8.0,3.275885103540414,2.0
3198,3.0,0.5,3.275885103540414,2.0
135,1.0,5.0,3.275885103540414,2.0
3020,3.0,2.0,3.275885103540414,2.0
1903,2.0,2.0,3.275885103540414,2.0
1778,1.0,1.0,3.275885103540414,2.0
2858,1.0,0.5,3.275885103540414,2.0
3034,3.0,5.0,3.275885103540414,2.0
3034,5.0,5.0,3.275885103540414,2.0
580,1.0,3.0,3.275885103540414,2.0
3108,0.5,1.0,3.275885103540414,2.0
2308,2.0,2.0,3.275885103540414,2.0
2420,1.0,1.0,3.275885103540414,2.0
3033,2.0,1.0,3.275885103540414,2.0
2767,0.0,1.0,3.275885103540414,2.0
3032,2.0,1.0,5.489177489177489,2.0
1835,3.0,0.5,3.275885103540414,2.0
21,2.0,2.0,3.275885103540414,2.0
1501,0.0,1.0,3.275885103540414,2.0
3078,0.0,1.0,5.489177489177489,2.0
3209,40.0,0.5,3.275885103540414,2.0
2786,8.0,2.0,3.275885103540414,2.0
1236,20.0,40.0,3.275885103540414,2.0
1236,20.0,40.0,3.275885103540414,2.0
1097,1.0,2.0,3.275885103540414,2.0
3034,8.0,5.0,3.275885103540414,2.0
1097,1.0,2.0,3.275885103540414,2.0
813,1.0,1.0,3.275885103540414,2.0
1726,1.0,2.0,3.275885103540414,2.0
2906,0.5,1.0,3.275885103540414,2.0
3196,0.0,3.0,3.275885103540414,2.0
3129,1.0,1.0,3.275885103540414,2.0
60,0.0,20.0,3.275885103540414,2.0
1145,1.0,1.0,3.275885103540414,2.0
1617,1.0,0.5,3.275885103540414,2.0
2229,8.0,3.0,3.275885103540414,2.0
1990,1.0,2.0,3.275885103540414,2.0
2858,1.0,0.5,3.275885103540414,2.0
1883,3.0,3.0,3.275885103540414,2.0
1220,1.0,1.0,3.275885103540414,2.0
1852,0.0,2.0,3.275885103540414,2.0
3196,2.0,3.0,3.275885103540414,2.0
3196,1.0,3.0,3.275885103540414,2.0
3196,1.0,3.0,3.275885103540414,2.0
3196,1.0,3.0,3.275885103540414,2.0
1682,2.0,2.0,3.275885103540414,2.0
2772,2.0,1.0,3.275885103540414,2.0
2937,0.0,2.0,3.275885103540414,2.0
1315,20.0,2.0,3.275885103540414,2.0
3196,3.0,3.0,3.275885103540414,2.0
1194,3.0,5.0,3.275885103540414,2.0
3197,1.0,1.0,3.275885103540414,2.0
1096,2.0,1.0,3.275885103540414,2.0
3196,3.0,3.0,3.275885103540414,2.0
3020,2.0,2.0,3.275885103540414,2.0
1220,1.0,1.0,3.275885103540414,2.0
2853,2.0,20.0,3.275885103540414,2.0
3034,2.0,5.0,3.275885103540414,2.0
2908,0.5,2.0,3.275885103540414,2.0
429,1.0,2.0,3.275885103540414,2.0
2200,1.0,1.0,3.275885103540414,2.0
1190,3.0,2.0,3.275885103540414,2.0
1634,0.5,2.0,3.275885103540414,2.0
3128,1.0,1.0,3.275885103540414,2.0
1657,3.0,0.5,3.275885103540414,2.0
3093,2.0,2.0,3.275885103540414,2.0
1964,0.0,2.0,3.275885103540414,2.0
3034,0.0,5.0,3.275885103540414,2.0
832,8.0,5.0,3.275885103540414,2.0
536,2.0,1.0,3.275885103540414,2.0
457,2.0,1.0,3.275885103540414,2.0
2286,1.0,0.0,5.489177489177489,2.0
80,1.0,3.0,3.275885103540414,2.0
1570,2.0,0.5,3.275885103540414,2.0
